evaluations raw_y
1 1.1116051578
6 1.4326647564
7 1.4459224986
33 1.4645577036
53 1.5179113540
59 1.8896447468
263 1.8982536067
265 1.9305019305
316 2.0112630732
352 2.0644095789
391 2.1607605877
425 2.1795989538
434 2.1949078139
495 2.3877745941
523 2.4437927664
525 2.5536261491
559 2.7995520717
630 3.0450669915
666 3.0525030525
710 3.0826140567
799 3.2938076416
835 3.4293552812
1080 3.5561877667
1231 3.6075036075
1383 3.6818851252
1762 3.7821482602
1874 3.7936267071
1987 4.0518638574
6009 4.2881646655
15178 4.3029259897
15272 4.3782837128
67647 4.5045045045
68331 4.6040515654
68875 4.7619047619
69083 4.8923679061
71813 4.9504950495
80012 5.0100200401
100000 2.3877745941
evaluations raw_y
1 0.9074410163
2 0.9552923194
3 1.6118633140
19 1.8102824041
119 2.0374898126
148 2.0542317173
182 2.2065313327
230 2.2261798753
257 2.6511134677
375 2.7502750275
382 2.7995520717
510 2.9036004646
520 2.9377203290
569 2.9446407538
600 3.1133250311
678 3.3288948069
968 3.3377837116
976 3.5360678925
1350 3.7037037037
1391 3.7147102526
1648 3.7257824143
2551 3.8402457757
3389 3.9370078740
3560 4.0783034258
4142 4.2881646655
6852 4.3630017452
30550 4.4722719141
39281 4.5207956600
100000 2.4679170780
evaluations raw_y
1 0.8944543828
2 1.3333333333
25 1.4084507042
31 1.4889815366
46 1.5733165513
56 1.5954052329
72 1.6545334216
73 1.6589250166
122 1.6611295681
139 1.9098548510
183 2.2065313327
244 2.3562676720
322 2.3969319271
360 2.5799793602
400 2.8506271380
490 2.8571428571
540 2.8702640643
571 3.0084235860
707 3.0525030525
886 3.2010243278
1039 3.2765399738
1058 3.2938076416
1143 3.3377837116
1268 3.3738191633
1303 3.4199726402
1399 3.5360678925
1940 3.6179450072
2849 3.6284470247
2973 3.6496350365
3453 3.6927621861
3821 3.8051750381
4079 3.8284839204
9879 4.0916530278
54691 4.1597337770
68509 4.1876046901
100000 3.1847133758
evaluations raw_y
1 0.9416195857
2 0.9502090460
3 1.4277555682
10 1.5479876161
28 1.6307893020
48 1.8395879323
68 1.9186492709
110 1.9700551615
232 2.0210185934
240 2.2665457842
244 2.4679170780
281 2.5125628141
295 2.5536261491
381 2.6068821689
386 2.6343519494
436 2.6511134677
454 2.7322404372
479 2.7808676307
524 2.7870680045
544 3.0376670717
727 3.0450669915
756 3.4482758621
784 3.5161744023
1432 3.6927621861
1939 3.9619651347
2893 3.9745627981
3202 4.0783034258
7558 4.1876046901
9289 4.2301184433
40098 4.4091710758
41584 4.4722719141
42241 4.5703839122
42674 4.8355899420
86481 5.1546391753
100000 2.6123301985
evaluations raw_y
1 0.9754194304
7 1.1967448540
9 1.2722646310
12 1.4132278123
51 1.5673981191
73 1.5693659761
98 1.8953752843
209 2.0644095789
283 2.4533856722
320 2.4975024975
426 2.7203482046
481 2.7442371021
520 2.8835063437
542 3.1685678074
716 3.2938076416
1374 3.3200531208
1389 3.4770514604
5010 3.4867503487
5097 3.5971223022
5362 3.6603221083
7501 3.6710719530
8352 3.7481259370
8707 3.9619651347
10467 4.0518638574
38409 4.2016806723
39202 4.2444821732
43466 4.6210720887
56825 4.7801147228
100000 3.6075036075
evaluations raw_y
1 0.9861932939
3 1.2357884330
4 1.3206550449
5 1.3564839935
7 1.3594344753
10 1.3623978202
20 1.7229496899
145 1.9040365575
221 1.9425019425
231 2.0712510356
240 2.2542831380
312 2.2789425706
335 2.4061597690
346 2.6511134677
419 2.6968716289
434 2.7685492802
478 2.8506271380
505 3.0229746070
762 3.2425421530
822 3.6284470247
1120 3.9872408293
1455 4.0783034258
1654 4.2589437819
39277 4.2735042735
39846 4.3327556326
100000 2.4485798237
evaluations raw_y
1 0.8220979941
3 1.1018069634
4 1.1410314925
5 1.4392630973
6 1.7998560115
178 1.9731649566
192 2.1349274125
229 2.2421524664
244 2.3474178404
300 2.4295432459
336 2.4826216485
354 2.4925224327
364 2.6968716289
399 2.7746947836
495 2.8768699655
535 3.0674846626
714 3.1289111389
734 3.5260930889
910 3.6927621861
958 3.8051750381
1169 3.8520801233
1271 3.8880248834
1310 4.1459369818
2129 4.1597337770
2269 4.2158516020
2290 4.3478260870
2468 4.5207956600
5121 4.5537340619
100000 2.1949078139
evaluations raw_y
1 0.9394964299
2 1.7205781142
69 1.7618040874
96 1.9127773527
121 1.9275250578
161 2.0341741253
197 2.3518344309
289 2.4061597690
343 2.4826216485
377 2.5125628141
395 2.6068821689
430 2.6232948583
491 2.6511134677
511 2.7027027027
525 2.7685492802
580 2.7746947836
583 2.9239766082
587 3.3025099075
723 3.4013605442
1104 3.4106412005
1111 3.6075036075
1311 3.7257824143
1590 3.8284839204
1734 3.8520801233
5414 3.8880248834
9251 4.1050903120
14265 4.1736227045
72127 4.2016806723
73106 4.2881646655
73261 4.3029259897
73578 4.3177892919
81457 4.4883303411
100000 1.4261266400
evaluations raw_y
1 1.1307100859
4 1.3404825737
42 1.5216068168
83 1.6677785190
206 1.7018379850
212 1.7373175817
252 1.8642803878
375 2.0016012810
391 2.0955574183
433 2.1276595745
443 2.1758050479
496 2.2143489814
501 2.3518344309
