evaluations raw_y evaporation_rate
1 46.0000000000 0.1000000000
2 47.0000000000 0.1000000000
5 52.0000000000 0.1000000000
9 55.0000000000 0.1000000000
11 57.0000000000 0.1000000000
21 60.0000000000 0.1000000000
24 63.0000000000 0.1000000000
30 66.0000000000 0.1000000000
39 69.0000000000 0.1000000000
51 70.0000000000 0.1000000000
58 72.0000000000 0.1000000000
75 75.0000000000 0.1000000000
83 76.0000000000 0.1000000000
115 77.0000000000 0.1000000000
120 78.0000000000 0.1000000000
202 79.0000000000 0.1000000000
238 80.0000000000 0.1000000000
296 81.0000000000 0.1000000000
311 82.0000000000 0.1000000000
346 83.0000000000 0.1000000000
395 84.0000000000 0.1000000000
491 85.0000000000 0.1000000000
537 86.0000000000 0.1000000000
570 87.0000000000 0.1000000000
643 88.0000000000 0.1000000000
726 89.0000000000 0.1000000000
853 90.0000000000 0.1000000000
1083 91.0000000000 0.1000000000
1157 92.0000000000 0.1000000000
1223 93.0000000000 0.1000000000
1574 94.0000000000 0.1000000000
1621 95.0000000000 0.1000000000
1756 96.0000000000 0.1000000000
1927 97.0000000000 0.1000000000
2216 98.0000000000 0.1000000000
2772 99.0000000000 0.1000000000
4372 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 48.0000000000 0.1000000000
2 49.0000000000 0.1000000000
3 51.0000000000 0.1000000000
9 54.0000000000 0.1000000000
14 56.0000000000 0.1000000000
17 59.0000000000 0.1000000000
25 62.0000000000 0.1000000000
30 64.0000000000 0.1000000000
46 65.0000000000 0.1000000000
47 66.0000000000 0.1000000000
58 67.0000000000 0.1000000000
60 68.0000000000 0.1000000000
76 69.0000000000 0.1000000000
94 70.0000000000 0.1000000000
135 71.0000000000 0.1000000000
163 72.0000000000 0.1000000000
184 73.0000000000 0.1000000000
190 74.0000000000 0.1000000000
206 75.0000000000 0.1000000000
221 76.0000000000 0.1000000000
316 77.0000000000 0.1000000000
353 78.0000000000 0.1000000000
367 79.0000000000 0.1000000000
503 80.0000000000 0.1000000000
550 81.0000000000 0.1000000000
594 82.0000000000 0.1000000000
818 83.0000000000 0.1000000000
834 84.0000000000 0.1000000000
929 85.0000000000 0.1000000000
1016 86.0000000000 0.1000000000
1085 87.0000000000 0.1000000000
1436 88.0000000000 0.1000000000
1463 89.0000000000 0.1000000000
1523 90.0000000000 0.1000000000
1616 91.0000000000 0.1000000000
1712 92.0000000000 0.1000000000
1782 93.0000000000 0.1000000000
1840 94.0000000000 0.1000000000
2124 95.0000000000 0.1000000000
2284 96.0000000000 0.1000000000
2559 97.0000000000 0.1000000000
2583 98.0000000000 0.1000000000
3114 99.0000000000 0.1000000000
3231 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 57.0000000000 0.1000000000
11 59.0000000000 0.1000000000
14 60.0000000000 0.1000000000
19 65.0000000000 0.1000000000
31 68.0000000000 0.1000000000
51 70.0000000000 0.1000000000
65 71.0000000000 0.1000000000
70 72.0000000000 0.1000000000
83 73.0000000000 0.1000000000
87 74.0000000000 0.1000000000
91 75.0000000000 0.1000000000
145 76.0000000000 0.1000000000
283 77.0000000000 0.1000000000
287 78.0000000000 0.1000000000
300 79.0000000000 0.1000000000
357 80.0000000000 0.1000000000
448 81.0000000000 0.1000000000
560 82.0000000000 0.1000000000
613 83.0000000000 0.1000000000
650 84.0000000000 0.1000000000
658 85.0000000000 0.1000000000
691 86.0000000000 0.1000000000
725 87.0000000000 0.1000000000
782 88.0000000000 0.1000000000
783 89.0000000000 0.1000000000
884 90.0000000000 0.1000000000
924 91.0000000000 0.1000000000
1063 92.0000000000 0.1000000000
1076 93.0000000000 0.1000000000
1349 94.0000000000 0.1000000000
1474 95.0000000000 0.1000000000
1741 96.0000000000 0.1000000000
1963 97.0000000000 0.1000000000
2271 98.0000000000 0.1000000000
3124 99.0000000000 0.1000000000
3630 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 38.0000000000 0.1000000000
2 46.0000000000 0.1000000000
4 47.0000000000 0.1000000000
6 49.0000000000 0.1000000000
7 52.0000000000 0.1000000000
20 58.0000000000 0.1000000000
34 60.0000000000 0.1000000000
40 62.0000000000 0.1000000000
46 63.0000000000 0.1000000000
51 64.0000000000 0.1000000000
101 65.0000000000 0.1000000000
109 66.0000000000 0.1000000000
129 67.0000000000 0.1000000000
205 68.0000000000 0.1000000000
304 69.0000000000 0.1000000000
354 70.0000000000 0.1000000000
374 71.0000000000 0.1000000000
396 72.0000000000 0.1000000000
414 73.0000000000 0.1000000000
461 74.0000000000 0.1000000000
512 75.0000000000 0.1000000000
535 76.0000000000 0.1000000000
647 77.0000000000 0.1000000000
714 78.0000000000 0.1000000000
765 79.0000000000 0.1000000000
863 80.0000000000 0.1000000000
940 81.0000000000 0.1000000000
958 82.0000000000 0.1000000000
975 83.0000000000 0.1000000000
998 84.0000000000 0.1000000000
1017 85.0000000000 0.1000000000
1038 86.0000000000 0.1000000000
1247 87.0000000000 0.1000000000
1365 88.0000000000 0.1000000000
1372 89.0000000000 0.1000000000
1568 90.0000000000 0.1000000000
1727 91.0000000000 0.1000000000
1773 92.0000000000 0.1000000000
2042 93.0000000000 0.1000000000
2098 94.0000000000 0.1000000000
2237 95.0000000000 0.1000000000
2313 96.0000000000 0.1000000000
3517 97.0000000000 0.1000000000
