evaluations raw_y evaporation_rate
1 -0.5255955036 0.1000000000
2 -0.4850467920 0.1000000000
8 -0.4781770583 0.1000000000
10 -0.4709531006 0.1000000000
12 -0.4280072331 0.1000000000
33 -0.4241274199 0.1000000000
39 -0.4236420473 0.1000000000
42 -0.4232274020 0.1000000000
50 -0.4229055201 0.1000000000
51 -0.4187971927 0.1000000000
53 -0.4183138326 0.1000000000
65 -0.4132121196 0.1000000000
67 -0.4088384958 0.1000000000
104 -0.4037367829 0.1000000000
151 -0.4035694555 0.1000000000
165 -0.4029586913 0.1000000000
175 -0.4027913639 0.1000000000
306 -0.3966963167 0.1000000000
346 -0.3926310518 0.1000000000
414 -0.3876770633 0.1000000000
425 -0.3861460868 0.1000000000
570 -0.3799419281 0.1000000000
643 -0.3775793072 0.1000000000
772 -0.3765945903 0.1000000000
786 -0.3710688782 0.1000000000
814 -0.3702670372 0.1000000000
855 -0.3685561417 0.1000000000
921 -0.3634066641 0.1000000000
939 -0.3588927764 0.1000000000
985 -0.3565286891 0.1000000000
1033 -0.3515754266 0.1000000000
1142 -0.3498040476 0.1000000000
1155 -0.3441015634 0.1000000000
1157 -0.3439652853 0.1000000000
1160 -0.3421939063 0.1000000000
1217 -0.3381408252 0.1000000000
1609 -0.3314955000 0.1000000000
1784 -0.3310153800 0.1000000000
1927 -0.3302743626 0.1000000000
1994 -0.3300821812 0.1000000000
2056 -0.3294655990 0.1000000000
2337 -0.3188917608 0.1000000000
2501 -0.3188833757 0.1000000000
2772 -0.3176909456 0.1000000000
3996 -0.3166899052 0.1000000000
8224 -0.3139955611 0.1000000000
100000 -0.3141877425 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5042901979 0.1000000000
2 -0.4914822958 0.1000000000
9 -0.4497917707 0.1000000000
18 -0.4406966967 0.1000000000
30 -0.4337594193 0.1000000000
32 -0.4324882447 0.1000000000
36 -0.4249391800 0.1000000000
40 -0.4128742481 0.1000000000
45 -0.4109881717 0.1000000000
53 -0.4101863307 0.1000000000
57 -0.4063576896 0.1000000000
80 -0.4055558486 0.1000000000
89 -0.4036549343 0.1000000000
93 -0.4028530932 0.1000000000
103 -0.3997050457 0.1000000000
115 -0.3989032047 0.1000000000
158 -0.3976424087 0.1000000000
177 -0.3876398597 0.1000000000
220 -0.3832746739 0.1000000000
239 -0.3825545397 0.1000000000
334 -0.3767551324 0.1000000000
495 -0.3750527169 0.1000000000
498 -0.3744756840 0.1000000000
500 -0.3739169008 0.1000000000
600 -0.3724749923 0.1000000000
660 -0.3679042049 0.1000000000
664 -0.3629906356 0.1000000000
798 -0.3527748170 0.1000000000
885 -0.3520337996 0.1000000000
949 -0.3517822609 0.1000000000
1102 -0.3505898307 0.1000000000
1361 -0.3493595406 0.1000000000
1496 -0.3455954476 0.1000000000
1597 -0.3453885380 0.1000000000
1606 -0.3448331498 0.1000000000
1611 -0.3446262403 0.1000000000
1846 -0.3439301894 0.1000000000
1861 -0.3378351422 0.1000000000
2027 -0.3343576509 0.1000000000
2218 -0.3304729703 0.1000000000
2438 -0.3297835536 0.1000000000
2461 -0.3294519796 0.1000000000
3211 -0.3267978496 0.1000000000
3376 -0.3261442845 0.1000000000
4464 -0.3256641645 0.1000000000
4589 -0.3191307613 0.1000000000
100000 -0.3191307613 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5425963596 0.1000000000
3 -0.5192108706 0.1000000000
5 -0.4967667746 0.1000000000
22 -0.4962866546 0.1000000000
26 -0.4830535957 0.1000000000
32 -0.4709234074 0.1000000000
37 -0.4677789848 0.1000000000
40 -0.4563187106 0.1000000000
56 -0.4460726614 0.1000000000
59 -0.4455925414 0.1000000000
86 -0.4350187033 0.1000000000
98 -0.4299561760 0.1000000000
108 -0.4239106464 0.1000000000
142 -0.4216311980 0.1000000000
160 -0.4207032031 0.1000000000
212 -0.4134533942 0.1000000000
217 -0.4096571169 0.1000000000
268 -0.4018442990 0.1000000000
276 -0.3997023174 0.1000000000
354 -0.3933821658 0.1000000000
523 -0.3930581275 0.1000000000
537 -0.3925831042 0.1000000000
630 -0.3823482177 0.1000000000
641 -0.3808742232 0.1000000000
826 -0.3801848065 0.1000000000
899 -0.3795682242 0.1000000000
1000 -0.3760886697 0.1000000000
1082 -0.3709391920 0.1000000000
1113 -0.3642408288 0.1000000000
1204 -0.3565616367 0.1000000000
1258 -0.3521964509 0.1000000000
1625 -0.3483117704 0.1000000000
1652 -0.3437978828 0.1000000000
1654 -0.3430568654 0.1000000000
1973 -0.3422945677 0.1000000000
2159 -0.3386249709 0.1000000000
2579 -0.3379289201 0.1000000000
2683 -0.3344886309 0.1000000000
3013 -0.3319001470 0.1000000000
3081 -0.3233861246 0.1000000000
3468 -0.3221253286 0.1000000000
3571 -0.3194711985 0.1000000000
4021 -0.3129377954 0.1000000000
4843 -0.3091737024 0.1000000000
100000 -0.3091737024 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5296482635 0.1000000000
3 -0.5134678964 0.1000000000
4 -0.4799819160 0.1000000000
6 -0.4470892690 0.1000000000
19 -0.4373442483 0.1000000000
26 -0.4277079447 0.1000000000
54 -0.4230774626 0.1000000000
61 -0.4214198924 0.1000000000
73 -0.4145672371 0.1000000000
127 -0.4102020514 0.1000000000
244 -0.4098540943 0.1000000000
259 -0.4078824433 0.1000000000
372 -0.3998860103 0.1000000000
450 -0.3977440287 0.1000000000
473 -0.3951555448 0.1000000000
490 -0.3933841658 0.1000000000
596 -0.3872195041 0.1000000000
602 -0.3845653740 0.1000000000
609 -0.3817737627 0.1000000000
620 -0.3771432806 0.1000000000
628 -0.3767513804 0.1000000000
631 -0.3721208983 0.1000000000
652 -0.3688706775 0.1000000000
666 -0.3640591460 0.1000000000
682 -0.3627876377 0.1000000000
698 -0.3620466204 0.1000000000
893 -0.3585838617 0.1000000000
900 -0.3540699741 0.1000000000
970 -0.3518512155 0.1000000000
973 -0.3518207097 0.1000000000
978 -0.3505904195 0.1000000000
1085 -0.3498943687 0.1000000000
1092 -0.3467999876 0.1000000000
1096 -0.3461039367 0.1000000000
1288 -0.3388214543 0.1000000000
1363 -0.3388130691 0.1000000000
1416 -0.3381595041 0.1000000000
1465 -0.3335600848 0.1000000000
1527 -0.3330303421 0.1000000000
1717 -0.3320293017 0.1000000000
1840 -0.3316772601 0.1000000000
1934 -0.3267232715 0.1000000000
2240 -0.3261533876 0.1000000000
2871 -0.3237930574 0.1000000000
2922 -0.3152790350 0.1000000000
3010 -0.3063998406 0.1000000000
4085 -0.3057832584 0.1000000000
4580 -0.3050051668 0.1000000000
4738 -0.3046735927 0.1000000000
100000 -0.3046735927 0.1000000000
evaluations raw_y evaporation_rate
1 -0.4894263915 0.1000000000
5 -0.4476231584 0.1000000000
25 -0.4398042305 0.1000000000
33 -0.4351727862 0.1000000000
42 -0.4343955170 0.1000000000
48 -0.4289246401 0.1000000000
53 -0.4167608027 0.1000000000
66 -0.4145640734 0.1000000000
73 -0.4145556882 0.1000000000
85 -0.4127843092 0.1000000000
272 -0.4098510665 0.1000000000
276 -0.4095194925 0.1000000000
326 -0.4046746379 0.1000000000
406 -0.3979762746 0.1000000000
447 -0.3915986313 0.1000000000
477 -0.3907747285 0.1000000000
537 -0.3906913986 0.1000000000
571 -0.3874411778 0.1000000000
808 -0.3872738505 0.1000000000
852 -0.3811771035 0.1000000000
921 -0.3762762674 0.1000000000
954 -0.3711178886 0.1000000000
1004 -0.3704643236 0.1000000000
1159 -0.3662579790 0.1000000000
1221 -0.3652489671 0.1000000000
1244 -0.3644931224 0.1000000000
1255 -0.3585967419 0.1000000000
1291 -0.3545436608 0.1000000000
1310 -0.3495903983 0.1000000000
1354 -0.3476827412 0.1000000000
1444 -0.3396601946 0.1000000000
1538 -0.3389191773 0.1000000000
1828 -0.3384794480 0.1000000000
1967 -0.3372491579 0.1000000000
2047 -0.3295699657 0.1000000000
2182 -0.3193331732 0.1000000000
2463 -0.3176509483 0.1000000000
2984 -0.3164104146 0.1000000000
3830 -0.3157938324 0.1000000000
4118 -0.3088551850 0.1000000000
4751 -0.3027601378 0.1000000000
5713 -0.3004523874 0.1000000000
6788 -0.2999722674 0.1000000000
100000 -0.2999722674 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5121578576 0.1000000000
2 -0.4810757075 0.1000000000
8 -0.4646777628 0.1000000000
14 -0.4537084873 0.1000000000
22 -0.4432303992 0.1000000000
33 -0.4364417652 0.1000000000
36 -0.4319489892 0.1000000000
42 -0.4269278645 0.1000000000
48 -0.4223381950 0.1000000000
55 -0.4158317042 0.1000000000
59 -0.4124977243 0.1000000000
66 -0.4121558952 0.1000000000
95 -0.4087156060 0.1000000000
131 -0.4046503411 0.1000000000
145 -0.3952448266 0.1000000000
152 -0.3911795617 0.1000000000
160 -0.3885132784 0.1000000000
170 -0.3860918955 0.1000000000
197 -0.3741011413 0.1000000000
216 -0.3694706592 0.1000000000
295 -0.3621881768 0.1000000000
319 -0.3574932492 0.1000000000
334 -0.3552713687 0.1000000000
571 -0.3517918142 0.1000000000
749 -0.3463636266 0.1000000000
751 -0.3440719264 0.1000000000
761 -0.3366431898 0.1000000000
948 -0.3317116912 0.1000000000
1276 -0.3294039408 0.1000000000
1301 -0.3245590861 0.1000000000
1485 -0.3221987559 0.1000000000
1805 -0.3184346630 0.1000000000
1917 -0.3104553275 0.1000000000
2460 -0.3055544914 0.1000000000
2989 -0.3055461063 0.1000000000
11091 -0.3042201084 0.1000000000
100000 -0.3042201084 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5262623277 0.1000000000
2 -0.4907817175 0.1000000000
6 -0.4834055541 0.1000000000
9 -0.4789697138 0.1000000000
16 -0.4699381396 0.1000000000
24 -0.4680964427 0.1000000000
25 -0.4630352589 0.1000000000
36 -0.4592148885 0.1000000000
38 -0.4546709619 0.1000000000
39 -0.4533697162 0.1000000000
41 -0.4501449448 0.1000000000
45 -0.4458047582 0.1000000000
46 -0.4451829536 0.1000000000
52 -0.4322034703 0.1000000000
63 -0.4302341291 0.1000000000
64 -0.4267938399 0.1000000000
70 -0.4242446535 0.1000000000
78 -0.4206291782 0.1000000000
88 -0.4180799918 0.1000000000
148 -0.4142163839 0.1000000000
152 -0.4097024963 0.1000000000
172 -0.4092223763 0.1000000000
180 -0.4075114808 0.1000000000
222 -0.4049229969 0.1000000000
230 -0.4048709549 0.1000000000
234 -0.4022824710 0.1000000000
295 -0.4004795186 0.1000000000
317 -0.3972965900 0.1000000000
335 -0.3947345148 0.1000000000
408 -0.3941002702 0.1000000000
495 -0.3875750000 0.1000000000
580 -0.3836243815 0.1000000000
605 -0.3823635855 0.1000000000
709 -0.3750811030 0.1000000000
728 -0.3671614229 0.1000000000
846 -0.3611158933 0.1000000000
878 -0.3557310145 0.1000000000
1056 -0.3501856853 0.1000000000
1123 -0.3452316967 0.1000000000
1145 -0.3451052912 0.1000000000
1412 -0.3438647576 0.1000000000
1501 -0.3413255442 0.1000000000
1506 -0.3400850105 0.1000000000
1596 -0.3324058184 0.1000000000
1619 -0.3320639893 0.1000000000
1626 -0.3294098593 0.1000000000
1650 -0.3275736201 0.1000000000
1663 -0.3272420461 0.1000000000
1708 -0.3266254638 0.1000000000
1848 -0.3217806092 0.1000000000
2084 -0.3170072216 0.1000000000
2480 -0.3160061813 0.1000000000
3382 -0.3152280897 0.1000000000
3806 -0.3099084539 0.1000000000
8735 -0.3038445467 0.1000000000
8738 -0.3023705522 0.1000000000
100000 -0.3023705522 0.1000000000
evaluations raw_y evaporation_rate
1 -0.5124320140 0.1000000000
2 -0.5006987915 0.1000000000
3 -0.4868594720 0.1000000000
4 -0.4735264995 0.1000000000
9 -0.4524944437 0.1000000000
15 -0.4488723011 0.1000000000
16 -0.4433623969 0.1000000000
17 -0.4339675551 0.1000000000
18 -0.4260371794 0.1000000000
33 -0.4245717412 0.1000000000
36 -0.4205714921 0.1000000000
43 -0.4139750468 0.1000000000
51 -0.4084762345 0.1000000000
61 -0.4030014427 0.1000000000
