evaluations raw_y
1 1.5216068168
2 1.6223231668
39 1.7921146953
60 1.9638648861
115 2.2502250225
149 2.3651844844
202 2.3969319271
226 2.5176233635
486 2.5641025641
729 2.6343519494
787 2.7322404372
814 2.7870680045
830 2.8441410694
1468 2.8506271380
2297 2.8968713789
2445 2.9585798817
3264 2.9940119760
3298 3.0156815440
4342 3.0826140567
6010 3.0902348578
6085 3.1928480204
7167 3.2509752926
7485 3.2594524120
8674 3.3738191633
10210 3.4770514604
10516 3.5460992908
100000 3.5460992908
evaluations raw_y
1 1.0175010175
30 1.0651896037
49 1.1276499774
51 1.2201073694
70 1.3506212858
89 1.3974287311
165 1.4376078206
177 1.5460729746
219 1.7182130584
220 1.8867924528
228 2.0112630732
341 2.0542317173
444 2.3696682464
637 2.4975024975
687 2.6567481403
1224 2.6624068158
1361 2.7624309392
1363 2.7685492802
1457 2.8636884307
1539 2.8702640643
1930 3.0750307503
2348 3.2938076416
2665 3.3377837116
100000 3.3377837116
evaluations raw_y
1 0.8448800270
24 0.8925383792
74 0.9738994936
86 0.9854158455
102 1.0351966874
110 1.1420740064
111 1.2260912212
116 1.2933264356
127 1.3804527885
137 1.4180374362
150 1.5234613041
205 1.5479876161
207 1.6523463318
270 1.7667844523
292 1.9215987702
325 1.9546520719
354 2.0112630732
365 2.2789425706
611 2.3607176582
649 2.4975024975
890 2.5960539979
940 2.6567481403
1055 2.6624068158
1113 2.8121484814
1572 3.0229746070
1573 3.2175032175
1681 3.2594524120
100000 3.2594524120
evaluations raw_y
1 1.2866700978
35 1.3041210224
37 1.3623978202
48 1.5499070056
67 1.5556938395
155 1.7349063151
221 1.7470300489
244 1.7667844523
257 1.8698578908
275 1.9305019305
402 1.9700551615
456 2.0920502092
562 2.1312872975
626 2.1720243267
643 2.5075225677
701 2.5853154085
762 2.7624309392
1103 3.0376670717
1442 3.1685678074
1469 3.2425421530
1789 3.4674063800
1816 3.4770514604
4406 3.5260930889
4738 3.6390101892
7774 3.6927621861
7878 3.8167938931
100000 3.7369207773
evaluations raw_y
1 1.0931351115
18 1.1462631820
21 1.2272950417
63 1.4084507042
85 1.4261266400
108 1.5752993069
143 1.6056518947
227 1.6077170418
235 1.6139444803
276 1.7519271198
317 1.7743080199
326 1.7869907076
344 1.8368846436
392 1.8782870023
527 1.9275250578
599 1.9305019305
761 2.0080321285
852 2.0644095789
877 2.1168501270
907 2.1422450728
936 2.1533161068
982 2.1570319241
1137 2.2789425706
1221 2.3696682464
1285 2.3923444976
1444 2.4061597690
1682 2.4582104228
2047 2.5960539979
2062 2.6680896478
2245 2.7085590466
2425 2.7624309392
2509 2.7808676307
3793 2.7995520717
4875 2.8441410694
5862 2.8901734104
6180 2.8968713789
6718 3.1367628607
6888 3.1766200762
7820 3.1847133758
100000 3.1847133758
evaluations raw_y
1 1.3433637829
51 1.4310246136
60 1.4594279043
64 1.5792798484
77 1.6223231668
114 1.7768301350
131 1.7998560115
148 1.8504811251
155 2.0016012810
277 2.0576131687
305 2.1758050479
319 2.3969319271
529 2.4108003857
590 2.7685492802
613 2.8121484814
1118 2.8702640643
1264 2.9171528588
1500 3.0376670717
2119 3.1525851198
4282 3.2594524120
4645 3.2679738562
4672 3.2938076416
5035 3.6927621861
100000 3.6927621861
evaluations raw_y
1 0.5772338952
20 0.6843690118
60 0.7144898542
64 0.7675775253
67 0.7874015748
82 0.8124796880
106 0.9924573243
129 1.1379153391
148 1.2357884330
196 1.3290802764
209 1.3535462913
294 1.3728720483
385 1.3989927252
387 1.6436554898
390 1.6589250166
433 1.7692852088
453 1.8181818182
482 1.8867924528
533 2.0048115477
