evaluations raw_y
1 -0.5255955036
2 -0.5240739652
35 -0.5208237444
60 -0.5116412134
105 -0.5049428501
108 -0.4968495641
120 -0.4945081087
151 -0.4943407814
155 -0.4774913826
216 -0.4634071498
238 -0.4608450746
296 -0.4525956946
346 -0.4507594554
416 -0.4453745767
425 -0.4438436002
440 -0.4435774604
514 -0.4368524232
525 -0.4269341247
643 -0.4245715039
644 -0.4203293576
673 -0.4182663246
755 -0.4139445931
814 -0.4126830369
853 -0.4120247823
895 -0.4112319369
985 -0.4073232724
1033 -0.3995104545
1409 -0.3944051474
1418 -0.3895301411
1452 -0.3865463415
1609 -0.3799010163
1629 -0.3749772102
1743 -0.3707708656
1747 -0.3685090789
1751 -0.3678426025
1846 -0.3643651112
1927 -0.3636240938
1994 -0.3634319124
2004 -0.3627358616
2080 -0.3548883497
2297 -0.3548256738
2354 -0.3521229185
2360 -0.3508621225
2492 -0.3503323797
2566 -0.3459671940
2904 -0.3433130640
3342 -0.3389610828
3407 -0.3354983241
3996 -0.3344972837
4358 -0.3334882719
4773 -0.3322579817
5632 -0.3321315762
5835 -0.3268119404
6955 -0.3256708817
7003 -0.3251907617
7486 -0.3214692981
9276 -0.3165153095
100000 -0.3167074910
evaluations raw_y
1 -0.5042901979
49 -0.5024065496
51 -0.4916771009
68 -0.4911357688
89 -0.4819008815
93 -0.4813711388
99 -0.4752743918
158 -0.4703428932
165 -0.4685399408
177 -0.4665834774
196 -0.4647074389
220 -0.4541844404
239 -0.4528261270
314 -0.4474090056
334 -0.4456376266
403 -0.4456292415
444 -0.4376066949
459 -0.4332547137
500 -0.4161139095
508 -0.4106930785
514 -0.4051010770
523 -0.3971217416
537 -0.3954395166
633 -0.3898007498
658 -0.3879763381
800 -0.3845135794
828 -0.3841717503
852 -0.3834988401
957 -0.3805150406
1099 -0.3774673757
1133 -0.3667047106
1159 -0.3613958346
1224 -0.3553547173
1361 -0.3541244271
1363 -0.3538003889
1400 -0.3519762487
1412 -0.3507089878
1496 -0.3469448948
1497 -0.3443564109
1555 -0.3417022809
1585 -0.3412221609
1606 -0.3404598631
1708 -0.3342557044
1846 -0.3335596536
2464 -0.3306152809
2837 -0.3239249665
3652 -0.3197186219
5007 -0.3112045995
100000 -0.3112045995
evaluations raw_y
1 -0.5425963596
5 -0.5425879744
72 -0.5353054920
86 -0.5247316538
98 -0.5137027910
102 -0.5031683904
108 -0.4971228608
116 -0.4970178207
205 -0.4906422789
209 -0.4878205135
212 -0.4804434962
213 -0.4754895076
268 -0.4676766897
290 -0.4658404506
