evaluations raw_y
1 0.0000000000
2072 1.0000000000
2312 2.0000000000
2745 4.0000000000
3275 10.0000000000
6955 11.0000000000
8999 13.0000000000
9104 16.0000000000
11038 18.0000000000
16196 22.0000000000
16204 23.0000000000
16405 25.0000000000
16587 26.0000000000
16867 27.0000000000
20447 29.0000000000
22139 35.0000000000
22229 37.0000000000
22291 40.0000000000
22788 41.0000000000
23250 43.0000000000
25615 45.0000000000
26103 46.0000000000
26766 47.0000000000
27652 48.0000000000
29063 49.0000000000
32696 51.0000000000
34230 52.0000000000
34384 54.0000000000
34879 55.0000000000
35430 57.0000000000
35805 60.0000000000
35951 63.0000000000
37275 64.0000000000
38280 66.0000000000
39638 67.0000000000
40434 69.0000000000
40618 70.0000000000
41508 71.0000000000
41828 73.0000000000
46442 75.0000000000
46565 77.0000000000
47204 79.0000000000
49214 81.0000000000
50095 84.0000000000
50316 85.0000000000
52270 86.0000000000
54307 87.0000000000
54795 89.0000000000
57492 91.0000000000
58747 93.0000000000
59215 94.0000000000
59369 95.0000000000
60435 96.0000000000
60702 97.0000000000
62111 100.0000000000
evaluations raw_y
1 0.0000000000
197 2.0000000000
692 3.0000000000
1257 4.0000000000
2362 5.0000000000
3889 7.0000000000
4253 9.0000000000
5727 10.0000000000
5881 11.0000000000
6359 12.0000000000
6879 14.0000000000
7184 15.0000000000
7635 16.0000000000
7903 17.0000000000
10219 18.0000000000
12633 19.0000000000
13801 20.0000000000
14152 25.0000000000
14371 27.0000000000
15178 28.0000000000
18491 34.0000000000
19857 35.0000000000
19956 36.0000000000
20027 39.0000000000
20682 40.0000000000
24912 41.0000000000
25120 47.0000000000
25839 48.0000000000
25912 49.0000000000
26413 53.0000000000
26883 58.0000000000
26931 61.0000000000
27778 62.0000000000
28043 70.0000000000
28356 71.0000000000
28849 74.0000000000
32152 76.0000000000
34495 78.0000000000
35063 80.0000000000
35669 81.0000000000
35705 82.0000000000
36612 83.0000000000
44286 87.0000000000
48861 89.0000000000
49721 91.0000000000
49752 93.0000000000
50440 94.0000000000
50599 99.0000000000
51980 100.0000000000
evaluations raw_y
1 1.0000000000
299 2.0000000000
1165 3.0000000000
5514 4.0000000000
6024 6.0000000000
6799 7.0000000000
8176 11.0000000000
10664 12.0000000000
14871 13.0000000000
14934 16.0000000000
15657 17.0000000000
18699 18.0000000000
18890 21.0000000000
19411 23.0000000000
21291 27.0000000000
23016 28.0000000000
23291 32.0000000000
23406 33.0000000000
23689 34.0000000000
24193 36.0000000000
24860 37.0000000000
24938 39.0000000000
25315 44.0000000000
25458 45.0000000000
26631 46.0000000000
29367 47.0000000000
30464 48.0000000000
30888 50.0000000000
30914 60.0000000000
31635 61.0000000000
34348 64.0000000000
37085 66.0000000000
38294 67.0000000000
39020 69.0000000000
39897 70.0000000000
40729 73.0000000000
41928 74.0000000000
42886 78.0000000000
43033 79.0000000000
43547 86.0000000000
44160 89.0000000000
45639 90.0000000000
48842 91.0000000000
49837 92.0000000000
50697 93.0000000000
52286 94.0000000000
52416 95.0000000000
54245 96.0000000000
55598 98.0000000000
55729 99.0000000000
55971 100.0000000000
evaluations raw_y
1 0.0000000000
88 3.0000000000
679 4.0000000000
4100 8.0000000000
6226 9.0000000000
6959 10.0000000000
9230 11.0000000000
11014 12.0000000000
12491 13.0000000000
17047 14.0000000000
18456 15.0000000000
23388 17.0000000000
23578 18.0000000000
23972 19.0000000000
24463 20.0000000000
24534 21.0000000000
26217 22.0000000000
26996 23.0000000000
27422 24.0000000000
27946 26.0000000000
28401 29.0000000000
28617 30.0000000000
30387 32.0000000000
31544 34.0000000000
32592 35.0000000000
32941 38.0000000000
34007 40.0000000000
34022 55.0000000000
35449 56.0000000000
36875 58.0000000000
37734 60.0000000000
39788 61.0000000000
40302 62.0000000000
41262 65.0000000000
41800 66.0000000000
42158 67.0000000000
42713 68.0000000000
43574 69.0000000000
47427 70.0000000000
48472 76.0000000000
49012 78.0000000000
49369 79.0000000000
50767 82.0000000000
52908 84.0000000000
53477 85.0000000000
53523 86.0000000000
54817 87.0000000000
55064 90.0000000000
55468 91.0000000000
55799 92.0000000000
58017 96.0000000000
60140 97.0000000000
60243 98.0000000000
60701 100.0000000000
evaluations raw_y
1 0.0000000000
85 1.0000000000
312 2.0000000000
395 4.0000000000
479 5.0000000000
966 7.0000000000
1363 8.0000000000
4056 10.0000000000
4374 13.0000000000
4916 14.0000000000
5124 15.0000000000
5493 17.0000000000
5688 18.0000000000
6603 22.0000000000
6671 26.0000000000
6839 32.0000000000
8544 37.0000000000
9045 40.0000000000
9318 41.0000000000
10175 42.0000000000
10875 43.0000000000
11851 44.0000000000
12080 56.0000000000
13171 57.0000000000
13375 60.0000000000
13762 61.0000000000
14588 62.0000000000
16514 64.0000000000
17102 66.0000000000
17665 68.0000000000
18134 71.0000000000
18649 75.0000000000
19338 77.0000000000
19732 78.0000000000
20880 80.0000000000
21031 85.0000000000
22240 86.0000000000
23473 91.0000000000
27764 93.0000000000
30585 95.0000000000
31589 96.0000000000
31842 98.0000000000
32403 100.0000000000
evaluations raw_y
1 3.0000000000
551 5.0000000000
878 9.0000000000
1107 11.0000000000
1396 12.0000000000
3378 13.0000000000
4389 16.0000000000
4458 22.0000000000
5692 23.0000000000
6754 24.0000000000
8143 28.0000000000
9314 30.0000000000
9547 34.0000000000
10924 39.0000000000
12349 41.0000000000
13342 43.0000000000
15895 46.0000000000
15940 48.0000000000
17318 49.0000000000
18109 50.0000000000
19006 51.0000000000
19183 53.0000000000
21161 54.0000000000
21804 55.0000000000
23694 56.0000000000
24227 58.0000000000
24252 59.0000000000
25231 61.0000000000
25964 66.0000000000
26270 67.0000000000
26762 68.0000000000
29602 71.0000000000
31876 74.0000000000
32388 75.0000000000
33821 77.0000000000
34387 81.0000000000
34539 82.0000000000
34625 83.0000000000
34896 85.0000000000
35495 87.0000000000
35511 88.0000000000
36711 89.0000000000
37026 90.0000000000
38174 91.0000000000
38367 93.0000000000
38869 94.0000000000
38875 95.0000000000
41562 96.0000000000
41681 98.0000000000
43316 99.0000000000
44162 100.0000000000
evaluations raw_y
1 0.0000000000
283 1.0000000000
1572 4.0000000000
1721 5.0000000000
2863 6.0000000000
3058 8.0000000000
3143 12.0000000000
3189 17.0000000000
4239 18.0000000000
4282 20.0000000000
4926 21.0000000000
5001 24.0000000000
5228 26.0000000000
5312 27.0000000000
5445 28.0000000000
6685 30.0000000000
9284 31.0000000000
9988 33.0000000000
11803 35.0000000000
13701 36.0000000000
13810 37.0000000000
14748 38.0000000000
15378 39.0000000000
15461 40.0000000000
16012 41.0000000000
18713 42.0000000000
19386 45.0000000000
19464 46.0000000000
19872 47.0000000000
21347 53.0000000000
21505 54.0000000000
24057 56.0000000000
24707 57.0000000000
24833 58.0000000000
26345 60.0000000000
27083 62.0000000000
29337 65.0000000000
30685 66.0000000000
33269 69.0000000000
33544 70.0000000000
36343 71.0000000000
36358 72.0000000000
36940 73.0000000000
36951 75.0000000000
37250 77.0000000000
37918 79.0000000000
38134 80.0000000000
39573 82.0000000000
41262 85.0000000000
42997 89.0000000000
43013 90.0000000000
43593 91.0000000000
43978 93.0000000000
47401 94.0000000000
47853 98.0000000000
48744 99.0000000000
48764 100.0000000000
evaluations raw_y
1 1.0000000000
105 6.0000000000
3180 8.0000000000
5047 11.0000000000
5168 13.0000000000
6630 16.0000000000
7207 18.0000000000
7690 23.0000000000
7988 24.0000000000
8734 26.0000000000
11131 28.0000000000
11761 31.0000000000
12021 33.0000000000
12308 34.0000000000
12363 35.0000000000
12588 36.0000000000
12895 37.0000000000
13783 42.0000000000
14247 44.0000000000
16662 48.0000000000
18421 51.0000000000
20039 52.0000000000
20112 56.0000000000
24132 57.0000000000
25147 62.0000000000
26212 63.0000000000
27848 64.0000000000
28112 71.0000000000
28242 72.0000000000
31001 73.0000000000
33434 76.0000000000
34422 78.0000000000
36055 79.0000000000
38643 80.0000000000
38840 83.0000000000
41431 84.0000000000
43249 85.0000000000
44171 87.0000000000
44463 93.0000000000
45580 94.0000000000
47529 95.0000000000
48093 96.0000000000
48534 97.0000000000
51192 100.0000000000
evaluations raw_y
1 1.0000000000
1459 3.0000000000
3517 4.0000000000
3635 7.0000000000
4015 10.0000000000
4415 11.0000000000
4516 19.0000000000
4782 27.0000000000
7032 29.0000000000
7817 31.0000000000
9799 32.0000000000
14066 34.0000000000
15768 37.0000000000
19451 39.0000000000
19968 43.0000000000
20530 46.0000000000
20579 48.0000000000
22426 49.0000000000
22696 50.0000000000
25109 52.0000000000
25518 53.0000000000
25738 54.0000000000
26368 59.0000000000
28393 61.0000000000
28646 62.0000000000
32072 64.0000000000
32082 65.0000000000
33585 66.0000000000
34029 68.0000000000
35244 71.0000000000
36096 74.0000000000
36491 78.0000000000
36673 79.0000000000
36992 82.0000000000
37636 84.0000000000
39663 85.0000000000
40088 86.0000000000
40265 88.0000000000
42415 89.0000000000
43203 90.0000000000
44727 93.0000000000
50583 94.0000000000
51129 97.0000000000
