evaluations raw_y evaporation_rate
1 46.0000000000 0.0100000000
4 50.0000000000 0.0100000000
5 51.0000000000 0.0100000000
9 53.0000000000 0.0100000000
21 55.0000000000 0.0100000000
42 58.0000000000 0.0100000000
57 59.0000000000 0.0100000000
61 61.0000000000 0.0100000000
73 63.0000000000 0.0100000000
121 66.0000000000 0.0100000000
167 67.0000000000 0.0100000000
177 68.0000000000 0.0100000000
196 71.0000000000 0.0100000000
202 76.0000000000 0.0100000000
266 79.0000000000 0.0100000000
325 80.0000000000 0.0100000000
395 81.0000000000 0.0100000000
412 83.0000000000 0.0100000000
452 86.0000000000 0.0100000000
583 87.0000000000 0.0100000000
622 88.0000000000 0.0100000000
651 89.0000000000 0.0100000000
801 90.0000000000 0.0100000000
1050 91.0000000000 0.0100000000
1463 92.0000000000 0.0100000000
1574 93.0000000000 0.0100000000
1609 94.0000000000 0.0100000000
1994 95.0000000000 0.0100000000
2120 96.0000000000 0.0100000000
2462 97.0000000000 0.0100000000
2488 98.0000000000 0.0100000000
2777 99.0000000000 0.0100000000
5246 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 45.0000000000 0.0100000000
2 46.0000000000 0.0100000000
4 49.0000000000 0.0100000000
5 59.0000000000 0.0100000000
15 60.0000000000 0.0100000000
39 61.0000000000 0.0100000000
58 64.0000000000 0.0100000000
67 71.0000000000 0.0100000000
160 74.0000000000 0.0100000000
219 78.0000000000 0.0100000000
262 79.0000000000 0.0100000000
300 80.0000000000 0.0100000000
391 82.0000000000 0.0100000000
466 84.0000000000 0.0100000000
537 85.0000000000 0.0100000000
569 86.0000000000 0.0100000000
615 87.0000000000 0.0100000000
781 88.0000000000 0.0100000000
820 89.0000000000 0.0100000000
880 90.0000000000 0.0100000000
1146 91.0000000000 0.0100000000
1387 92.0000000000 0.0100000000
1928 93.0000000000 0.0100000000
2181 94.0000000000 0.0100000000
2402 95.0000000000 0.0100000000
2538 96.0000000000 0.0100000000
2568 97.0000000000 0.0100000000
3525 98.0000000000 0.0100000000
4814 99.0000000000 0.0100000000
5558 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 53.0000000000 0.0100000000
8 55.0000000000 0.0100000000
10 56.0000000000 0.0100000000
27 57.0000000000 0.0100000000
32 61.0000000000 0.0100000000
34 63.0000000000 0.0100000000
76 66.0000000000 0.0100000000
95 67.0000000000 0.0100000000
140 69.0000000000 0.0100000000
170 70.0000000000 0.0100000000
184 71.0000000000 0.0100000000
211 72.0000000000 0.0100000000
228 77.0000000000 0.0100000000
284 79.0000000000 0.0100000000
298 81.0000000000 0.0100000000
329 83.0000000000 0.0100000000
385 84.0000000000 0.0100000000
389 85.0000000000 0.0100000000
460 86.0000000000 0.0100000000
480 87.0000000000 0.0100000000
493 88.0000000000 0.0100000000
522 89.0000000000 0.0100000000
539 90.0000000000 0.0100000000
547 91.0000000000 0.0100000000
651 93.0000000000 0.0100000000
715 94.0000000000 0.0100000000
1076 95.0000000000 0.0100000000
1333 96.0000000000 0.0100000000
1378 97.0000000000 0.0100000000
