evaluations raw_y evaporation_rate
1 0.0000000000 0.0100000000
2 1.0000000000 0.0100000000
8 3.0000000000 0.0100000000
21 5.0000000000 0.0100000000
71 7.0000000000 0.0100000000
83 8.0000000000 0.0100000000
148 10.0000000000 0.0100000000
203 13.0000000000 0.0100000000
306 14.0000000000 0.0100000000
339 15.0000000000 0.0100000000
474 20.0000000000 0.0100000000
597 21.0000000000 0.0100000000
1115 23.0000000000 0.0100000000
3289 24.0000000000 0.0100000000
3554 25.0000000000 0.0100000000
3773 26.0000000000 0.0100000000
4578 29.0000000000 0.0100000000
5111 30.0000000000 0.0100000000
5195 31.0000000000 0.0100000000
5301 34.0000000000 0.0100000000
7427 35.0000000000 0.0100000000
8803 38.0000000000 0.0100000000
10485 39.0000000000 0.0100000000
11404 40.0000000000 0.0100000000
12117 42.0000000000 0.0100000000
13286 43.0000000000 0.0100000000
13465 45.0000000000 0.0100000000
17388 47.0000000000 0.0100000000
19263 49.0000000000 0.0100000000
19696 50.0000000000 0.0100000000
20483 53.0000000000 0.0100000000
20784 55.0000000000 0.0100000000
22709 59.0000000000 0.0100000000
24213 60.0000000000 0.0100000000
26234 64.0000000000 0.0100000000
26569 66.0000000000 0.0100000000
28072 69.0000000000 0.0100000000
28937 72.0000000000 0.0100000000
29675 73.0000000000 0.0100000000
30888 75.0000000000 0.0100000000
31408 76.0000000000 0.0100000000
32242 78.0000000000 0.0100000000
32837 79.0000000000 0.0100000000
32928 81.0000000000 0.0100000000
33799 82.0000000000 0.0100000000
34200 83.0000000000 0.0100000000
39757 87.0000000000 0.0100000000
41909 91.0000000000 0.0100000000
43541 93.0000000000 0.0100000000
47553 94.0000000000 0.0100000000
48378 96.0000000000 0.0100000000
50139 97.0000000000 0.0100000000
52151 98.0000000000 0.0100000000
54979 99.0000000000 0.0100000000
57353 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 0.0000000000 0.0100000000
2 3.0000000000 0.0100000000
28 4.0000000000 0.0100000000
34 5.0000000000 0.0100000000
55 7.0000000000 0.0100000000
88 8.0000000000 0.0100000000
159 9.0000000000 0.0100000000
183 11.0000000000 0.0100000000
210 14.0000000000 0.0100000000
211 16.0000000000 0.0100000000
323 20.0000000000 0.0100000000
426 24.0000000000 0.0100000000
1371 25.0000000000 0.0100000000
2675 26.0000000000 0.0100000000
3552 27.0000000000 0.0100000000
4698 33.0000000000 0.0100000000
5148 34.0000000000 0.0100000000
6022 37.0000000000 0.0100000000
6315 38.0000000000 0.0100000000
7272 40.0000000000 0.0100000000
7432 41.0000000000 0.0100000000
7443 42.0000000000 0.0100000000
9522 43.0000000000 0.0100000000
10792 45.0000000000 0.0100000000
12127 47.0000000000 0.0100000000
16942 48.0000000000 0.0100000000
20001 49.0000000000 0.0100000000
20435 50.0000000000 0.0100000000
21307 51.0000000000 0.0100000000
22181 53.0000000000 0.0100000000
23333 57.0000000000 0.0100000000
25458 61.0000000000 0.0100000000
26289 62.0000000000 0.0100000000
26980 63.0000000000 0.0100000000
28774 64.0000000000 0.0100000000
29061 65.0000000000 0.0100000000
29844 68.0000000000 0.0100000000
30418 72.0000000000 0.0100000000
32025 74.0000000000 0.0100000000
32858 77.0000000000 0.0100000000
34322 82.0000000000 0.0100000000
36215 83.0000000000 0.0100000000
37201 86.0000000000 0.0100000000
37843 88.0000000000 0.0100000000
38072 90.0000000000 0.0100000000
41243 91.0000000000 0.0100000000
43278 92.0000000000 0.0100000000
43749 93.0000000000 0.0100000000
43807 98.0000000000 0.0100000000
44456 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 5.0000000000 0.0100000000
34 6.0000000000 0.0100000000
71 8.0000000000 0.0100000000
87 10.0000000000 0.0100000000
156 14.0000000000 0.0100000000
189 17.0000000000 0.0100000000
267 19.0000000000 0.0100000000
472 20.0000000000 0.0100000000
666 21.0000000000 0.0100000000
1741 22.0000000000 0.0100000000
2702 23.0000000000 0.0100000000
4071 26.0000000000 0.0100000000
5564 27.0000000000 0.0100000000
6105 28.0000000000 0.0100000000
6612 32.0000000000 0.0100000000
7185 33.0000000000 0.0100000000
7698 34.0000000000 0.0100000000
9884 35.0000000000 0.0100000000
10369 37.0000000000 0.0100000000
11943 39.0000000000 0.0100000000
14233 41.0000000000 0.0100000000
14830 42.0000000000 0.0100000000
15631 45.0000000000 0.0100000000
18477 50.0000000000 0.0100000000
18941 54.0000000000 0.0100000000
23588 56.0000000000 0.0100000000
24339 58.0000000000 0.0100000000
25108 62.0000000000 0.0100000000
25422 63.0000000000 0.0100000000
26939 64.0000000000 0.0100000000
27164 66.0000000000 0.0100000000
31209 67.0000000000 0.0100000000
32612 68.0000000000 0.0100000000
34542 69.0000000000 0.0100000000
36845 72.0000000000 0.0100000000
37333 79.0000000000 0.0100000000
37766 82.0000000000 0.0100000000
38179 83.0000000000 0.0100000000
40205 86.0000000000 0.0100000000
40879 88.0000000000 0.0100000000
41427 90.0000000000 0.0100000000
46973 91.0000000000 0.0100000000
47319 92.0000000000 0.0100000000
48334 93.0000000000 0.0100000000
48934 96.0000000000 0.0100000000
49679 97.0000000000 0.0100000000
52280 99.0000000000 0.0100000000
53098 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 2.0000000000 0.0100000000
7 3.0000000000 0.0100000000
30 8.0000000000 0.0100000000
43 11.0000000000 0.0100000000
132 12.0000000000 0.0100000000
252 13.0000000000 0.0100000000
269 18.0000000000 0.0100000000
341 26.0000000000 0.0100000000
423 27.0000000000 0.0100000000
450 30.0000000000 0.0100000000
516 34.0000000000 0.0100000000
545 35.0000000000 0.0100000000
622 36.0000000000 0.0100000000
1371 37.0000000000 0.0100000000
2659 40.0000000000 0.0100000000
4682 41.0000000000 0.0100000000
5152 42.0000000000 0.0100000000
5613 44.0000000000 0.0100000000
6997 45.0000000000 0.0100000000
7715 46.0000000000 0.0100000000
7937 50.0000000000 0.0100000000
9556 51.0000000000 0.0100000000
10424 53.0000000000 0.0100000000
11654 56.0000000000 0.0100000000
12227 59.0000000000 0.0100000000
15119 61.0000000000 0.0100000000
15977 64.0000000000 0.0100000000
17572 65.0000000000 0.0100000000
17798 68.0000000000 0.0100000000
19202 70.0000000000 0.0100000000
20086 71.0000000000 0.0100000000
21108 73.0000000000 0.0100000000
21997 75.0000000000 0.0100000000
24260 78.0000000000 0.0100000000
24822 83.0000000000 0.0100000000
27264 84.0000000000 0.0100000000
29322 87.0000000000 0.0100000000
30650 88.0000000000 0.0100000000
31410 89.0000000000 0.0100000000
34847 92.0000000000 0.0100000000
36435 93.0000000000 0.0100000000
38984 96.0000000000 0.0100000000
39133 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 0.0000000000 0.0100000000
4 2.0000000000 0.0100000000
6 3.0000000000 0.0100000000
7 6.0000000000 0.0100000000
32 9.0000000000 0.0100000000
90 11.0000000000 0.0100000000
200 12.0000000000 0.0100000000
411 13.0000000000 0.0100000000
616 19.0000000000 0.0100000000
1470 22.0000000000 0.0100000000
3018 25.0000000000 0.0100000000
6387 26.0000000000 0.0100000000
8539 27.0000000000 0.0100000000
9378 28.0000000000 0.0100000000
9963 32.0000000000 0.0100000000
12313 36.0000000000 0.0100000000
12785 37.0000000000 0.0100000000
15793 39.0000000000 0.0100000000
16451 43.0000000000 0.0100000000
19074 44.0000000000 0.0100000000
19873 46.0000000000 0.0100000000
20419 48.0000000000 0.0100000000
20974 49.0000000000 0.0100000000
21163 50.0000000000 0.0100000000
22829 51.0000000000 0.0100000000
22932 52.0000000000 0.0100000000
25647 53.0000000000 0.0100000000
26292 57.0000000000 0.0100000000
27097 59.0000000000 0.0100000000
29533 60.0000000000 0.0100000000
36271 61.0000000000 0.0100000000
36403 63.0000000000 0.0100000000
36693 64.0000000000 0.0100000000
38550 68.0000000000 0.0100000000
38780 71.0000000000 0.0100000000
38881 72.0000000000 0.0100000000
40859 75.0000000000 0.0100000000
43904 76.0000000000 0.0100000000
45061 77.0000000000 0.0100000000
45618 81.0000000000 0.0100000000
46513 83.0000000000 0.0100000000
49430 84.0000000000 0.0100000000
50679 85.0000000000 0.0100000000
52335 86.0000000000 0.0100000000
53168 87.0000000000 0.0100000000
53817 89.0000000000 0.0100000000
58686 90.0000000000 0.0100000000
59522 93.0000000000 0.0100000000
59970 96.0000000000 0.0100000000
66347 99.0000000000 0.0100000000
67313 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 0.0000000000 0.0100000000
2 1.0000000000 0.0100000000
15 4.0000000000 0.0100000000
34 9.0000000000 0.0100000000
77 10.0000000000 0.0100000000
123 12.0000000000 0.0100000000
154 15.0000000000 0.0100000000
244 16.0000000000 0.0100000000
1928 19.0000000000 0.0100000000
2763 20.0000000000 0.0100000000
5988 21.0000000000 0.0100000000
6688 22.0000000000 0.0100000000
7505 23.0000000000 0.0100000000
8567 25.0000000000 0.0100000000
9889 30.0000000000 0.0100000000
11360 31.0000000000 0.0100000000
11561 32.0000000000 0.0100000000
15197 34.0000000000 0.0100000000
20251 35.0000000000 0.0100000000
20746 37.0000000000 0.0100000000
21977 38.0000000000 0.0100000000
24025 40.0000000000 0.0100000000
26180 41.0000000000 0.0100000000
26703 43.0000000000 0.0100000000
29109 44.0000000000 0.0100000000
29809 45.0000000000 0.0100000000
31887 46.0000000000 0.0100000000
32619 47.0000000000 0.0100000000
33387 50.0000000000 0.0100000000
35466 52.0000000000 0.0100000000
