evaluations raw_y evaporation_rate
1 0.0000000000 1.0000000000
2072 1.0000000000 1.0000000000
2312 2.0000000000 1.0000000000
2745 3.0000000000 1.0000000000
2761 4.0000000000 1.0000000000
3275 5.0000000000 1.0000000000
4900 7.0000000000 1.0000000000
4966 9.0000000000 1.0000000000
5406 10.0000000000 1.0000000000
6955 16.0000000000 1.0000000000
7619 18.0000000000 1.0000000000
8884 21.0000000000 1.0000000000
9857 23.0000000000 1.0000000000
9905 25.0000000000 1.0000000000
10339 26.0000000000 1.0000000000
11724 27.0000000000 1.0000000000
13695 28.0000000000 1.0000000000
13934 29.0000000000 1.0000000000
14360 36.0000000000 1.0000000000
16640 39.0000000000 1.0000000000
21665 42.0000000000 1.0000000000
23112 43.0000000000 1.0000000000
25615 44.0000000000 1.0000000000
26059 45.0000000000 1.0000000000
26103 47.0000000000 1.0000000000
27652 48.0000000000 1.0000000000
29063 49.0000000000 1.0000000000
32696 50.0000000000 1.0000000000
35702 51.0000000000 1.0000000000
41137 52.0000000000 1.0000000000
41516 55.0000000000 1.0000000000
42070 56.0000000000 1.0000000000
43574 58.0000000000 1.0000000000
44168 59.0000000000 1.0000000000
44248 60.0000000000 1.0000000000
44372 68.0000000000 1.0000000000
46176 70.0000000000 1.0000000000
46392 72.0000000000 1.0000000000
46811 73.0000000000 1.0000000000
48411 74.0000000000 1.0000000000
50568 77.0000000000 1.0000000000
52277 78.0000000000 1.0000000000
52621 83.0000000000 1.0000000000
53084 85.0000000000 1.0000000000
53879 86.0000000000 1.0000000000
54307 87.0000000000 1.0000000000
54795 89.0000000000 1.0000000000
57492 90.0000000000 1.0000000000
58239 93.0000000000 1.0000000000
59215 95.0000000000 1.0000000000
60435 96.0000000000 1.0000000000
60702 97.0000000000 1.0000000000
62111 100.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 0.0000000000 1.0000000000
197 2.0000000000 1.0000000000
692 3.0000000000 1.0000000000
1257 4.0000000000 1.0000000000
2362 9.0000000000 1.0000000000
3246 11.0000000000 1.0000000000
4387 13.0000000000 1.0000000000
4530 14.0000000000 1.0000000000
4888 15.0000000000 1.0000000000
6465 26.0000000000 1.0000000000
7106 32.0000000000 1.0000000000
8273 33.0000000000 1.0000000000
8449 34.0000000000 1.0000000000
9772 35.0000000000 1.0000000000
9890 36.0000000000 1.0000000000
10215 37.0000000000 1.0000000000
10302 38.0000000000 1.0000000000
12236 39.0000000000 1.0000000000
12691 45.0000000000 1.0000000000
14006 46.0000000000 1.0000000000
16152 47.0000000000 1.0000000000
16997 52.0000000000 1.0000000000
18085 54.0000000000 1.0000000000
18452 55.0000000000 1.0000000000
21216 58.0000000000 1.0000000000
21547 60.0000000000 1.0000000000
21597 61.0000000000 1.0000000000
21938 62.0000000000 1.0000000000
22222 63.0000000000 1.0000000000
24016 66.0000000000 1.0000000000
24658 67.0000000000 1.0000000000
27036 68.0000000000 1.0000000000
27685 69.0000000000 1.0000000000
29895 70.0000000000 1.0000000000
30296 72.0000000000 1.0000000000
31248 74.0000000000 1.0000000000
32152 75.0000000000 1.0000000000
32900 76.0000000000 1.0000000000
34495 78.0000000000 1.0000000000
35063 80.0000000000 1.0000000000
35669 85.0000000000 1.0000000000
35692 86.0000000000 1.0000000000
36150 87.0000000000 1.0000000000
36684 88.0000000000 1.0000000000
37653 89.0000000000 1.0000000000
38547 90.0000000000 1.0000000000
39326 91.0000000000 1.0000000000
40400 93.0000000000 1.0000000000
40768 94.0000000000 1.0000000000
41770 96.0000000000 1.0000000000
42809 97.0000000000 1.0000000000
42949 98.0000000000 1.0000000000
43741 100.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 1.0000000000 1.0000000000
2599 8.0000000000 1.0000000000
2950 11.0000000000 1.0000000000
3137 12.0000000000 1.0000000000
3163 14.0000000000 1.0000000000
5509 15.0000000000 1.0000000000
7173 16.0000000000 1.0000000000
7340 18.0000000000 1.0000000000
7816 19.0000000000 1.0000000000
8046 22.0000000000 1.0000000000
11940 25.0000000000 1.0000000000
11977 28.0000000000 1.0000000000
12541 29.0000000000 1.0000000000
13948 33.0000000000 1.0000000000
14910 34.0000000000 1.0000000000
15570 40.0000000000 1.0000000000
16604 41.0000000000 1.0000000000
17597 42.0000000000 1.0000000000
20497 44.0000000000 1.0000000000
21264 45.0000000000 1.0000000000
21817 46.0000000000 1.0000000000
23860 47.0000000000 1.0000000000
24442 48.0000000000 1.0000000000
28168 51.0000000000 1.0000000000
28180 53.0000000000 1.0000000000
30027 54.0000000000 1.0000000000
30814 59.0000000000 1.0000000000
33066 60.0000000000 1.0000000000
34662 62.0000000000 1.0000000000
36004 63.0000000000 1.0000000000
36375 65.0000000000 1.0000000000
36711 66.0000000000 1.0000000000
37227 67.0000000000 1.0000000000
37755 68.0000000000 1.0000000000
38090 71.0000000000 1.0000000000
38235 72.0000000000 1.0000000000
38870 73.0000000000 1.0000000000
39488 76.0000000000 1.0000000000
39612 77.0000000000 1.0000000000
40019 78.0000000000 1.0000000000
40832 79.0000000000 1.0000000000
41575 80.0000000000 1.0000000000
43668 81.0000000000 1.0000000000
44254 84.0000000000 1.0000000000
45840 88.0000000000 1.0000000000
46210 89.0000000000 1.0000000000
46793 91.0000000000 1.0000000000
46819 95.0000000000 1.0000000000
48527 97.0000000000 1.0000000000
49249 98.0000000000 1.0000000000
50495 100.0000000000 1.0000000000
evaluations raw_y evaporation_rate
1 1.0000000000 1.0000000000
388 2.0000000000 1.0000000000
538 4.0000000000 1.0000000000
726 5.0000000000 1.0000000000
1300 8.0000000000 1.0000000000
1789 9.0000000000 1.0000000000
3327 11.0000000000 1.0000000000
4380 12.0000000000 1.0000000000
5185 15.0000000000 1.0000000000
5893 16.0000000000 1.0000000000
7483 22.0000000000 1.0000000000
8102 24.0000000000 1.0000000000
8314 25.0000000000 1.0000000000
10578 26.0000000000 1.0000000000
11257 28.0000000000 1.0000000000
13599 30.0000000000 1.0000000000
13637 34.0000000000 1.0000000000
14103 36.0000000000 1.0000000000
14213 39.0000000000 1.0000000000
15377 40.0000000000 1.0000000000
16034 43.0000000000 1.0000000000
16212 48.0000000000 1.0000000000
16812 49.0000000000 1.0000000000
19072 50.0000000000 1.0000000000
20299 53.0000000000 1.0000000000
22621 56.0000000000 1.0000000000
23783 65.0000000000 1.0000000000
25036 67.0000000000 1.0000000000
25048 68.0000000000 1.0000000000
25129 70.0000000000 1.0000000000
25650 71.0000000000 1.0000000000
