Function,Alg,n,budget,runs,mean,std,min,max
F1,ACO,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F1,MMAS,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F1,MMAS*,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F2,ACO,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F2,MMAS,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F2,MMAS*,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236
F3,ACO,100,100000,10,862.9603999350036,0.0,862.9603999350036,862.9603999350036
F3,MMAS,100,100000,10,862.9603999350036,0.0,862.9603999350036,862.9603999350036
F3,MMAS*,100,100000,10,862.9603999350036,0.0,862.9603999350036,862.9603999350036
F18,ACO,100,100000,10,823.5084999363211,0.0,823.5084999363211,823.5084999363211
F18,MMAS,100,100000,10,823.5084999363211,0.0,823.5084999363211,823.5084999363211
F18,MMAS*,100,100000,10,823.5084999363211,0.0,823.5084999363211,823.5084999363211
F4,ACO,100,100000,10,804.3461485083897,1.198364490607514e-13,804.3461485083895,804.3461485083895
F4,MMAS,100,100000,10,804.3461485083897,1.198364490607514e-13,804.3461485083895,804.3461485083895
F4,MMAS*,100,100000,10,804.3461485083897,1.198364490607514e-13,804.3461485083895,804.3461485083895
F24,ACO,100,100000,10,799.6570083942604,0.3802144366233352,798.935602222856,799.8373599371116
F24,MMAS,100,100000,10,798.935602222856,0.0,798.935602222856,798.935602222856
F24,MMAS*,100,100000,10,799.8373599371116,0.0,799.8373599371116,799.8373599371116
F25,ACO,100,100000,10,794.016958256564,0.0,794.016958256564,794.016958256564
F25,MMAS,100,100000,10,794.016958256564,0.0,794.016958256564,794.016958256564
F25,MMAS*,100,100000,10,794.016958256564,0.0,794.016958256564,794.016958256564
