evaluations raw_y
1 48.0000000000
4 49.0000000000
5 54.0000000000
14 56.0000000000
19 63.0000000000
39 64.0000000000
41 65.0000000000
68 68.0000000000
86 69.0000000000
104 73.0000000000
132 76.0000000000
172 80.0000000000
232 81.0000000000
261 82.0000000000
285 83.0000000000
346 85.0000000000
388 86.0000000000
392 87.0000000000
401 88.0000000000
435 89.0000000000
490 90.0000000000
500 91.0000000000
542 93.0000000000
615 95.0000000000
658 96.0000000000
717 97.0000000000
735 98.0000000000
760 100.0000000000
100000 98.0000000000
evaluations raw_y
1 50.0000000000
3 55.0000000000
10 56.0000000000
18 57.0000000000
19 59.0000000000
26 63.0000000000
66 64.0000000000
72 65.0000000000
86 68.0000000000
105 69.0000000000
111 70.0000000000
119 71.0000000000
147 73.0000000000
177 75.0000000000
206 76.0000000000
230 77.0000000000
242 78.0000000000
246 79.0000000000
266 80.0000000000
286 81.0000000000
297 82.0000000000
321 83.0000000000
343 85.0000000000
383 86.0000000000
410 87.0000000000
442 88.0000000000
492 90.0000000000
545 91.0000000000
577 92.0000000000
625 93.0000000000
661 94.0000000000
684 95.0000000000
756 96.0000000000
807 97.0000000000
842 98.0000000000
882 99.0000000000
966 100.0000000000
100000 98.0000000000
evaluations raw_y
1 58.0000000000
27 60.0000000000
48 62.0000000000
64 63.0000000000
93 64.0000000000
99 65.0000000000
100 66.0000000000
106 69.0000000000
124 70.0000000000
160 71.0000000000
168 72.0000000000
191 73.0000000000
194 74.0000000000
202 75.0000000000
221 76.0000000000
250 77.0000000000
278 79.0000000000
301 81.0000000000
336 82.0000000000
364 83.0000000000
400 84.0000000000
401 85.0000000000
414 86.0000000000
443 87.0000000000
451 89.0000000000
507 90.0000000000
521 91.0000000000
554 92.0000000000
578 93.0000000000
621 94.0000000000
685 95.0000000000
714 96.0000000000
728 97.0000000000
771 98.0000000000
819 99.0000000000
922 100.0000000000
100000 95.0000000000
evaluations raw_y
1 47.0000000000
2 55.0000000000
12 58.0000000000
46 59.0000000000
51 62.0000000000
64 66.0000000000
112 69.0000000000
121 70.0000000000
140 71.0000000000
142 74.0000000000
166 76.0000000000
199 77.0000000000
207 78.0000000000
233 80.0000000000
264 81.0000000000
292 82.0000000000
318 83.0000000000
321 84.0000000000
353 86.0000000000
418 87.0000000000
422 89.0000000000
444 90.0000000000
463 91.0000000000
466 92.0000000000
542 94.0000000000
587 95.0000000000
610 96.0000000000
685 97.0000000000
719 98.0000000000
757 99.0000000000
859 100.0000000000
100000 97.0000000000
evaluations raw_y
1 53.0000000000
6 54.0000000000
12 60.0000000000
44 67.0000000000
102 69.0000000000
115 72.0000000000
144 73.0000000000
161 75.0000000000
183 80.0000000000
201 81.0000000000
227 83.0000000000
244 84.0000000000
258 88.0000000000
358 89.0000000000
381 90.0000000000
419 91.0000000000
494 92.0000000000
535 94.0000000000
570 95.0000000000
645 96.0000000000
658 97.0000000000
718 98.0000000000
847 99.0000000000
910 100.0000000000
100000 95.0000000000
evaluations raw_y
1 57.0000000000
2 59.0000000000
23 65.0000000000
43 66.0000000000
67 67.0000000000
73 71.0000000000
74 72.0000000000
99 73.0000000000
112 74.0000000000
119 75.0000000000
122 77.0000000000
144 79.0000000000
172 81.0000000000
173 82.0000000000
207 83.0000000000
245 85.0000000000
275 86.0000000000
288 87.0000000000
331 88.0000000000
384 90.0000000000
425 91.0000000000
482 95.0000000000
525 96.0000000000
581 97.0000000000
607 98.0000000000
696 99.0000000000
749 100.0000000000
100000 97.0000000000
evaluations raw_y
1 47.0000000000
3 50.0000000000
4 52.0000000000
6 54.0000000000
10 57.0000000000
13 58.0000000000
21 59.0000000000
42 61.0000000000
44 62.0000000000
65 66.0000000000
99 68.0000000000
111 69.0000000000
128 70.0000000000
146 74.0000000000
158 75.0000000000
197 76.0000000000
200 81.0000000000
226 82.0000000000
268 84.0000000000
288 85.0000000000
309 86.0000000000
327 88.0000000000
343 89.0000000000
424 90.0000000000
437 94.0000000000
526 95.0000000000
582 96.0000000000
622 98.0000000000
684 99.0000000000
729 100.0000000000
100000 98.0000000000
evaluations raw_y
1 48.0000000000
3 54.0000000000
8 55.0000000000
20 56.0000000000
21 58.0000000000
22 61.0000000000
45 64.0000000000
65 65.0000000000
91 66.0000000000
92 68.0000000000
118 69.0000000000
125 71.0000000000
143 72.0000000000
168 77.0000000000
202 78.0000000000
211 80.0000000000
254 82.0000000000
272 83.0000000000
297 84.0000000000
320 85.0000000000
335 86.0000000000
343 87.0000000000
367 88.0000000000
369 89.0000000000
389 90.0000000000
423 91.0000000000
486 92.0000000000
538 93.0000000000
547 94.0000000000
567 95.0000000000
579 96.0000000000
645 97.0000000000
712 99.0000000000
802 100.0000000000
100000 99.0000000000
evaluations raw_y
1 47.0000000000
2 50.0000000000
4 55.0000000000
9 64.0000000000
38 67.0000000000
62 70.0000000000
102 71.0000000000
123 73.0000000000
138 74.0000000000
147 75.0000000000
152 76.0000000000
154 77.0000000000
162 79.0000000000
207 81.0000000000
212 82.0000000000
248 83.0000000000
265 84.0000000000
304 85.0000000000
305 86.0000000000
370 87.0000000000
393 88.0000000000
418 89.0000000000
435 90.0000000000
460 91.0000000000
498 92.0000000000
528 93.0000000000
602 94.0000000000
622 96.0000000000
701 97.0000000000
789 98.0000000000
854 99.0000000000
965 100.0000000000
100000 99.0000000000
evaluations raw_y
1 46.0000000000
2 47.0000000000
3 52.0000000000
4 57.0000000000
6 58.0000000000
35 59.0000000000
51 61.0000000000
68 62.0000000000
79 65.0000000000
85 67.0000000000
101 72.0000000000
123 75.0000000000
146 77.0000000000
201 78.0000000000
203 79.0000000000
230 82.0000000000
251 83.0000000000
252 85.0000000000
303 86.0000000000
321 87.0000000000
334 88.0000000000
364 91.0000000000
396 92.0000000000
436 93.0000000000
483 95.0000000000
508 97.0000000000
669 99.0000000000
806 100.0000000000
100000 98.0000000000
