evaluations raw_y
1 -1381.0000000000
2 -1342.0000000000
4 -914.0000000000
32 -816.0000000000
79 -613.0000000000
130 -555.0000000000
141 -468.0000000000
144 -467.0000000000
181 -458.0000000000
184 -448.0000000000
203 -418.0000000000
211 -409.0000000000
224 -391.0000000000
226 -370.0000000000
248 -340.0000000000
260 -283.0000000000
307 -254.0000000000
314 -224.0000000000
346 -196.0000000000
369 -157.0000000000
388 -137.0000000000
430 -118.0000000000
446 -80.0000000000
510 -71.0000000000
520 -61.0000000000
559 -51.0000000000
582 -43.0000000000
622 -42.0000000000
656 -23.0000000000
704 -22.0000000000
708 -14.0000000000
729 -5.0000000000
750 -4.0000000000
780 3.0000000000
803 4.0000000000
820 5.0000000000
828 6.0000000000
867 7.0000000000
908 8.0000000000
995 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1362.0000000000
5 -1274.0000000000
8 -885.0000000000
47 -855.0000000000
87 -807.0000000000
90 -748.0000000000
118 -699.0000000000
120 -671.0000000000
144 -670.0000000000
148 -573.0000000000
167 -506.0000000000
189 -496.0000000000
194 -485.0000000000
200 -476.0000000000
213 -457.0000000000
216 -456.0000000000
219 -370.0000000000
228 -322.0000000000
245 -311.0000000000
273 -303.0000000000
281 -263.0000000000
296 -148.0000000000
329 -138.0000000000
371 -128.0000000000
377 -89.0000000000
382 -80.0000000000
447 -60.0000000000
482 -42.0000000000
513 -41.0000000000
543 -33.0000000000
557 -23.0000000000
579 -14.0000000000
622 -5.0000000000
682 -4.0000000000
829 -3.0000000000
909 5.0000000000
1019 6.0000000000
1126 7.0000000000
1660 8.0000000000
5385 9.0000000000
43002 10.0000000000
100000 -68.0000000000
evaluations raw_y
1 -1380.0000000000
2 -1303.0000000000
3 -1147.0000000000
10 -1127.0000000000
11 -913.0000000000
41 -835.0000000000
72 -806.0000000000
82 -699.0000000000
105 -689.0000000000
139 -641.0000000000
148 -553.0000000000
176 -543.0000000000
183 -446.0000000000
199 -388.0000000000
248 -378.0000000000
269 -340.0000000000
273 -301.0000000000
283 -263.0000000000
305 -243.0000000000
335 -224.0000000000
342 -214.0000000000
370 -165.0000000000
416 -157.0000000000
