evaluations raw_y
1 7.2000000000
3 9.8000000000
73 10.4000000000
105 10.6000000000
158 11.2000000000
187 11.6000000000
204 12.0000000000
217 12.2000000000
240 12.4000000000
276 12.8000000000
313 13.0000000000
343 13.2000000000
350 13.4000000000
381 13.6000000000
427 13.8000000000
453 14.0000000000
492 14.2000000000
499 14.4000000000
512 14.6000000000
524 15.0000000000
566 15.2000000000
585 15.6000000000
608 15.8000000000
704 16.0000000000
803 16.2000000000
829 16.4000000000
983 16.6000000000
100000 14.8000000000
evaluations raw_y
1 6.6000000000
2 8.0000000000
13 8.8000000000
34 9.0000000000
67 9.8000000000
98 10.0000000000
112 10.2000000000
133 10.6000000000
144 10.8000000000
163 11.0000000000
166 11.6000000000
203 12.0000000000
261 12.4000000000
276 12.6000000000
310 13.0000000000
341 13.2000000000
361 13.6000000000
429 13.8000000000
459 14.0000000000
497 14.4000000000
556 14.6000000000
560 15.0000000000
567 15.2000000000
598 15.6000000000
658 15.8000000000
678 16.0000000000
741 16.2000000000
807 16.4000000000
868 16.8000000000
1039 17.0000000000
1135 17.2000000000
100000 15.6000000000
evaluations raw_y
1 8.8000000000
44 9.2000000000
45 9.6000000000
102 9.8000000000
112 10.0000000000
137 11.0000000000
158 11.2000000000
181 11.4000000000
212 11.6000000000
255 11.8000000000
271 12.0000000000
308 12.2000000000
343 12.8000000000
378 13.0000000000
417 13.2000000000
426 13.6000000000
495 13.8000000000
519 14.0000000000
541 14.2000000000
573 14.4000000000
633 14.6000000000
634 14.8000000000
695 15.0000000000
721 15.2000000000
825 15.4000000000
867 15.8000000000
971 16.0000000000
1044 16.2000000000
1079 16.4000000000
1262 16.6000000000
100000 16.0000000000
evaluations raw_y
1 6.8000000000
2 7.0000000000
6 7.2000000000
11 8.0000000000
20 8.2000000000
27 8.4000000000
48 9.0000000000
49 9.2000000000
92 9.6000000000
103 10.0000000000
123 10.2000000000
132 10.4000000000
149 11.0000000000
179 12.0000000000
251 12.2000000000
253 12.4000000000
255 12.8000000000
309 13.0000000000
321 13.4000000000
372 13.6000000000
375 14.0000000000
424 14.2000000000
444 14.6000000000
466 14.8000000000
481 15.2000000000
553 15.4000000000
593 15.8000000000
643 16.0000000000
668 16.2000000000
796 16.4000000000
861 16.6000000000
100000 15.4000000000
evaluations raw_y
1 7.0000000000
2 7.6000000000
19 8.4000000000
42 9.0000000000
61 9.6000000000
64 10.0000000000
77 10.2000000000
107 10.4000000000
122 11.2000000000
175 11.8000000000
216 12.0000000000
231 12.2000000000
241 12.6000000000
288 12.8000000000
308 13.4000000000
341 13.6000000000
371 13.8000000000
396 14.2000000000
446 14.4000000000
475 14.6000000000
485 14.8000000000
538 15.0000000000
579 15.2000000000
629 15.4000000000
630 15.6000000000
685 15.8000000000
723 16.0000000000
807 16.2000000000
864 16.4000000000
1062 16.6000000000
100000 15.2000000000
evaluations raw_y
1 6.2000000000
2 7.2000000000
3 8.2000000000
25 8.6000000000
39 9.0000000000
71 9.8000000000
97 10.2000000000
127 10.4000000000
137 10.8000000000
138 11.4000000000
167 11.6000000000
201 12.2000000000
209 12.8000000000
241 13.4000000000
281 13.6000000000
319 13.8000000000
321 14.2000000000
371 14.4000000000
391 14.8000000000
409 15.0000000000
469 15.4000000000
492 15.6000000000
499 16.0000000000
565 16.2000000000
612 16.4000000000
709 16.6000000000
750 16.8000000000
784 17.0000000000
100000 16.2000000000
evaluations raw_y
1 6.4000000000
3 7.2000000000
8 7.6000000000
9 8.8000000000
29 9.4000000000
102 9.8000000000
103 10.4000000000
125 10.6000000000
182 10.8000000000
191 11.6000000000
231 11.8000000000
246 12.0000000000
283 12.2000000000
343 12.4000000000
352 12.6000000000
384 12.8000000000
403 13.0000000000
423 13.2000000000
429 13.6000000000
488 13.8000000000
509 14.0000000000
540 14.4000000000
572 14.6000000000
612 14.8000000000
631 15.0000000000
672 15.2000000000
690 15.4000000000
726 15.6000000000
786 15.8000000000
788 16.0000000000
824 16.2000000000
981 16.4000000000
1085 16.6000000000
1129 16.8000000000
100000 16.4000000000
evaluations raw_y
1 6.4000000000
2 6.6000000000
3 8.4000000000
44 10.2000000000
109 10.8000000000
113 11.0000000000
141 11.4000000000
164 11.6000000000
196 12.0000000000
226 12.6000000000
241 13.0000000000
257 13.2000000000
286 13.4000000000
301 13.6000000000
314 13.8000000000
337 14.4000000000
403 14.6000000000
438 14.8000000000
450 15.0000000000
462 15.2000000000
516 15.4000000000
546 15.6000000000
567 15.8000000000
629 16.0000000000
713 16.4000000000
761 16.6000000000
100000 15.2000000000
evaluations raw_y
1 5.4000000000
2 7.6000000000
4 8.6000000000
6 8.8000000000
60 9.0000000000
67 9.8000000000
81 10.0000000000
115 10.4000000000
151 10.6000000000
163 10.8000000000
168 11.8000000000
201 12.0000000000
227 12.2000000000
270 12.4000000000
290 12.6000000000
294 13.2000000000
304 13.4000000000
340 13.6000000000
341 13.8000000000
398 14.0000000000
407 14.2000000000
432 14.4000000000
470 14.6000000000
514 14.8000000000
538 15.0000000000
564 15.2000000000
644 15.4000000000
664 15.6000000000
767 15.8000000000
779 16.0000000000
835 16.2000000000
884 16.4000000000
941 16.6000000000
100000 15.8000000000
evaluations raw_y
1 7.6000000000
3 9.4000000000
51 10.0000000000
91 10.8000000000
150 12.2000000000
213 12.4000000000
267 13.0000000000
304 13.4000000000
343 13.6000000000
402 13.8000000000
437 14.0000000000
452 14.2000000000
498 14.4000000000
515 14.6000000000
545 14.8000000000
571 15.0000000000
587 15.4000000000
642 15.6000000000
704 15.8000000000
788 16.0000000000
840 16.2000000000
909 16.4000000000
979 16.6000000000
100000 15.8000000000
