evaluations raw_y
1 0.0000000000
4 3.0000000000
26 4.0000000000
60 6.0000000000
199 10.0000000000
234 11.0000000000
404 12.0000000000
590 13.0000000000
614 14.0000000000
649 16.0000000000
773 19.0000000000
799 20.0000000000
851 21.0000000000
980 25.0000000000
1089 26.0000000000
1104 29.0000000000
1106 30.0000000000
1271 32.0000000000
1287 33.0000000000
2533 35.0000000000
2579 36.0000000000
2620 38.0000000000
2784 40.0000000000
2854 42.0000000000
2944 43.0000000000
3070 44.0000000000
3494 45.0000000000
3514 46.0000000000
3608 50.0000000000
3632 53.0000000000
3754 55.0000000000
3911 57.0000000000
3930 59.0000000000
4016 61.0000000000
4029 62.0000000000
4141 64.0000000000
4328 65.0000000000
4347 68.0000000000
4396 69.0000000000
4437 71.0000000000
4612 72.0000000000
4626 73.0000000000
4766 74.0000000000
5024 78.0000000000
5064 83.0000000000
5381 84.0000000000
5492 85.0000000000
5869 86.0000000000
6019 87.0000000000
6553 91.0000000000
6606 94.0000000000
6785 95.0000000000
6856 97.0000000000
6948 100.0000000000
100000 10.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
9 2.0000000000
76 4.0000000000
86 5.0000000000
234 6.0000000000
450 7.0000000000
462 8.0000000000
549 9.0000000000
562 11.0000000000
737 12.0000000000
752 13.0000000000
816 15.0000000000
962 17.0000000000
1023 18.0000000000
1201 19.0000000000
1266 20.0000000000
1322 26.0000000000
1371 28.0000000000
1426 29.0000000000
1574 31.0000000000
1661 32.0000000000
1833 34.0000000000
2068 35.0000000000
2133 39.0000000000
2286 41.0000000000
2337 44.0000000000
2344 45.0000000000
2436 48.0000000000
2495 50.0000000000
2563 51.0000000000
2705 52.0000000000
2814 53.0000000000
2953 54.0000000000
3425 55.0000000000
3514 56.0000000000
3576 60.0000000000
3654 61.0000000000
3733 64.0000000000
3763 65.0000000000
3993 71.0000000000
4093 75.0000000000
4278 76.0000000000
4328 77.0000000000
4435 79.0000000000
4479 82.0000000000
4586 83.0000000000
4659 85.0000000000
5307 88.0000000000
5533 90.0000000000
5588 98.0000000000
6013 99.0000000000
6029 100.0000000000
100000 20.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 3.0000000000
247 4.0000000000
274 5.0000000000
310 7.0000000000
457 8.0000000000
585 9.0000000000
631 10.0000000000
717 11.0000000000
774 12.0000000000
1074 14.0000000000
1182 16.0000000000
1253 20.0000000000
1289 21.0000000000
1397 24.0000000000
1475 26.0000000000
1523 34.0000000000
1909 38.0000000000
1969 40.0000000000
2475 48.0000000000
2597 49.0000000000
2708 51.0000000000
2767 52.0000000000
2941 54.0000000000
2972 55.0000000000
3037 56.0000000000
3474 57.0000000000
3579 61.0000000000
3629 62.0000000000
3691 63.0000000000
3781 64.0000000000
4052 65.0000000000
4196 66.0000000000
4353 68.0000000000
4526 69.0000000000
4546 72.0000000000
4721 73.0000000000
4873 74.0000000000
5024 76.0000000000
5082 77.0000000000
5105 80.0000000000
5145 82.0000000000
5329 84.0000000000
5378 85.0000000000
5491 86.0000000000
5525 87.0000000000
5659 93.0000000000
5818 94.0000000000
6505 95.0000000000
6968 96.0000000000
7099 100.0000000000
100000 24.0000000000
evaluations raw_y
1 1.0000000000
4 7.0000000000
118 9.0000000000
123 13.0000000000
408 19.0000000000
497 20.0000000000
543 23.0000000000
627 31.0000000000
885 35.0000000000
1188 36.0000000000
1282 38.0000000000
1301 39.0000000000
1332 43.0000000000
1761 46.0000000000
1810 47.0000000000
1908 48.0000000000
2077 51.0000000000
2116 52.0000000000
2303 53.0000000000
2459 54.0000000000
2517 55.0000000000
2585 56.0000000000
2926 59.0000000000
2998 60.0000000000
3248 62.0000000000
4174 63.0000000000
4242 65.0000000000
4272 68.0000000000
4913 71.0000000000
5122 74.0000000000
5161 75.0000000000
5519 76.0000000000
6114 77.0000000000
6500 79.0000000000
6573 80.0000000000
6957 82.0000000000
6990 85.0000000000
7160 86.0000000000
7166 87.0000000000
7313 90.0000000000
7923 91.0000000000
8002 93.0000000000
8171 94.0000000000
8183 95.0000000000
8380 98.0000000000
8442 100.0000000000
100000 22.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
7 3.0000000000
11 6.0000000000
167 7.0000000000
201 10.0000000000
320 13.0000000000
330 14.0000000000
436 17.0000000000
495 20.0000000000
624 25.0000000000
702 26.0000000000
805 27.0000000000
981 28.0000000000
1006 30.0000000000
1103 36.0000000000
1183 37.0000000000
1382 38.0000000000
1490 41.0000000000
1647 45.0000000000
1904 46.0000000000
2202 47.0000000000
2397 52.0000000000
2570 57.0000000000
2810 60.0000000000
2893 62.0000000000
2982 64.0000000000
3099 66.0000000000
3229 67.0000000000
3478 68.0000000000
3484 69.0000000000
3587 71.0000000000
3941 72.0000000000
4075 73.0000000000
4170 74.0000000000
4218 75.0000000000
4329 79.0000000000
4507 80.0000000000
4619 83.0000000000
4734 87.0000000000
4938 89.0000000000
5937 90.0000000000
6013 92.0000000000
6269 94.0000000000
6324 97.0000000000
6749 98.0000000000
6870 99.0000000000
6914 100.0000000000
100000 25.0000000000
evaluations raw_y
1 0.0000000000
6 2.0000000000
48 5.0000000000
82 8.0000000000
150 9.0000000000
192 12.0000000000
283 16.0000000000
310 18.0000000000
351 19.0000000000
375 20.0000000000
674 21.0000000000
769 25.0000000000
839 26.0000000000
935 31.0000000000
949 32.0000000000
1033 35.0000000000
1095 36.0000000000
1149 37.0000000000
1177 39.0000000000
1412 40.0000000000
1599 41.0000000000
1602 42.0000000000
1892 45.0000000000
2043 47.0000000000
2512 51.0000000000
2633 52.0000000000
2646 53.0000000000
2698 57.0000000000
3163 58.0000000000
3443 60.0000000000
3898 62.0000000000
3969 66.0000000000
4104 68.0000000000
4443 70.0000000000
4498 71.0000000000
4608 76.0000000000
5021 77.0000000000
5162 82.0000000000
5235 83.0000000000
5437 84.0000000000
5520 85.0000000000
5534 86.0000000000
5566 89.0000000000
6526 90.0000000000
6696 93.0000000000
6867 94.0000000000
6963 97.0000000000
7063 100.0000000000
100000 10.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
57 7.0000000000
179 8.0000000000
201 10.0000000000
255 12.0000000000
379 14.0000000000
428 15.0000000000
552 16.0000000000
599 17.0000000000
759 19.0000000000
787 22.0000000000
859 24.0000000000
894 25.0000000000
910 26.0000000000
933 27.0000000000
979 29.0000000000
1129 30.0000000000
1131 31.0000000000
1228 33.0000000000
1511 37.0000000000
1522 38.0000000000
1691 39.0000000000
1767 40.0000000000
1901 41.0000000000
1923 44.0000000000
2052 48.0000000000
2130 50.0000000000
2553 51.0000000000
2654 53.0000000000
2844 54.0000000000
2900 55.0000000000
2966 60.0000000000
3451 61.0000000000
3491 62.0000000000
3897 63.0000000000
3960 65.0000000000
3991 67.0000000000
4026 68.0000000000
4137 69.0000000000
4247 70.0000000000
4275 74.0000000000
4695 76.0000000000
5181 78.0000000000
5344 80.0000000000
5740 81.0000000000
5928 82.0000000000
6032 83.0000000000
6057 84.0000000000
6412 86.0000000000
6523 87.0000000000
6570 90.0000000000
6696 95.0000000000
6725 96.0000000000
6879 100.0000000000
100000 66.0000000000
evaluations raw_y
1 2.0000000000
4 6.0000000000
57 7.0000000000
213 8.0000000000
280 9.0000000000
313 10.0000000000
492 12.0000000000
567 13.0000000000
800 14.0000000000
910 17.0000000000
968 19.0000000000
1024 21.0000000000
1254 22.0000000000
1417 23.0000000000
1544 27.0000000000
1604 28.0000000000
1681 29.0000000000
1801 35.0000000000
1895 38.0000000000
2210 41.0000000000
2663 42.0000000000
2730 46.0000000000
2737 48.0000000000
2777 49.0000000000
2913 52.0000000000
3036 53.0000000000
3416 56.0000000000
3538 58.0000000000
3596 59.0000000000
3646 62.0000000000
3931 64.0000000000
4001 65.0000000000
4191 70.0000000000
4672 72.0000000000
4774 75.0000000000
4981 76.0000000000
5224 79.0000000000
5514 82.0000000000
5527 87.0000000000
5723 88.0000000000
5815 91.0000000000
6059 92.0000000000
6108 93.0000000000
6121 98.0000000000
6132 100.0000000000
100000 89.0000000000
evaluations raw_y
1 1.0000000000
2 4.0000000000
5 8.0000000000
44 11.0000000000
102 12.0000000000
154 13.0000000000
367 14.0000000000
591 15.0000000000
605 16.0000000000
650 21.0000000000
754 22.0000000000
767 25.0000000000
821 27.0000000000
847 28.0000000000
1038 29.0000000000
1078 32.0000000000
1132 36.0000000000
1211 37.0000000000
1476 38.0000000000
1531 41.0000000000
1913 42.0000000000
1953 43.0000000000
2024 44.0000000000
2094 45.0000000000
2200 46.0000000000
2367 47.0000000000
2651 51.0000000000
2817 52.0000000000
3041 55.0000000000
3106 57.0000000000
3241 58.0000000000
3298 59.0000000000
3332 60.0000000000
3746 62.0000000000
3868 65.0000000000
4763 66.0000000000
5364 67.0000000000
5987 68.0000000000
6003 69.0000000000
6277 70.0000000000
6822 74.0000000000
7095 76.0000000000
7138 77.0000000000
7306 78.0000000000
7381 82.0000000000
7727 83.0000000000
7741 85.0000000000
7802 86.0000000000
7995 87.0000000000
8121 88.0000000000
8146 89.0000000000
8200 90.0000000000
8277 92.0000000000
8362 94.0000000000
8490 95.0000000000
8616 96.0000000000
8665 98.0000000000
8825 99.0000000000
8991 100.0000000000
100000 49.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
8 3.0000000000
19 4.0000000000
25 5.0000000000
139 8.0000000000
171 10.0000000000
213 11.0000000000
237 12.0000000000
247 13.0000000000
524 14.0000000000
622 15.0000000000
679 17.0000000000
702 18.0000000000
721 19.0000000000
865 20.0000000000
929 22.0000000000
1053 25.0000000000
1176 27.0000000000
1196 28.0000000000
1207 30.0000000000
1358 34.0000000000
1407 38.0000000000
1792 39.0000000000
2110 43.0000000000
2146 45.0000000000
2285 47.0000000000
2614 48.0000000000
2645 50.0000000000
2798 54.0000000000
2891 56.0000000000
2928 57.0000000000
2992 58.0000000000
3083 61.0000000000
3100 65.0000000000
3266 68.0000000000
4167 70.0000000000
4407 71.0000000000
4675 73.0000000000
4897 77.0000000000
5015 81.0000000000
5134 82.0000000000
5272 83.0000000000
5442 87.0000000000
5626 88.0000000000
5734 89.0000000000
6383 90.0000000000
6406 91.0000000000
6467 92.0000000000
6472 94.0000000000
6561 95.0000000000
6584 99.0000000000
6616 100.0000000000
100000 3.0000000000
