evaluations raw_y
1 2695.0000000000
3 2921.0000000000
20 3093.0000000000
36 3149.0000000000
41 3160.0000000000
42 3214.0000000000
60 3228.0000000000
61 3261.0000000000
65 3275.0000000000
73 3306.0000000000
75 3382.0000000000
90 3420.0000000000
94 3453.0000000000
106 3521.0000000000
112 3614.0000000000
116 3648.0000000000
135 3705.0000000000
137 3736.0000000000
142 3987.0000000000
191 4053.0000000000
202 4060.0000000000
215 4108.0000000000
234 4109.0000000000
247 4140.0000000000
249 4232.0000000000
265 4270.0000000000
292 4287.0000000000
303 4345.0000000000
315 4353.0000000000
333 4422.0000000000
346 4473.0000000000
383 4515.0000000000
404 4541.0000000000
415 4586.0000000000
422 4591.0000000000
426 4647.0000000000
451 4671.0000000000
461 4673.0000000000
483 4717.0000000000
500 4739.0000000000
509 4765.0000000000
533 4766.0000000000
581 4794.0000000000
601 4813.0000000000
656 4826.0000000000
667 4852.0000000000
719 4858.0000000000
753 4892.0000000000
838 4899.0000000000
882 4913.0000000000
883 4917.0000000000
914 4949.0000000000
964 4969.0000000000
968 4973.0000000000
987 4980.0000000000
1027 4985.0000000000
1102 4988.0000000000
1105 4994.0000000000
1106 5000.0000000000
1163 5003.0000000000
1189 5006.0000000000
1201 5014.0000000000
1210 5020.0000000000
1247 5041.0000000000
1326 5045.0000000000
1356 5050.0000000000
100000 4886.0000000000
evaluations raw_y
1 2065.0000000000
2 2502.0000000000
3 2541.0000000000
7 3113.0000000000
42 3395.0000000000
46 3503.0000000000
66 3578.0000000000
71 3732.0000000000
94 3859.0000000000
116 3953.0000000000
127 3971.0000000000
157 3974.0000000000
163 4099.0000000000
177 4110.0000000000
203 4111.0000000000
206 4152.0000000000
212 4236.0000000000
241 4253.0000000000
247 4330.0000000000
249 4353.0000000000
290 4473.0000000000
325 4484.0000000000
332 4486.0000000000
335 4514.0000000000
339 4540.0000000000
353 4635.0000000000
373 4662.0000000000
381 4669.0000000000
400 4672.0000000000
406 4690.0000000000
444 4694.0000000000
452 4734.0000000000
466 4740.0000000000
472 4855.0000000000
501 4856.0000000000
508 4889.0000000000
533 4890.0000000000
547 4918.0000000000
550 4919.0000000000
578 4931.0000000000
613 4972.0000000000
633 5017.0000000000
742 5026.0000000000
833 5027.0000000000
924 5031.0000000000
1005 5035.0000000000
1054 5036.0000000000
1123 5038.0000000000
1176 5044.0000000000
1264 5046.0000000000
1280 5048.0000000000
1317 5049.0000000000
1364 5050.0000000000
100000 5009.0000000000
evaluations raw_y
1 2701.0000000000
2 3006.0000000000
13 3222.0000000000
21 3288.0000000000
25 3305.0000000000
46 3515.0000000000
79 3694.0000000000
109 3807.0000000000
125 3832.0000000000
127 3843.0000000000
131 3886.0000000000
153 4030.0000000000
174 4042.0000000000
181 4108.0000000000
200 4123.0000000000
204 4177.0000000000
209 4329.0000000000
254 4496.0000000000
280 4668.0000000000
316 4684.0000000000
350 4710.0000000000
375 4768.0000000000
427 4777.0000000000
428 4787.0000000000
438 4828.0000000000
479 4830.0000000000
499 4836.0000000000
509 4840.0000000000
548 4847.0000000000
564 4889.0000000000
591 4910.0000000000
611 4914.0000000000
621 4924.0000000000
626 4931.0000000000
651 4953.0000000000
678 4968.0000000000
729 4989.0000000000
756 4997.0000000000
863 5004.0000000000
871 5007.0000000000
887 5020.0000000000
941 5026.0000000000
1263 5031.0000000000
1352 5049.0000000000
1503 5050.0000000000
100000 4844.0000000000
evaluations raw_y
1 2590.0000000000
2 2788.0000000000
4 2804.0000000000
14 3008.0000000000
33 3244.0000000000
45 3370.0000000000
66 3463.0000000000
84 3530.0000000000
97 3580.0000000000
111 3584.0000000000
113 3594.0000000000
118 3602.0000000000
119 3646.0000000000
130 3693.0000000000
134 3709.0000000000
136 3853.0000000000
151 3857.0000000000
169 3891.0000000000
177 3982.0000000000
185 3999.0000000000
193 4067.0000000000
203 4075.0000000000
226 4124.0000000000
234 4188.0000000000
238 4210.0000000000
246 4222.0000000000
258 4248.0000000000
259 4249.0000000000
274 4347.0000000000
284 4442.0000000000
302 4446.0000000000
322 4590.0000000000
366 4608.0000000000
381 4622.0000000000
382 4641.0000000000
401 4648.0000000000
402 4679.0000000000
423 4704.0000000000
442 4716.0000000000
450 4722.0000000000
470 4803.0000000000
525 4840.0000000000
534 4861.0000000000
542 4880.0000000000
609 4881.0000000000
652 4888.0000000000
654 4897.0000000000
680 4943.0000000000
771 4949.0000000000
813 4957.0000000000
837 4993.0000000000
842 4994.0000000000
926 4996.0000000000
977 5003.0000000000
1001 5009.0000000000
1038 5021.0000000000
1123 5024.0000000000
1226 5025.0000000000
1232 5028.0000000000
1284 5029.0000000000
1296 5039.0000000000
1343 5045.0000000000
1377 5048.0000000000
1391 5050.0000000000
100000 4961.0000000000
evaluations raw_y
1 2477.0000000000
2 2708.0000000000
3 2728.0000000000
4 2775.0000000000
7 2778.0000000000
12 3268.0000000000
45 3356.0000000000
67 3371.0000000000
78 3400.0000000000
82 3436.0000000000
91 3536.0000000000
98 3607.0000000000
113 3710.0000000000
124 3769.0000000000
144 3940.0000000000
182 3967.0000000000
201 3986.0000000000
209 4062.0000000000
241 4077.0000000000
268 4133.0000000000
270 4144.0000000000
276 4258.0000000000
299 4299.0000000000
303 4366.0000000000
323 4403.0000000000
344 4414.0000000000
348 4431.0000000000
354 4432.0000000000
370 4465.0000000000
374 4492.0000000000
376 4601.0000000000
439 4616.0000000000
441 4683.0000000000
474 4721.0000000000
476 4747.0000000000
481 4762.0000000000
491 4792.0000000000
522 4875.0000000000
613 4880.0000000000
624 4884.0000000000
629 4889.0000000000
645 4944.0000000000
666 4969.0000000000
708 4980.0000000000
727 4987.0000000000
768 4990.0000000000
899 5001.0000000000
965 5004.0000000000
972 5014.0000000000
982 5017.0000000000
1013 5032.0000000000
1121 5035.0000000000
1140 5049.0000000000
1409 5050.0000000000
100000 4900.0000000000
evaluations raw_y
1 2178.0000000000
3 2505.0000000000
4 2545.0000000000
7 2790.0000000000
13 2795.0000000000
16 2805.0000000000
17 2920.0000000000
21 2998.0000000000
22 3323.0000000000
61 3435.0000000000
83 3588.0000000000
87 3640.0000000000
123 3710.0000000000
126 3729.0000000000
129 3863.0000000000
151 3910.0000000000
159 3930.0000000000
166 3942.0000000000
167 3972.0000000000
186 4003.0000000000
187 4011.0000000000
190 4094.0000000000
208 4175.0000000000
238 4233.0000000000
253 4287.0000000000
268 4376.0000000000
301 4378.0000000000
307 4429.0000000000
326 4486.0000000000
352 4492.0000000000
370 4539.0000000000
386 4552.0000000000
424 4597.0000000000
427 4677.0000000000
474 4694.0000000000
501 4740.0000000000
503 4745.0000000000
533 4783.0000000000
546 4886.0000000000
643 4903.0000000000
674 4938.0000000000
733 4943.0000000000
753 4946.0000000000
756 4962.0000000000
761 4976.0000000000
793 4978.0000000000
812 4994.0000000000
839 5024.0000000000
1001 5030.0000000000
1025 5031.0000000000
1062 5042.0000000000
1195 5044.0000000000
1326 5045.0000000000
1343 5048.0000000000
1444 5050.0000000000
100000 4866.0000000000
evaluations raw_y
1 2864.0000000000
14 2872.0000000000
20 2975.0000000000
23 3115.0000000000
40 3123.0000000000
42 3221.0000000000
60 3224.0000000000
61 3292.0000000000
63 3358.0000000000
76 3391.0000000000
85 3474.0000000000
94 3487.0000000000
108 3531.0000000000
115 3571.0000000000
121 3682.0000000000
145 3837.0000000000
166 3890.0000000000
183 4148.0000000000
201 4195.0000000000
206 4345.0000000000
214 4447.0000000000
295 4561.0000000000
340 4614.0000000000
365 4693.0000000000
412 4741.0000000000
427 4744.0000000000
497 4745.0000000000
519 4777.0000000000
567 4779.0000000000
569 4791.0000000000
597 4796.0000000000
639 4806.0000000000
652 4826.0000000000
746 4833.0000000000
760 4901.0000000000
824 4947.0000000000
846 4949.0000000000
861 4963.0000000000
863 4964.0000000000
887 4967.0000000000
954 4976.0000000000
1033 4979.0000000000
1085 4982.0000000000
1095 4984.0000000000
1120 5016.0000000000
1141 5017.0000000000
1249 5024.0000000000
1251 5029.0000000000
1345 5030.0000000000
1362 5034.0000000000
1384 5035.0000000000
1397 5036.0000000000
1405 5040.0000000000
1431 5046.0000000000
1615 5050.0000000000
100000 4903.0000000000
evaluations raw_y
1 2469.0000000000
2 2713.0000000000
3 2718.0000000000
5 2830.0000000000
6 3070.0000000000
41 3227.0000000000
71 3326.0000000000
84 3415.0000000000
105 3505.0000000000
110 3506.0000000000
130 3517.0000000000
149 3586.0000000000
154 3627.0000000000
161 3637.0000000000
165 3644.0000000000
168 3655.0000000000
171 3695.0000000000
188 3930.0000000000
232 4033.0000000000
260 4047.0000000000
265 4052.0000000000
266 4069.0000000000
276 4073.0000000000
283 4169.0000000000
306 4275.0000000000
323 4398.0000000000
343 4438.0000000000
400 4462.0000000000
423 4561.0000000000
491 4572.0000000000
505 4649.0000000000
573 4651.0000000000
590 4676.0000000000
612 4693.0000000000
624 4697.0000000000
626 4736.0000000000
645 4739.0000000000
653 4744.0000000000
655 4745.0000000000
660 4749.0000000000
664 4793.0000000000
681 4802.0000000000
743 4838.0000000000
754 4890.0000000000
783 4899.0000000000
907 4920.0000000000
932 4927.0000000000
965 4953.0000000000
992 4976.0000000000
995 4977.0000000000
1006 4980.0000000000
1022 4989.0000000000
1060 5009.0000000000
1106 5011.0000000000
1121 5026.0000000000
1154 5028.0000000000
1241 5031.0000000000
1306 5032.0000000000
1326 5033.0000000000
1366 5035.0000000000
1386 5038.0000000000
1408 5048.0000000000
1437 5050.0000000000
100000 4993.0000000000
evaluations raw_y
1 2632.0000000000
3 3096.0000000000
26 3118.0000000000
52 3157.0000000000
66 3222.0000000000
91 3238.0000000000
92 3309.0000000000
102 3313.0000000000
110 3626.0000000000
119 3681.0000000000
142 3688.0000000000
155 3710.0000000000
158 3727.0000000000
163 3768.0000000000
168 3797.0000000000
183 3801.0000000000
190 4026.0000000000
202 4047.0000000000
206 4098.0000000000
225 4269.0000000000
284 4441.0000000000
363 4498.0000000000
366 4554.0000000000
411 4614.0000000000
441 4618.0000000000
444 4653.0000000000
474 4669.0000000000
496 4714.0000000000
505 4716.0000000000
520 4723.0000000000
526 4744.0000000000
556 4751.0000000000
565 4753.0000000000
570 4780.0000000000
603 4804.0000000000
645 4815.0000000000
673 4826.0000000000
677 4844.0000000000
691 4865.0000000000
722 4872.0000000000
732 4883.0000000000
746 4889.0000000000
751 4905.0000000000
759 4915.0000000000
776 4957.0000000000
794 4986.0000000000
872 5012.0000000000
889 5014.0000000000
904 5017.0000000000
938 5023.0000000000
973 5024.0000000000
1007 5036.0000000000
1028 5042.0000000000
1130 5044.0000000000
1142 5050.0000000000
100000 4946.0000000000
evaluations raw_y
1 2961.0000000000
9 3054.0000000000
25 3129.0000000000
44 3177.0000000000
45 3334.0000000000
66 3435.0000000000
71 3542.0000000000
95 3646.0000000000
122 3663.0000000000
124 3688.0000000000
127 3781.0000000000
151 3873.0000000000
160 3948.0000000000
173 3986.0000000000
186 4001.0000000000
201 4066.0000000000
209 4205.0000000000
243 4235.0000000000
244 4270.0000000000
262 4275.0000000000
273 4286.0000000000
299 4331.0000000000
323 4359.0000000000
325 4369.0000000000
332 4432.0000000000
343 4459.0000000000
364 4506.0000000000
412 4546.0000000000
423 4563.0000000000
443 4565.0000000000
464 4631.0000000000
481 4634.0000000000
509 4649.0000000000
536 4667.0000000000
546 4674.0000000000
549 4680.0000000000
571 4692.0000000000
575 4716.0000000000
580 4725.0000000000
586 4736.0000000000
622 4752.0000000000
662 4772.0000000000
701 4809.0000000000
723 4825.0000000000
750 4840.0000000000
804 4854.0000000000
815 4865.0000000000
880 4872.0000000000
901 4879.0000000000
926 4902.0000000000
955 4907.0000000000
969 4910.0000000000
1004 4914.0000000000
1037 4939.0000000000
1043 4983.0000000000
1065 4985.0000000000
1079 5024.0000000000
1085 5031.0000000000
1095 5045.0000000000
1584 5049.0000000000
1614 5050.0000000000
100000 4810.0000000000
