evaluations raw_y
1 -0.5326497012
2 -0.4515156542
3 -0.4489433865
23 -0.4442497198
30 -0.4394676847
66 -0.4309656200
75 -0.4259594532
83 -0.4183230346
105 -0.3972227418
136 -0.3936591063
144 -0.3919768814
167 -0.3868758264
181 -0.3860481597
192 -0.3763286736
204 -0.3711791960
258 -0.3696838919
284 -0.3662741720
312 -0.3637108160
315 -0.3614293173
324 -0.3611680840
325 -0.3569154297
334 -0.3565150360
354 -0.3555956227
364 -0.3503797219
410 -0.3458557838
415 -0.3456799736
422 -0.3437728398
433 -0.3422095098
458 -0.3402569958
465 -0.3381442449
479 -0.3376956222
490 -0.3359242432
521 -0.3352246428
545 -0.3321658817
559 -0.3318589783
561 -0.3316847920
566 -0.3306918872
581 -0.3303374399
602 -0.3298340800
611 -0.3271389218
648 -0.3270881970
655 -0.3268560306
656 -0.3265719114
668 -0.3256636004
707 -0.3243928083
727 -0.3222914695
757 -0.3212904291
789 -0.3203373549
811 -0.3179747340
823 -0.3172235637
890 -0.3150280089
914 -0.3148632335
928 -0.3146133635
977 -0.3125006126
2296 -0.3090312695
2868 -0.3090228843
10198 -0.3079222694
10530 -0.3075160092
10661 -0.3075076240
32587 -0.3073982016
33110 -0.3073898165
46424 -0.3044986222
46577 -0.3044415594
100000 -0.3121778143
evaluations raw_y
1 -0.4973895396
9 -0.4863351965
16 -0.4778811773
19 -0.4726424691
26 -0.4648033038
28 -0.4532970327
53 -0.4331628855
86 -0.4308720563
96 -0.4255593502
104 -0.4246935083
125 -0.4208178965
141 -0.4190404348
143 -0.4150868455
162 -0.4127790951
166 -0.4126871726
179 -0.4120589608
200 -0.4068533480
216 -0.4065508529
220 -0.4062819968
222 -0.4056685484
232 -0.4038171561
237 -0.3986762966
253 -0.3979802458
264 -0.3932914179
284 -0.3875737807
336 -0.3833981753
347 -0.3825855842
350 -0.3815952229
369 -0.3814378973
372 -0.3772242912
402 -0.3759084726
433 -0.3744611575
441 -0.3657517361
509 -0.3640874568
524 -0.3633914060
537 -0.3633630211
547 -0.3593208919
590 -0.3585798745
592 -0.3584968031
604 -0.3570403386
614 -0.3568084955
632 -0.3563442878
641 -0.3542581429
660 -0.3531338332
664 -0.3508982465
723 -0.3491175905
734 -0.3484702725
747 -0.3474962830
800 -0.3469454573
809 -0.3454479937
818 -0.3429519351
864 -0.3422879614
872 -0.3410809159
896 -0.3397567121
922 -0.3389450181
970 -0.3352754214
983 -0.3345344630
1059 -0.3341862714
1071 -0.3333420329
1109 -0.3309742761
1157 -0.3306427020
1167 -0.3269212384
1264 -0.3254086445
1290 -0.3236372655
1311 -0.3225561437
1342 -0.3203119081
1353 -0.3179392264
1381 -0.3175245810
1429 -0.3172005428
1440 -0.3148107511
1529 -0.3139972867
1565 -0.3135171667
1640 -0.3131931285
1686 -0.3128636017
1724 -0.3124308307
1834 -0.3123477593
1841 -0.3121249180
1848 -0.3116941943
1889 -0.3113626202
2086 -0.3110463581
2109 -0.3107045290
2128 -0.3097525799
2149 -0.3096955171
2266 -0.3084652270
2424 -0.3056130878
2493 -0.3003693992
2516 -0.2995675582
2718 -0.2995104954
2945 -0.2995021103
5894 -0.2965538531
55510 -0.2963001932
55706 -0.2958200732
66533 -0.2946731947
66756 -0.2943416207
67297 -0.2931600415
67443 -0.2931516563
67444 -0.2928284674
67487 -0.2928200823
100000 -0.2995354370
evaluations raw_y
1 -0.4834246530
6 -0.4589253559
7 -0.4587581613
12 -0.4535891768
48 -0.4411621568
69 -0.4378052299
72 -0.4363317065
80 -0.4113074288
109 -0.4072266808
123 -0.4024766739
138 -0.3916296425
147 -0.3846935654
166 -0.3716863852
186 -0.3684149431
206 -0.3682082461
226 -0.3671745836
229 -0.3449711679
