evaluations raw_y evaporation_rate
1 46.0000000000 0.0100000000
4 50.0000000000 0.0100000000
5 51.0000000000 0.0100000000
9 53.0000000000 0.0100000000
14 55.0000000000 0.0100000000
23 56.0000000000 0.0100000000
42 57.0000000000 0.0100000000
52 58.0000000000 0.0100000000
57 59.0000000000 0.0100000000
61 62.0000000000 0.0100000000
72 63.0000000000 0.0100000000
73 65.0000000000 0.0100000000
162 67.0000000000 0.0100000000
167 68.0000000000 0.0100000000
177 70.0000000000 0.0100000000
199 72.0000000000 0.0100000000
202 76.0000000000 0.0100000000
251 78.0000000000 0.0100000000
316 79.0000000000 0.0100000000
346 80.0000000000 0.0100000000
362 81.0000000000 0.0100000000
412 83.0000000000 0.0100000000
442 85.0000000000 0.0100000000
527 86.0000000000 0.0100000000
544 87.0000000000 0.0100000000
607 88.0000000000 0.0100000000
643 89.0000000000 0.0100000000
713 90.0000000000 0.0100000000
736 91.0000000000 0.0100000000
807 92.0000000000 0.0100000000
854 94.0000000000 0.0100000000
1149 95.0000000000 0.0100000000
1223 96.0000000000 0.0100000000
1624 97.0000000000 0.0100000000
2047 98.0000000000 0.0100000000
2462 99.0000000000 0.0100000000
2554 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 50.0000000000 0.0100000000
2 57.0000000000 0.0100000000
19 60.0000000000 0.0100000000
34 61.0000000000 0.0100000000
59 65.0000000000 0.0100000000
71 68.0000000000 0.0100000000
141 69.0000000000 0.0100000000
176 72.0000000000 0.0100000000
237 75.0000000000 0.0100000000
271 76.0000000000 0.0100000000
280 77.0000000000 0.0100000000
360 78.0000000000 0.0100000000
378 81.0000000000 0.0100000000
475 83.0000000000 0.0100000000
523 85.0000000000 0.0100000000
564 86.0000000000 0.0100000000
651 87.0000000000 0.0100000000
700 88.0000000000 0.0100000000
723 89.0000000000 0.0100000000
869 90.0000000000 0.0100000000
912 91.0000000000 0.0100000000
954 92.0000000000 0.0100000000
1958 93.0000000000 0.0100000000
2368 94.0000000000 0.0100000000
2900 95.0000000000 0.0100000000
2936 96.0000000000 0.0100000000
3434 97.0000000000 0.0100000000
4401 98.0000000000 0.0100000000
4932 99.0000000000 0.0100000000
8679 100.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 38.0000000000 0.0100000000
2 46.0000000000 0.0100000000
4 49.0000000000 0.0100000000
7 54.0000000000 0.0100000000
34 61.0000000000 0.0100000000
55 63.0000000000 0.0100000000
74 69.0000000000 0.0100000000
122 71.0000000000 0.0100000000
144 74.0000000000 0.0100000000
222 75.0000000000 0.0100000000
228 76.0000000000 0.0100000000
264 79.0000000000 0.0100000000
324 84.0000000000 0.0100000000
417 85.0000000000 0.0100000000
441 86.0000000000 0.0100000000
451 87.0000000000 0.0100000000
532 88.0000000000 0.0100000000
536 89.0000000000 0.0100000000
554 90.0000000000 0.0100000000
670 91.0000000000 0.0100000000
798 92.0000000000 0.0100000000
846 93.0000000000 0.0100000000
975 94.0000000000 0.0100000000
1179 95.0000000000 0.0100000000
1223 96.0000000000 0.0100000000
2098 97.0000000000 0.0100000000
