evaluations raw_y evaporation_rate
1 -1284.0000000000 0.0100000000
2 -1264.0000000000 0.0100000000
3 -1109.0000000000 0.0100000000
15 -1108.0000000000 0.0100000000
44 -1039.0000000000 0.0100000000
56 -933.0000000000 0.0100000000
84 -738.0000000000 0.0100000000
131 -709.0000000000 0.0100000000
159 -699.0000000000 0.0100000000
161 -690.0000000000 0.0100000000
166 -661.0000000000 0.0100000000
174 -641.0000000000 0.0100000000
175 -612.0000000000 0.0100000000
176 -593.0000000000 0.0100000000
198 -563.0000000000 0.0100000000
231 -554.0000000000 0.0100000000
241 -525.0000000000 0.0100000000
257 -514.0000000000 0.0100000000
278 -466.0000000000 0.0100000000
287 -447.0000000000 0.0100000000
288 -408.0000000000 0.0100000000
323 -398.0000000000 0.0100000000
328 -234.0000000000 0.0100000000
413 -204.0000000000 0.0100000000
447 -195.0000000000 0.0100000000
483 -176.0000000000 0.0100000000
505 -129.0000000000 0.0100000000
564 -118.0000000000 0.0100000000
580 -109.0000000000 0.0100000000
625 -81.0000000000 0.0100000000
675 -71.0000000000 0.0100000000
705 -62.0000000000 0.0100000000
729 -53.0000000000 0.0100000000
743 -34.0000000000 0.0100000000
777 -33.0000000000 0.0100000000
844 -32.0000000000 0.0100000000
918 -31.0000000000 0.0100000000
1084 -12.0000000000 0.0100000000
1609 -11.0000000000 0.0100000000
1629 7.0000000000 0.0100000000
1655 8.0000000000 0.0100000000
100000 8.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 -1527.0000000000 0.0100000000
2 -1390.0000000000 0.0100000000
9 -1332.0000000000 0.0100000000
13 -1215.0000000000 0.0100000000
23 -1099.0000000000 0.0100000000
80 -1098.0000000000 0.0100000000
94 -1060.0000000000 0.0100000000
102 -1001.0000000000 0.0100000000
104 -972.0000000000 0.0100000000
116 -962.0000000000 0.0100000000
135 -943.0000000000 0.0100000000
142 -894.0000000000 0.0100000000
149 -758.0000000000 0.0100000000
202 -738.0000000000 0.0100000000
230 -641.0000000000 0.0100000000
288 -573.0000000000 0.0100000000
296 -544.0000000000 0.0100000000
328 -514.0000000000 0.0100000000
332 -466.0000000000 0.0100000000
376 -456.0000000000 0.0100000000
414 -417.0000000000 0.0100000000
433 -359.0000000000 0.0100000000
472 -349.0000000000 0.0100000000
484 -320.0000000000 0.0100000000
489 -311.0000000000 0.0100000000
535 -301.0000000000 0.0100000000
573 -263.0000000000 0.0100000000
593 -234.0000000000 0.0100000000
596 -205.0000000000 0.0100000000
723 -195.0000000000 0.0100000000
783 -167.0000000000 0.0100000000
1098 -158.0000000000 0.0100000000
1131 -157.0000000000 0.0100000000
1138 -138.0000000000 0.0100000000
1162 -129.0000000000 0.0100000000
1210 -128.0000000000 0.0100000000
1400 -109.0000000000 0.0100000000
1482 -100.0000000000 0.0100000000
1486 -90.0000000000 0.0100000000
1532 -81.0000000000 0.0100000000
1685 -72.0000000000 0.0100000000
1821 -62.0000000000 0.0100000000
1845 -53.0000000000 0.0100000000
1974 -34.0000000000 0.0100000000
2120 -33.0000000000 0.0100000000
2271 -14.0000000000 0.0100000000
2762 -13.0000000000 0.0100000000
3032 6.0000000000 0.0100000000
3143 7.0000000000 0.0100000000
3211 8.0000000000 0.0100000000
4561 9.0000000000 0.0100000000
100000 9.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 -1352.0000000000 0.0100000000
5 -1069.0000000000 0.0100000000
34 -1040.0000000000 0.0100000000
46 -942.0000000000 0.0100000000
84 -914.0000000000 0.0100000000
90 -903.0000000000 0.0100000000
91 -845.0000000000 0.0100000000
107 -670.0000000000 0.0100000000
172 -407.0000000000 0.0100000000
240 -379.0000000000 0.0100000000
249 -282.0000000000 0.0100000000
384 -262.0000000000 0.0100000000
399 -243.0000000000 0.0100000000
415 -196.0000000000 0.0100000000
464 -176.0000000000 0.0100000000
465 -166.0000000000 0.0100000000
533 -157.0000000000 0.0100000000
543 -138.0000000000 0.0100000000
721 -119.0000000000 0.0100000000
861 -110.0000000000 0.0100000000
867 -100.0000000000 0.0100000000
888 -91.0000000000 0.0100000000
1026 -82.0000000000 0.0100000000
1186 -53.0000000000 0.0100000000
1441 -34.0000000000 0.0100000000
1621 -33.0000000000 0.0100000000
2079 -4.0000000000 0.0100000000
2654 -3.0000000000 0.0100000000
2729 6.0000000000 0.0100000000
3121 7.0000000000 0.0100000000
3335 8.0000000000 0.0100000000
100000 8.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 -1458.0000000000 0.0100000000
3 -1439.0000000000 0.0100000000
5 -1030.0000000000 0.0100000000
17 -972.0000000000 0.0100000000
74 -962.0000000000 0.0100000000
83 -855.0000000000 0.0100000000
105 -845.0000000000 0.0100000000
136 -826.0000000000 0.0100000000
147 -592.0000000000 0.0100000000
257 -554.0000000000 0.0100000000
