evaluations raw_y evaporation_rate
1 8.0000000000 0.0100000000
3 9.0000000000 0.0100000000
7 10.0000000000 0.0100000000
87 10.6000000000 0.0100000000
131 10.8000000000 0.0100000000
169 11.2000000000 0.0100000000
230 11.4000000000 0.0100000000
260 11.6000000000 0.0100000000
263 11.8000000000 0.0100000000
266 12.4000000000 0.0100000000
326 12.6000000000 0.0100000000
379 13.0000000000 0.0100000000
401 13.2000000000 0.0100000000
426 13.4000000000 0.0100000000
481 13.8000000000 0.0100000000
483 14.0000000000 0.0100000000
607 14.2000000000 0.0100000000
618 14.4000000000 0.0100000000
729 14.6000000000 0.0100000000
741 14.8000000000 0.0100000000
832 15.0000000000 0.0100000000
915 15.2000000000 0.0100000000
1037 15.4000000000 0.0100000000
1422 15.6000000000 0.0100000000
1561 15.8000000000 0.0100000000
1687 16.0000000000 0.0100000000
1808 16.2000000000 0.0100000000
2311 16.4000000000 0.0100000000
2729 16.6000000000 0.0100000000
7167 16.8000000000 0.0100000000
100000 16.8000000000 0.0100000000
evaluations raw_y evaporation_rate
1 5.4000000000 0.0100000000
2 6.0000000000 0.0100000000
5 7.2000000000 0.0100000000
6 8.2000000000 0.0100000000
35 8.4000000000 0.0100000000
54 10.2000000000 0.0100000000
194 11.0000000000 0.0100000000
207 12.4000000000 0.0100000000
236 12.6000000000 0.0100000000
268 12.8000000000 0.0100000000
320 13.0000000000 0.0100000000
338 13.4000000000 0.0100000000
370 13.6000000000 0.0100000000
403 13.8000000000 0.0100000000
438 14.0000000000 0.0100000000
472 14.4000000000 0.0100000000
554 14.6000000000 0.0100000000
599 14.8000000000 0.0100000000
691 15.0000000000 0.0100000000
932 15.2000000000 0.0100000000
1137 15.4000000000 0.0100000000
1156 15.6000000000 0.0100000000
1210 15.8000000000 0.0100000000
1324 16.2000000000 0.0100000000
1414 16.4000000000 0.0100000000
1796 16.6000000000 0.0100000000
2260 16.8000000000 0.0100000000
2610 17.0000000000 0.0100000000
100000 17.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 8.8000000000 0.0100000000
46 9.2000000000 0.0100000000
77 10.2000000000 0.0100000000
115 10.4000000000 0.0100000000
182 10.8000000000 0.0100000000
194 11.0000000000 0.0100000000
218 11.6000000000 0.0100000000
300 12.0000000000 0.0100000000
315 12.8000000000 0.0100000000
471 13.2000000000 0.0100000000
531 13.6000000000 0.0100000000
569 13.8000000000 0.0100000000
609 14.0000000000 0.0100000000
680 14.2000000000 0.0100000000
693 14.4000000000 0.0100000000
850 14.8000000000 0.0100000000
1287 15.0000000000 0.0100000000
1410 15.2000000000 0.0100000000
1789 15.4000000000 0.0100000000
1939 15.6000000000 0.0100000000
2641 15.8000000000 0.0100000000
3253 16.0000000000 0.0100000000
6160 16.2000000000 0.0100000000
100000 16.2000000000 0.0100000000
evaluations raw_y evaporation_rate
1 5.6000000000 0.0100000000
2 6.6000000000 0.0100000000
3 7.0000000000 0.0100000000
5 8.0000000000 0.0100000000
9 9.2000000000 0.0100000000
91 9.4000000000 0.0100000000
116 11.0000000000 0.0100000000
207 11.2000000000 0.0100000000
253 11.4000000000 0.0100000000
257 11.8000000000 0.0100000000
284 12.0000000000 0.0100000000
291 12.2000000000 0.0100000000
360 12.6000000000 0.0100000000
391 12.8000000000 0.0100000000
440 13.2000000000 0.0100000000
558 13.4000000000 0.0100000000
589 13.6000000000 0.0100000000
649 13.8000000000 0.0100000000
723 14.0000000000 0.0100000000
795 14.2000000000 0.0100000000
1003 14.4000000000 0.0100000000
1503 14.6000000000 0.0100000000
2066 14.8000000000 0.0100000000
2113 15.0000000000 0.0100000000
2251 15.2000000000 0.0100000000
2444 15.4000000000 0.0100000000
2738 15.6000000000 0.0100000000
3053 15.8000000000 0.0100000000
3348 16.0000000000 0.0100000000
3450 16.2000000000 0.0100000000
3695 16.4000000000 0.0100000000
3874 16.6000000000 0.0100000000
100000 16.6000000000 0.0100000000
evaluations raw_y evaporation_rate
1 6.4000000000 0.0100000000
3 6.8000000000 0.0100000000
4 7.4000000000 0.0100000000
5 8.4000000000 0.0100000000
22 9.0000000000 0.0100000000
43 9.8000000000 0.0100000000
100 10.0000000000 0.0100000000
124 11.6000000000 0.0100000000
205 11.8000000000 0.0100000000
243 12.2000000000 0.0100000000
