evaluations raw_y evaporation_rate
1 -0.5255955036 0.0100000000
2 -0.4881076654 0.0100000000
4 -0.4844057293 0.0100000000
11 -0.4829513746 0.0100000000
16 -0.4537530575 0.0100000000
30 -0.4519912328 0.0100000000
63 -0.4378183519 0.0100000000
96 -0.4335626401 0.0100000000
110 -0.4273636025 0.0100000000
138 -0.4268970974 0.0100000000
159 -0.4122493089 0.0100000000
221 -0.3953514210 0.0100000000
262 -0.3920576233 0.0100000000
293 -0.3719014210 0.0100000000
294 -0.3674230103 0.0100000000
371 -0.3583606879 0.0100000000
418 -0.3551815464 0.0100000000
456 -0.3528631196 0.0100000000
470 -0.3509613992 0.0100000000
527 -0.3484478423 0.0100000000
557 -0.3481035733 0.0100000000
563 -0.3478680954 0.0100000000
598 -0.3470317854 0.0100000000
606 -0.3405087984 0.0100000000
625 -0.3403414711 0.0100000000
654 -0.3399637925 0.0100000000
671 -0.3381396523 0.0100000000
814 -0.3373378113 0.0100000000
855 -0.3348894315 0.0100000000
878 -0.3340875905 0.0100000000
970 -0.3340611199 0.0100000000
974 -0.3328573003 0.0100000000
1010 -0.3328308297 0.0100000000
1030 -0.3320289887 0.0100000000
1260 -0.3316871596 0.0100000000
1264 -0.3271281526 0.0100000000
1335 -0.3267863235 0.0100000000
1409 -0.3203346921 0.0100000000
1486 -0.3181295777 0.0100000000
1927 -0.3173885603 0.0100000000
2000 -0.3162585584 0.0100000000
2029 -0.3155175411 0.0100000000
2072 -0.3148675536 0.0100000000
2360 -0.3136067575 0.0100000000
2501 -0.3135983724 0.0100000000
3903 -0.3098342794 0.0100000000
5632 -0.3097078740 0.0100000000
5835 -0.3043882382 0.0100000000
6955 -0.3032471795 0.0100000000
6962 -0.2982931909 0.0100000000
7003 -0.2978130709 0.0100000000
100000 -0.2978130709 0.0100000000
evaluations raw_y evaporation_rate
1 -0.5042901979 0.0100000000
2 -0.4840112610 0.0100000000
9 -0.4692690060 0.0100000000
26 -0.4621168588 0.0100000000
31 -0.4601959681 0.0100000000
39 -0.4479753117 0.0100000000
81 -0.4333640056 0.0100000000
122 -0.4311184934 0.0100000000
157 -0.4157462449 0.0100000000
222 -0.4053795404 0.0100000000
261 -0.4014713658 0.0100000000
284 -0.3814016374 0.0100000000
326 -0.3805718271 0.0100000000
366 -0.3762295304 0.0100000000
372 -0.3729866909 0.0100000000
434 -0.3701801072 0.0100000000
470 -0.3640346733 0.0100000000
499 -0.3591716407 0.0100000000
520 -0.3569005774 0.0100000000
579 -0.3549851823 0.0100000000
590 -0.3522594730 0.0100000000
653 -0.3510189393 0.0100000000
700 -0.3504890395 0.0100000000
743 -0.3504806544 0.0100000000
789 -0.3484183074 0.0100000000
807 -0.3471777738 0.0100000000
935 -0.3459246702 0.0100000000
1255 -0.3441217178 0.0100000000
1497 -0.3384040806 0.0100000000
1533 -0.3343509995 0.0100000000
1757 -0.3337811155 0.0100000000
1846 -0.3330850647 0.0100000000
1911 -0.3299615582 0.0100000000
1922 -0.3292655073 0.0100000000
2080 -0.3285032096 0.0100000000
2271 -0.3267923141 0.0100000000
2408 -0.3261757318 0.0100000000
3043 -0.3251746914 0.0100000000
3172 -0.3247600461 0.0100000000
5007 -0.3162460236 0.0100000000
5479 -0.3155795472 0.0100000000
9870 -0.3145705354 0.0100000000
10365 -0.3133402452 0.0100000000
100000 -0.3133402452 0.0100000000
evaluations raw_y evaporation_rate
1 -0.5425963596 0.0100000000
2 -0.5320629287 0.0100000000
3 -0.5201172831 0.0100000000
5 -0.5182175459 0.0100000000
6 -0.5134054385 0.0100000000
7 -0.4866223441 0.0100000000
18 -0.4860916000 0.0100000000
21 -0.4571802292 0.0100000000
44 -0.4459108864 0.0100000000
72 -0.4453881831 0.0100000000
74 -0.4449602974 0.0100000000
128 -0.4351226601 0.0100000000
156 -0.4244411489 0.0100000000
178 -0.4049985679 0.0100000000
257 -0.3957444777 0.0100000000
263 -0.3956772977 0.0100000000
303 -0.3893914262 0.0100000000
339 -0.3886370737 0.0100000000
347 -0.3769411539 0.0100000000
367 -0.3718261235 0.0100000000
462 -0.3698127800 0.0100000000
468 -0.3669547705 0.0100000000
483 -0.3649808581 0.0100000000
490 -0.3634654787 0.0100000000
494 -0.3603304840 0.0100000000
495 -0.3571075031 0.0100000000
538 -0.3569227197 0.0100000000
548 -0.3476816070 0.0100000000
577 -0.3470594487 0.0100000000
583 -0.3443177126 0.0100000000
590 -0.3435396226 0.0100000000
637 -0.3430595285 0.0100000000
646 -0.3427933886 0.0100000000
662 -0.3423230506 0.0100000000
675 -0.3406428802 0.0100000000
684 -0.3403738539 0.0100000000
689 -0.3403208892 0.0100000000
707 -0.3397231753 0.0100000000
737 -0.3384512832 0.0100000000
740 -0.3369046582 0.0100000000
767 -0.3355236323 0.0100000000
792 -0.3332020293 0.0100000000
824 -0.3306280887 0.0100000000
857 -0.3296777372 0.0100000000
882 -0.3293461632 0.0100000000
883 -0.3287949344 0.0100000000
885 -0.3277569112 0.0100000000
919 -0.3274253372 0.0100000000
947 -0.3251027812 0.0100000000
976 -0.3242941525 0.0100000000
1003 -0.3216400225 0.0100000000
1063 -0.3213084485 0.0100000000
1577 -0.3201160184 0.0100000000
1681 -0.3194994361 0.0100000000
1745 -0.3171916856 0.0100000000
2021 -0.3170652802 0.0100000000
2130 -0.3159613955 0.0100000000
2143 -0.3158349900 0.0100000000
2167 -0.3144019046 0.0100000000
2210 -0.3131716144 0.0100000000
2641 -0.3116976198 0.0100000000
3124 -0.3109566025 0.0100000000
3468 -0.3096958065 0.0100000000
4979 -0.3088939655 0.0100000000
5431 -0.3088369027 0.0100000000
7357 -0.3035172668 0.0100000000
46844 -0.3028883770 0.0100000000
100000 -0.3028883770 0.0100000000
evaluations raw_y evaporation_rate
1 -0.5296482635 0.0100000000
4 -0.4728184739 0.0100000000
15 -0.4720714778 0.0100000000
17 -0.4702121156 0.0100000000
21 -0.4604365901 0.0100000000
45 -0.4442933017 0.0100000000
81 -0.4381629932 0.0100000000
126 -0.4368226301 0.0100000000
154 -0.4225387842 0.0100000000
176 -0.4223109672 0.0100000000
182 -0.4150778180 0.0100000000
214 -0.4085171193 0.0100000000
222 -0.4025256091 0.0100000000
255 -0.4005643390 0.0100000000
264 -0.3860868146 0.0100000000
309 -0.3834011687 0.0100000000
314 -0.3715395750 0.0100000000
365 -0.3690839811 0.0100000000
393 -0.3661467001 0.0100000000
398 -0.3631536824 0.0100000000
416 -0.3587656008 0.0100000000
447 -0.3580393332 0.0100000000
470 -0.3522218872 0.0100000000
494 -0.3513744967 0.0100000000
556 -0.3461240569 0.0100000000
572 -0.3410972828 0.0100000000
637 -0.3406826374 0.0100000000
666 -0.3405589978 0.0100000000
733 -0.3401443525 0.0100000000
786 -0.3394907874 0.0100000000
796 -0.3382866431 0.0100000000
806 -0.3362644977 0.0100000000
826 -0.3326862045 0.0100000000
843 -0.3321479195 0.0100000000
891 -0.3314943544 0.0100000000
1018 -0.3302640642 0.0100000000
1353 -0.3268237751 0.0100000000
1481 -0.3267667122 0.0100000000
1863 -0.3255742821 0.0100000000
1917 -0.3255658970 0.0100000000
1928 -0.3241041971 0.0100000000
1937 -0.3229201521 0.0100000000
2010 -0.3229117670 0.0100000000
2102 -0.3167471052 0.0100000000
2554 -0.3141155749 0.0100000000
2605 -0.3136354549 0.0100000000
3348 -0.3109720793 0.0100000000
3696 -0.3101702383 0.0100000000
5424 -0.3084593428 0.0100000000
6238 -0.3074583024 0.0100000000
100000 -0.3074583024 0.0100000000
evaluations raw_y evaporation_rate
1 -0.4894263915 0.0100000000
3 -0.4758900127 0.0100000000
5 -0.4684378857 0.0100000000
31 -0.4511818358 0.0100000000
60 -0.4511180091 0.0100000000
82 -0.4437924666 0.0100000000
94 -0.4403840702 0.0100000000
96 -0.4254852536 0.0100000000
114 -0.4115045120 0.0100000000
142 -0.4103642099 0.0100000000
157 -0.3898716754 0.0100000000
235 -0.3852898557 0.0100000000
268 -0.3734990272 0.0100000000
289 -0.3728138918 0.0100000000
339 -0.3497765067 0.0100000000
382 -0.3370910016 0.0100000000
445 -0.3358879874 0.0100000000
449 -0.3349772941 0.0100000000
494 -0.3342747384 0.0100000000
526 -0.3302235122 0.0100000000
545 -0.3248164547 0.0100000000
605 -0.3240754373 0.0100000000
613 -0.3187246267 0.0100000000
624 -0.3182048481 0.0100000000
668 -0.3174554456 0.0100000000
825 -0.3136358882 0.0100000000
1004 -0.3131581532 0.0100000000
1009 -0.3093385958 0.0100000000
1244 -0.3081461657 0.0100000000
1726 -0.3073680741 0.0100000000
1897 -0.3065752286 0.0100000000
1933 -0.3050603236 0.0100000000
1964 -0.3042674782 0.0100000000
2187 -0.3037873582 0.0100000000
2414 -0.3027459398 0.0100000000
2436 -0.3022658198 0.0100000000
86354 -0.3004271349 0.0100000000
100000 -0.3004271349 0.0100000000
evaluations raw_y evaporation_rate
1 -0.5121578576 0.0100000000
2 -0.4757021489 0.0100000000
18 -0.4667268336 0.0100000000
26 -0.4471366868 0.0100000000
141 -0.4306459669 0.0100000000
183 -0.4197440491 0.0100000000
236 -0.3986266385 0.0100000000
282 -0.3959659869 0.0100000000
302 -0.3958419770 0.0100000000
321 -0.3887368609 0.0100000000
390 -0.3873570679 0.0100000000
415 -0.3855579020 0.0100000000
449 -0.3851945509 0.0100000000
463 -0.3843562369 0.0100000000
468 -0.3842211040 0.0100000000
