evaluations raw_y evaporation_rate
1 1.5216068168 0.1000000000
3 1.6677785190 0.1000000000
18 2.0275750203 0.1000000000
33 2.1276595745 0.1000000000
38 2.1795989538 0.1000000000
43 2.2065313327 0.1000000000
123 2.3084025854 0.1000000000
304 2.3386342376 0.1000000000
490 2.3877745941 0.1000000000
673 2.4875621891 0.1000000000
755 2.4925224327 0.1000000000
855 2.5484199796 0.1000000000
1751 2.5641025641 0.1000000000
2004 2.6232948583 0.1000000000
2232 2.8312570781 0.1000000000
2374 2.9036004646 0.1000000000
2436 3.0376670717 0.1000000000
3158 3.2175032175 0.1000000000
3398 3.2258064516 0.1000000000
3431 3.2679738562 0.1000000000
4117 3.3829499323 0.1000000000
100000 2.6680896478 0.1000000000
evaluations raw_y evaporation_rate
1 1.0175010175 0.1000000000
2 1.1286681716 0.1000000000
3 1.8341892883 0.1000000000
45 1.9762845850 0.1000000000
58 1.9984012790 0.1000000000
220 2.1682567216 0.1000000000
314 2.2502250225 0.1000000000
460 2.4485798237 0.1000000000
633 2.5025025025 0.1000000000
658 2.5380710660 0.1000000000
847 2.6068821689 0.1000000000
1099 2.9585798817 0.1000000000
1846 2.9797377831 0.1000000000
1940 3.0012004802 0.1000000000
2868 3.0229746070 0.1000000000
2916 3.0450669915 0.1000000000
3113 3.0826140567 0.1000000000
3389 3.0902348578 0.1000000000
3431 3.1133250311 0.1000000000
3482 3.2851511170 0.1000000000
3644 3.2938076416 0.1000000000
3802 3.3738191633 0.1000000000
100000 3.3738191633 0.1000000000
evaluations raw_y evaporation_rate
1 0.8448800270 0.1000000000
2 1.0224948875 0.1000000000
3 1.4854426619 0.1000000000
6 1.5460729746 0.1000000000
22 1.6835016835 0.1000000000
31 1.9215987702 0.1000000000
45 1.9364833462 0.1000000000
78 2.0475020475 0.1000000000
127 2.1349274125 0.1000000000
213 2.3562676720 0.1000000000
218 2.3969319271 0.1000000000
278 2.4295432459 0.1000000000
307 2.4342745862 0.1000000000
321 2.4390243902 0.1000000000
437 2.4437927664 0.1000000000
474 2.4679170780 0.1000000000
649 2.5432349949 0.1000000000
699 2.5484199796 0.1000000000
826 2.5960539979 0.1000000000
834 2.6680896478 0.1000000000
1069 2.6737967914 0.1000000000
1116 2.9308323564 0.1000000000
1186 3.0229746070 0.1000000000
1334 3.2341526520 0.1000000000
1939 3.2765399738 0.1000000000
1976 3.3738191633 0.1000000000
2638 3.4965034965 0.1000000000
4510 3.5260930889 0.1000000000
5528 3.5561877667 0.1000000000
6017 3.5663338088 0.1000000000
100000 3.5663338088 0.1000000000
evaluations raw_y evaporation_rate
1 1.2866700978 0.1000000000
3 1.5197568389 0.1000000000
13 1.6995241332 0.1000000000
29 1.7041581459 0.1000000000
37 1.7064846416 0.1000000000
41 1.7421602787 0.1000000000
56 1.7793594306 0.1000000000
64 1.8896447468 0.1000000000
78 1.9857029388 0.1000000000
83 2.1026072330 0.1000000000
628 2.2341376229 0.1000000000
675 2.3041474654 0.1000000000
717 2.4630541872 0.1000000000
730 2.6232948583 0.1000000000
954 2.7085590466 0.1000000000
993 2.7502750275 0.1000000000
1143 2.7563395810 0.1000000000
2554 2.7870680045 0.1000000000
2887 2.8312570781 0.1000000000
2922 3.1525851198 0.1000000000
3034 3.1928480204 0.1000000000
3229 3.2509752926 0.1000000000
3460 3.3112582781 0.1000000000
3696 3.4482758621 0.1000000000
3719 3.5971223022 0.1000000000
3736 3.7821482602 0.1000000000
4391 4.1186161450 0.1000000000
100000 4.1186161450 0.1000000000
evaluations raw_y evaporation_rate
1 1.0931351115 0.1000000000
3 1.5933715743 0.1000000000
25 1.5954052329 0.1000000000
27 1.7568517217 0.1000000000
36 1.8504811251 0.1000000000
180 1.9394879752 0.1000000000
195 2.0850708924 0.1000000000
235 2.1026072330 0.1000000000
266 2.1570319241 0.1000000000
321 2.1834061135 0.1000000000
392 2.2914757104 0.1000000000
447 2.3741690408 0.1000000000
521 2.4925224327 0.1000000000
627 2.5075225677 0.1000000000
666 2.5227043391 0.1000000000
825 2.5278058645 0.1000000000
877 2.5329280648 0.1000000000
887 2.6343519494 0.1000000000
1207 2.7027027027 0.1000000000
2062 2.7563395810 0.1000000000
2309 2.7995520717 0.1000000000
2355 3.0674846626 0.1000000000
2479 3.1847133758 0.1000000000
63574 3.3921302578 0.1000000000
64633 3.4387895461 0.1000000000
100000 3.4387895461 0.1000000000
evaluations raw_y evaporation_rate
1 1.3433637829 0.1000000000
4 1.4277555682 0.1000000000
5 1.5234613041 0.1000000000
19 1.7946877243 0.1000000000
26 1.7972681524 0.1000000000
36 2.0475020475 0.1000000000
44 2.1097046414 0.1000000000
48 2.3299161230 0.1000000000
120 2.4061597690 0.1000000000
170 2.5588536336 0.1000000000
378 2.5960539979 0.1000000000
486 2.7027027027 0.1000000000
571 2.7085590466 0.1000000000
613 2.7502750275 0.1000000000
1510 2.8835063437 0.1000000000
1685 2.9585798817 0.1000000000
1690 2.9726516052 0.1000000000
1797 3.0978934325 0.1000000000
1816 3.2092426187 0.1000000000
2552 3.4674063800 0.1000000000
3257 3.4965034965 0.1000000000
4202 3.7147102526 0.1000000000
4511 3.8402457757 0.1000000000
5567 3.8520801233 0.1000000000
5760 4.0916530278 0.1000000000
5941 4.3029259897 0.1000000000
6557 4.3478260870 0.1000000000
100000 4.3478260870 0.1000000000
evaluations raw_y evaporation_rate
1 0.5772338952 0.1000000000
2 1.2309207287 0.1000000000
5 1.2748597654 0.1000000000
7 1.3276686139 0.1000000000
12 1.5812776724 0.1000000000
67 1.6077170418 0.1000000000
78 1.8368846436 0.1000000000
148 2.0308692120 0.1000000000
205 2.2301516503 0.1000000000
460 2.2831050228 0.1000000000
564 2.3126734505 0.1000000000
833 2.3607176582 0.1000000000
856 2.3741690408 0.1000000000
921 2.4061597690 0.1000000000
1329 2.4295432459 0.1000000000
1412 2.5432349949 0.1000000000
1518 2.6014568158 0.1000000000
1694 2.6852846402 0.1000000000
2241 2.7382256298 0.1000000000
2298 2.7442371021 0.1000000000
2480 2.7502750275 0.1000000000
2599 2.9797377831 0.1000000000
3105 3.0012004802 0.1000000000
3471 3.1289111389 0.1000000000
4150 3.1367628607 0.1000000000
4464 3.1928480204 0.1000000000
4794 3.2679738562 0.1000000000
5319 3.2938076416 0.1000000000
5737 3.3377837116 0.1000000000
7450 3.6603221083 0.1000000000
13573 3.9246467818 0.1000000000
100000 3.9246467818 0.1000000000
evaluations raw_y evaporation_rate
1 1.0283833813 0.1000000000
2 1.1921793038 0.1000000000
4 1.4116318464 0.1000000000
23 1.4261266400 0.1000000000
27 1.4819205691 0.1000000000
28 1.9334880124 0.1000000000
56 1.9920318725 0.1000000000
57 2.1910604733 0.1000000000
63 2.2261798753 0.1000000000
323 2.2624434389 0.1000000000
495 2.4061597690 0.1000000000
750 2.4485798237 0.1000000000
984 2.5853154085 0.1000000000
1276 2.6343519494 0.1000000000
1599 2.6737967914 0.1000000000
1603 2.7808676307 0.1000000000
1813 2.8376844495 0.1000000000
2100 3.1446540881 0.1000000000
2288 3.1685678074 0.1000000000
2565 3.3288948069 0.1000000000
2630 3.3738191633 0.1000000000
4144 3.5161744023 0.1000000000
5325 3.5663338088 0.1000000000
6735 3.6390101892 0.1000000000
98212 3.7037037037 0.1000000000
100000 3.7037037037 0.1000000000
evaluations raw_y evaporation_rate
1 1.0808473843 0.1000000000
3 1.2671059301 0.1000000000
10 1.3774104683 0.1000000000
23 1.4310246136 0.1000000000
26 1.5403573629 0.1000000000
28 1.6286644951 0.1000000000
34 2.0475020475 0.1000000000
35 2.2956841139 0.1000000000
66 2.5432349949 0.1000000000
610 2.7995520717 0.1000000000
882 2.8571428571 0.1000000000
896 2.9515938607 0.1000000000
1025 3.0303030303 0.1000000000
3700 3.1766200762 0.1000000000
3737 3.2175032175 0.1000000000
3906 3.3112582781 0.1000000000
4119 3.4106412005 0.1000000000
100000 3.4106412005 0.1000000000
evaluations raw_y evaporation_rate
1 1.0998680158 0.1000000000
3 1.2272950417 0.1000000000
5 1.2761613068 0.1000000000
9 1.3376136972 0.1000000000
25 1.5595757954 0.1000000000
37 1.5615240475 0.1000000000
38 1.5713387806 0.1000000000
42 1.6223231668 0.1000000000
46 1.6307893020 0.1000000000
49 1.7642907551 0.1000000000
58 1.9607843137 0.1000000000
90 1.9952114924 0.1000000000
124 2.0048115477 0.1000000000
144 2.2065313327 0.1000000000
208 2.2747952684 0.1000000000
231 2.4015369837 0.1000000000
238 2.4826216485 0.1000000000
422 2.5278058645 0.1000000000
694 2.5960539979 0.1000000000
743 2.6014568158 0.1000000000
764 2.6068821689 0.1000000000
771 2.6455026455 0.1000000000
776 2.8121484814 0.1000000000
781 2.8441410694 0.1000000000
853 3.0902348578 0.1000000000
1054 3.2258064516 0.1000000000
1356 3.3921302578 0.1000000000
23787 3.4106412005 0.1000000000
23856 3.5360678925 0.1000000000
24405 3.5663338088 0.1000000000
64521 3.6284470247 0.1000000000
65363 3.7257824143 0.1000000000
100000 3.7257824143 0.1000000000
