evaluations raw_y evaporation_rate
1 1.5216068168 1.0000000000
2 1.6223231668 1.0000000000
39 1.7921146953 1.0000000000
60 1.9638648861 1.0000000000
115 2.2502250225 1.0000000000
149 2.3651844844 1.0000000000
202 2.3969319271 1.0000000000
226 2.5176233635 1.0000000000
486 2.5641025641 1.0000000000
729 2.6343519494 1.0000000000
787 2.7322404372 1.0000000000
814 2.7870680045 1.0000000000
830 2.8441410694 1.0000000000
1468 2.8506271380 1.0000000000
2297 2.8968713789 1.0000000000
2445 2.9585798817 1.0000000000
3264 2.9940119760 1.0000000000
3298 3.0156815440 1.0000000000
4342 3.0826140567 1.0000000000
6010 3.0902348578 1.0000000000
6085 3.1928480204 1.0000000000
7167 3.2509752926 1.0000000000
7485 3.2594524120 1.0000000000
8674 3.3738191633 1.0000000000
10210 3.4770514604 1.0000000000
10516 3.5460992908 1.0000000000
100000 3.5460992908 1.0000000000
evaluations raw_y evaporation_rate
1 1.0175010175 1.0000000000
30 1.0651896037 1.0000000000
49 1.1276499774 1.0000000000
51 1.2201073694 1.0000000000
70 1.3506212858 1.0000000000
89 1.3974287311 1.0000000000
165 1.4376078206 1.0000000000
177 1.5460729746 1.0000000000
219 1.7182130584 1.0000000000
220 1.8867924528 1.0000000000
228 2.0112630732 1.0000000000
341 2.0542317173 1.0000000000
444 2.3696682464 1.0000000000
637 2.4975024975 1.0000000000
687 2.6567481403 1.0000000000
1224 2.6624068158 1.0000000000
1361 2.7624309392 1.0000000000
1363 2.7685492802 1.0000000000
1457 2.8636884307 1.0000000000
1539 2.8702640643 1.0000000000
1930 3.0750307503 1.0000000000
2348 3.2938076416 1.0000000000
2665 3.3377837116 1.0000000000
100000 3.3377837116 1.0000000000
evaluations raw_y evaporation_rate
1 0.8448800270 1.0000000000
24 0.8925383792 1.0000000000
74 0.9738994936 1.0000000000
86 0.9854158455 1.0000000000
102 1.0351966874 1.0000000000
110 1.1420740064 1.0000000000
111 1.2260912212 1.0000000000
116 1.2933264356 1.0000000000
127 1.3804527885 1.0000000000
137 1.4180374362 1.0000000000
150 1.5234613041 1.0000000000
205 1.5479876161 1.0000000000
207 1.6523463318 1.0000000000
270 1.7667844523 1.0000000000
