evaluations raw_y evaporation_rate
1 -0.5255955036 1.0000000000
2 -0.5240739652 1.0000000000
35 -0.5208237444 1.0000000000
60 -0.5116412134 1.0000000000
105 -0.5049428501 1.0000000000
108 -0.4968495641 1.0000000000
120 -0.4945081087 1.0000000000
151 -0.4943407814 1.0000000000
155 -0.4774913826 1.0000000000
216 -0.4634071498 1.0000000000
238 -0.4608450746 1.0000000000
296 -0.4525956946 1.0000000000
346 -0.4507594554 1.0000000000
416 -0.4453745767 1.0000000000
425 -0.4438436002 1.0000000000
440 -0.4435774604 1.0000000000
514 -0.4368524232 1.0000000000
525 -0.4269341247 1.0000000000
643 -0.4245715039 1.0000000000
644 -0.4203293576 1.0000000000
673 -0.4182663246 1.0000000000
755 -0.4139445931 1.0000000000
814 -0.4126830369 1.0000000000
853 -0.4120247823 1.0000000000
895 -0.4112319369 1.0000000000
985 -0.4073232724 1.0000000000
1033 -0.3995104545 1.0000000000
1409 -0.3944051474 1.0000000000
1418 -0.3895301411 1.0000000000
1452 -0.3865463415 1.0000000000
1609 -0.3799010163 1.0000000000
1629 -0.3749772102 1.0000000000
1743 -0.3707708656 1.0000000000
1747 -0.3685090789 1.0000000000
1751 -0.3678426025 1.0000000000
1846 -0.3643651112 1.0000000000
1927 -0.3636240938 1.0000000000
1994 -0.3634319124 1.0000000000
2004 -0.3627358616 1.0000000000
2080 -0.3548883497 1.0000000000
2297 -0.3548256738 1.0000000000
2354 -0.3521229185 1.0000000000
2360 -0.3508621225 1.0000000000
2492 -0.3503323797 1.0000000000
2566 -0.3459671940 1.0000000000
2904 -0.3433130640 1.0000000000
3342 -0.3389610828 1.0000000000
3407 -0.3354983241 1.0000000000
3996 -0.3344972837 1.0000000000
4358 -0.3334882719 1.0000000000
4773 -0.3322579817 1.0000000000
5632 -0.3321315762 1.0000000000
5835 -0.3268119404 1.0000000000
6955 -0.3256708817 1.0000000000
7003 -0.3251907617 1.0000000000
7486 -0.3214692981 1.0000000000
9276 -0.3165153095 1.0000000000
100000 -0.3167074910 1.0000000000
evaluations raw_y evaporation_rate
1 -0.5042901979 1.0000000000
49 -0.5024065496 1.0000000000
51 -0.4916771009 1.0000000000
68 -0.4911357688 1.0000000000
89 -0.4819008815 1.0000000000
93 -0.4813711388 1.0000000000
99 -0.4752743918 1.0000000000
158 -0.4703428932 1.0000000000
165 -0.4685399408 1.0000000000
177 -0.4665834774 1.0000000000
196 -0.4647074389 1.0000000000
220 -0.4541844404 1.0000000000
239 -0.4528261270 1.0000000000
314 -0.4474090056 1.0000000000
334 -0.4456376266 1.0000000000
403 -0.4456292415 1.0000000000
444 -0.4376066949 1.0000000000
459 -0.4332547137 1.0000000000
500 -0.4161139095 1.0000000000
508 -0.4106930785 1.0000000000
514 -0.4051010770 1.0000000000
523 -0.3971217416 1.0000000000
537 -0.3954395166 1.0000000000
633 -0.3898007498 1.0000000000
658 -0.3879763381 1.0000000000
800 -0.3845135794 1.0000000000
828 -0.3841717503 1.0000000000
852 -0.3834988401 1.0000000000
957 -0.3805150406 1.0000000000
1099 -0.3774673757 1.0000000000
1133 -0.3667047106 1.0000000000
1159 -0.3613958346 1.0000000000
1224 -0.3553547173 1.0000000000
1361 -0.3541244271 1.0000000000
1363 -0.3538003889 1.0000000000
1400 -0.3519762487 1.0000000000
1412 -0.3507089878 1.0000000000
1496 -0.3469448948 1.0000000000
1497 -0.3443564109 1.0000000000
1555 -0.3417022809 1.0000000000
1585 -0.3412221609 1.0000000000
1606 -0.3404598631 1.0000000000
1708 -0.3342557044 1.0000000000
1846 -0.3335596536 1.0000000000
2464 -0.3306152809 1.0000000000
2837 -0.3239249665 1.0000000000
3652 -0.3197186219 1.0000000000
5007 -0.3112045995 1.0000000000
100000 -0.3112045995 1.0000000000
evaluations raw_y evaporation_rate
1 -0.5425963596 1.0000000000
5 -0.5425879744 1.0000000000
72 -0.5353054920 1.0000000000
86 -0.5247316538 1.0000000000
98 -0.5137027910 1.0000000000
102 -0.5031683904 1.0000000000
108 -0.4971228608 1.0000000000
116 -0.4970178207 1.0000000000
205 -0.4906422789 1.0000000000
209 -0.4878205135 1.0000000000
212 -0.4804434962 1.0000000000
213 -0.4754895076 1.0000000000
268 -0.4676766897 1.0000000000
290 -0.4658404506 1.0000000000
354 -0.4591154134 1.0000000000
380 -0.4473232586 1.0000000000
426 -0.4365804827 1.0000000000
449 -0.4318070952 1.0000000000
507 -0.4300961997 1.0000000000
611 -0.4254640001 1.0000000000
641 -0.4250242709 1.0000000000
649 -0.4193293518 1.0000000000
