evaluations raw_y evaporation_rate
1 -1284.0000000000 0.0100000000
2 -1264.0000000000 0.0100000000
3 -1109.0000000000 0.0100000000
15 -1108.0000000000 0.0100000000
44 -1039.0000000000 0.0100000000
56 -933.0000000000 0.0100000000
84 -738.0000000000 0.0100000000
131 -709.0000000000 0.0100000000
159 -699.0000000000 0.0100000000
161 -690.0000000000 0.0100000000
166 -661.0000000000 0.0100000000
174 -641.0000000000 0.0100000000
175 -612.0000000000 0.0100000000
176 -593.0000000000 0.0100000000
198 -563.0000000000 0.0100000000
231 -554.0000000000 0.0100000000
241 -525.0000000000 0.0100000000
257 -514.0000000000 0.0100000000
278 -466.0000000000 0.0100000000
287 -447.0000000000 0.0100000000
288 -408.0000000000 0.0100000000
323 -398.0000000000 0.0100000000
328 -234.0000000000 0.0100000000
413 -204.0000000000 0.0100000000
447 -195.0000000000 0.0100000000
483 -176.0000000000 0.0100000000
505 -148.0000000000 0.0100000000
549 -147.0000000000 0.0100000000
570 -138.0000000000 0.0100000000
594 -128.0000000000 0.0100000000
606 -127.0000000000 0.0100000000
608 -119.0000000000 0.0100000000
673 -109.0000000000 0.0100000000
675 -99.0000000000 0.0100000000
714 -90.0000000000 0.0100000000
752 -89.0000000000 0.0100000000
789 -81.0000000000 0.0100000000
838 -80.0000000000 0.0100000000
850 -72.0000000000 0.0100000000
867 -71.0000000000 0.0100000000
902 -63.0000000000 0.0100000000
913 -62.0000000000 0.0100000000
1084 -33.0000000000 0.0100000000
1180 -32.0000000000 0.0100000000
1351 -24.0000000000 0.0100000000
1366 -23.0000000000 0.0100000000
1570 -14.0000000000 0.0100000000
1629 -4.0000000000 0.0100000000
1669 5.0000000000 0.0100000000
1793 6.0000000000 0.0100000000
1939 7.0000000000 0.0100000000
2637 8.0000000000 0.0100000000
2827 9.0000000000 0.0100000000
100000 9.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 -1527.0000000000 0.0100000000
2 -1390.0000000000 0.0100000000
9 -1332.0000000000 0.0100000000
13 -1215.0000000000 0.0100000000
23 -1099.0000000000 0.0100000000
80 -1098.0000000000 0.0100000000
94 -1060.0000000000 0.0100000000
102 -1001.0000000000 0.0100000000
104 -972.0000000000 0.0100000000
116 -962.0000000000 0.0100000000
135 -943.0000000000 0.0100000000
142 -894.0000000000 0.0100000000
149 -758.0000000000 0.0100000000
202 -738.0000000000 0.0100000000
230 -641.0000000000 0.0100000000
288 -573.0000000000 0.0100000000
296 -544.0000000000 0.0100000000
328 -514.0000000000 0.0100000000
332 -437.0000000000 0.0100000000
414 -359.0000000000 0.0100000000
433 -340.0000000000 0.0100000000
466 -291.0000000000 0.0100000000
506 -273.0000000000 0.0100000000
536 -272.0000000000 0.0100000000
593 -263.0000000000 0.0100000000
644 -244.0000000000 0.0100000000
798 -234.0000000000 0.0100000000
820 -225.0000000000 0.0100000000
949 -196.0000000000 0.0100000000
1098 -187.0000000000 0.0100000000
1151 -148.0000000000 0.0100000000
1247 -139.0000000000 0.0100000000
1324 -110.0000000000 0.0100000000
1407 -109.0000000000 0.0100000000
1444 -91.0000000000 0.0100000000
1491 -90.0000000000 0.0100000000
1533 -89.0000000000 0.0100000000
1675 -81.0000000000 0.0100000000
1720 -80.0000000000 0.0100000000
2120 -79.0000000000 0.0100000000
2260 -61.0000000000 0.0100000000
2271 -60.0000000000 0.0100000000
2296 -50.0000000000 0.0100000000
2355 -31.0000000000 0.0100000000
2389 -23.0000000000 0.0100000000
2443 -22.0000000000 0.0100000000
3003 -21.0000000000 0.0100000000
3032 -3.0000000000 0.0100000000
3059 -2.0000000000 0.0100000000
3637 7.0000000000 0.0100000000
5352 8.0000000000 0.0100000000
100000 8.0000000000 0.0100000000
evaluations raw_y evaporation_rate
1 -1352.0000000000 0.0100000000
5 -1069.0000000000 0.0100000000
34 -1040.0000000000 0.0100000000
46 -796.0000000000 0.0100000000
100 -720.0000000000 0.0100000000
107 -709.0000000000 0.0100000000
127 -699.0000000000 0.0100000000
135 -621.0000000000 0.0100000000
172 -563.0000000000 0.0100000000
229 -534.0000000000 0.0100000000
249 -428.0000000000 0.0100000000
276 -427.0000000000 0.0100000000
293 -408.0000000000 0.0100000000
300 -388.0000000000 0.0100000000
328 -339.0000000000 0.0100000000
352 -311.0000000000 0.0100000000
386 -301.0000000000 0.0100000000
407 -272.0000000000 0.0100000000
466 -252.0000000000 0.0100000000
475 -234.0000000000 0.0100000000
525 -205.0000000000 0.0100000000
545 -186.0000000000 0.0100000000
554 -176.0000000000 0.0100000000
557 -156.0000000000 0.0100000000
635 -147.0000000000 0.0100000000
707 -128.0000000000 0.0100000000
756 -109.0000000000 0.0100000000
834 -99.0000000000 0.0100000000
846 -80.0000000000 0.0100000000
1091 -71.0000000000 0.0100000000
1132 -52.0000000000 0.0100000000
