evaluations raw_y evaporation_rate
1 46.0000000000 0.1000000000
2 47.0000000000 0.1000000000
5 52.0000000000 0.1000000000
9 55.0000000000 0.1000000000
11 57.0000000000 0.1000000000
20 60.0000000000 0.1000000000
24 63.0000000000 0.1000000000
39 64.0000000000 0.1000000000
62 65.0000000000 0.1000000000
80 66.0000000000 0.1000000000
154 67.0000000000 0.1000000000
202 68.0000000000 0.1000000000
238 69.0000000000 0.1000000000
296 70.0000000000 0.1000000000
395 71.0000000000 0.1000000000
491 72.0000000000 0.1000000000
537 73.0000000000 0.1000000000
570 74.0000000000 0.1000000000
642 75.0000000000 0.1000000000
643 76.0000000000 0.1000000000
853 77.0000000000 0.1000000000
921 78.0000000000 0.1000000000
934 79.0000000000 0.1000000000
1083 80.0000000000 0.1000000000
1418 81.0000000000 0.1000000000
1574 82.0000000000 0.1000000000
1625 83.0000000000 0.1000000000
1756 84.0000000000 0.1000000000
1902 85.0000000000 0.1000000000
1927 86.0000000000 0.1000000000
1994 87.0000000000 0.1000000000
2047 88.0000000000 0.1000000000
2216 89.0000000000 0.1000000000
2337 90.0000000000 0.1000000000
2550 91.0000000000 0.1000000000
2772 92.0000000000 0.1000000000
3264 93.0000000000 0.1000000000
3549 94.0000000000 0.1000000000
4134 95.0000000000 0.1000000000
4372 96.0000000000 0.1000000000
4556 97.0000000000 0.1000000000
5246 98.0000000000 0.1000000000
6955 99.0000000000 0.1000000000
10804 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 53.0000000000 0.1000000000
17 57.0000000000 0.1000000000
28 58.0000000000 0.1000000000
31 62.0000000000 0.1000000000
37 63.0000000000 0.1000000000
51 64.0000000000 0.1000000000
72 65.0000000000 0.1000000000
89 66.0000000000 0.1000000000
100 67.0000000000 0.1000000000
161 68.0000000000 0.1000000000
191 69.0000000000 0.1000000000
218 70.0000000000 0.1000000000
227 71.0000000000 0.1000000000
266 72.0000000000 0.1000000000
402 73.0000000000 0.1000000000
429 74.0000000000 0.1000000000
451 75.0000000000 0.1000000000
527 76.0000000000 0.1000000000
545 77.0000000000 0.1000000000
563 78.0000000000 0.1000000000
600 79.0000000000 0.1000000000
651 80.0000000000 0.1000000000
673 81.0000000000 0.1000000000
712 82.0000000000 0.1000000000
939 83.0000000000 0.1000000000
1136 84.0000000000 0.1000000000
1143 85.0000000000 0.1000000000
1174 86.0000000000 0.1000000000
1194 87.0000000000 0.1000000000
1412 88.0000000000 0.1000000000
1431 89.0000000000 0.1000000000
1678 90.0000000000 0.1000000000
1767 91.0000000000 0.1000000000
1798 92.0000000000 0.1000000000
1833 93.0000000000 0.1000000000
2260 94.0000000000 0.1000000000
2471 95.0000000000 0.1000000000
2666 96.0000000000 0.1000000000
3072 97.0000000000 0.1000000000
4039 98.0000000000 0.1000000000
5365 99.0000000000 0.1000000000
9446 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 48.0000000000 0.1000000000
2 54.0000000000 0.1000000000
3 55.0000000000 0.1000000000
9 61.0000000000 0.1000000000
24 62.0000000000 0.1000000000
28 63.0000000000 0.1000000000
29 66.0000000000 0.1000000000
39 67.0000000000 0.1000000000
47 69.0000000000 0.1000000000
54 70.0000000000 0.1000000000
93 71.0000000000 0.1000000000
107 72.0000000000 0.1000000000
174 73.0000000000 0.1000000000
197 74.0000000000 0.1000000000
233 75.0000000000 0.1000000000
243 76.0000000000 0.1000000000
290 77.0000000000 0.1000000000
328 78.0000000000 0.1000000000
353 79.0000000000 0.1000000000
457 80.0000000000 0.1000000000
519 81.0000000000 0.1000000000
653 82.0000000000 0.1000000000
737 83.0000000000 0.1000000000
795 84.0000000000 0.1000000000
918 85.0000000000 0.1000000000
963 86.0000000000 0.1000000000
1062 87.0000000000 0.1000000000
1160 88.0000000000 0.1000000000
1283 89.0000000000 0.1000000000
1351 90.0000000000 0.1000000000
1390 91.0000000000 0.1000000000
1415 92.0000000000 0.1000000000
1524 93.0000000000 0.1000000000
1768 94.0000000000 0.1000000000
1838 95.0000000000 0.1000000000
1964 96.0000000000 0.1000000000
2041 97.0000000000 0.1000000000
2459 98.0000000000 0.1000000000
2654 99.0000000000 0.1000000000
3276 100.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 48.0000000000 0.1000000000
2 50.0000000000 0.1000000000
3 51.0000000000 0.1000000000
8 61.0000000000 0.1000000000
22 63.0000000000 0.1000000000
37 64.0000000000 0.1000000000
39 65.0000000000 0.1000000000
40 66.0000000000 0.1000000000
47 67.0000000000 0.1000000000
53 68.0000000000 0.1000000000
79 70.0000000000 0.1000000000
90 71.0000000000 0.1000000000
104 72.0000000000 0.1000000000
153 73.0000000000 0.1000000000
243 74.0000000000 0.1000000000
281 75.0000000000 0.1000000000
314 76.0000000000 0.1000000000
338 77.0000000000 0.1000000000
361 78.0000000000 0.1000000000
449 79.0000000000 0.1000000000
454 80.0000000000 0.1000000000
460 81.0000000000 0.1000000000
687 82.0000000000 0.1000000000
733 83.0000000000 0.1000000000
792 84.0000000000 0.1000000000
1054 85.0000000000 0.1000000000
1081 86.0000000000 0.1000000000
1110 87.0000000000 0.1000000000
1227 88.0000000000 0.1000000000
1352 89.0000000000 0.1000000000
1563 90.0000000000 0.1000000000
1730 91.0000000000 0.1000000000
1826 92.0000000000 0.1000000000
2028 93.0000000000 0.1000000000
