evaluations raw_y evaporation_rate
1 8.0000000000 0.1000000000
3 10.0000000000 0.1000000000
27 10.4000000000 0.1000000000
37 11.0000000000 0.1000000000
45 11.2000000000 0.1000000000
74 11.4000000000 0.1000000000
105 11.6000000000 0.1000000000
121 11.8000000000 0.1000000000
149 12.0000000000 0.1000000000
178 12.2000000000 0.1000000000
265 12.4000000000 0.1000000000
285 12.6000000000 0.1000000000
304 12.8000000000 0.1000000000
497 13.0000000000 0.1000000000
729 13.2000000000 0.1000000000
769 13.4000000000 0.1000000000
827 13.6000000000 0.1000000000
855 13.8000000000 0.1000000000
985 14.0000000000 0.1000000000
1033 14.2000000000 0.1000000000
1084 14.4000000000 0.1000000000
1174 14.6000000000 0.1000000000
1224 14.8000000000 0.1000000000
1481 15.0000000000 0.1000000000
1629 15.2000000000 0.1000000000
1745 15.4000000000 0.1000000000
1846 15.6000000000 0.1000000000
1973 15.8000000000 0.1000000000
2390 16.0000000000 0.1000000000
2729 16.2000000000 0.1000000000
3407 16.4000000000 0.1000000000
100000 16.4000000000 0.1000000000
evaluations raw_y evaporation_rate
1 5.4000000000 0.1000000000
2 6.0000000000 0.1000000000
4 6.2000000000 0.1000000000
5 6.6000000000 0.1000000000
6 7.0000000000 0.1000000000
9 7.6000000000 0.1000000000
12 9.4000000000 0.1000000000
31 10.6000000000 0.1000000000
42 10.8000000000 0.1000000000
99 11.0000000000 0.1000000000
147 11.2000000000 0.1000000000
158 11.4000000000 0.1000000000
403 11.6000000000 0.1000000000
459 11.8000000000 0.1000000000
523 12.8000000000 0.1000000000
537 13.0000000000 0.1000000000
660 13.2000000000 0.1000000000
732 13.4000000000 0.1000000000
755 13.6000000000 0.1000000000
798 14.0000000000 0.1000000000
897 14.2000000000 0.1000000000
932 14.4000000000 0.1000000000
1057 14.6000000000 0.1000000000
1131 14.8000000000 0.1000000000
1137 15.0000000000 0.1000000000
1151 15.2000000000 0.1000000000
1233 15.4000000000 0.1000000000
1400 15.6000000000 0.1000000000
1405 15.8000000000 0.1000000000
1496 16.0000000000 0.1000000000
1597 16.2000000000 0.1000000000
1790 16.4000000000 0.1000000000
1796 16.6000000000 0.1000000000
2868 16.8000000000 0.1000000000
2925 17.0000000000 0.1000000000
100000 17.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 8.8000000000 0.1000000000
9 9.0000000000 0.1000000000
14 9.2000000000 0.1000000000
17 9.6000000000 0.1000000000
24 10.0000000000 0.1000000000
39 10.4000000000 0.1000000000
50 10.6000000000 0.1000000000
60 10.8000000000 0.1000000000
64 11.0000000000 0.1000000000
102 11.2000000000 0.1000000000
113 11.4000000000 0.1000000000
150 11.6000000000 0.1000000000
268 11.8000000000 0.1000000000
334 12.0000000000 0.1000000000
346 12.2000000000 0.1000000000
426 12.4000000000 0.1000000000
484 12.6000000000 0.1000000000
537 12.8000000000 0.1000000000
604 13.0000000000 0.1000000000
649 13.2000000000 0.1000000000
695 13.4000000000 0.1000000000
723 13.6000000000 0.1000000000
842 13.8000000000 0.1000000000
874 14.0000000000 0.1000000000
890 14.2000000000 0.1000000000
976 14.4000000000 0.1000000000
1026 14.6000000000 0.1000000000
1127 14.8000000000 0.1000000000
1481 15.0000000000 0.1000000000
1689 15.2000000000 0.1000000000
1838 15.4000000000 0.1000000000
2063 15.6000000000 0.1000000000
2309 15.8000000000 0.1000000000
3253 16.0000000000 0.1000000000
3483 16.2000000000 0.1000000000
3959 16.4000000000 0.1000000000
100000 16.4000000000 0.1000000000
evaluations raw_y evaporation_rate
1 5.6000000000 0.1000000000
3 7.4000000000 0.1000000000
5 7.8000000000 0.1000000000
9 8.8000000000 0.1000000000
19 9.0000000000 0.1000000000
32 9.6000000000 0.1000000000
34 9.8000000000 0.1000000000
41 10.0000000000 0.1000000000
61 10.2000000000 0.1000000000
73 10.4000000000 0.1000000000
86 10.6000000000 0.1000000000
127 10.8000000000 0.1000000000
131 11.0000000000 0.1000000000
171 11.2000000000 0.1000000000
203 11.4000000000 0.1000000000
269 11.6000000000 0.1000000000
295 11.8000000000 0.1000000000
308 12.0000000000 0.1000000000
342 12.2000000000 0.1000000000
367 12.4000000000 0.1000000000
402 12.6000000000 0.1000000000
455 12.8000000000 0.1000000000
503 13.0000000000 0.1000000000
577 13.2000000000 0.1000000000
609 13.4000000000 0.1000000000
796 13.6000000000 0.1000000000
801 13.8000000000 0.1000000000
846 14.0000000000 0.1000000000
878 14.2000000000 0.1000000000
1027 14.4000000000 0.1000000000
1300 14.6000000000 0.1000000000
1355 14.8000000000 0.1000000000
1375 15.0000000000 0.1000000000
1503 15.2000000000 0.1000000000
1587 15.4000000000 0.1000000000
2270 15.6000000000 0.1000000000
2335 15.8000000000 0.1000000000
2374 16.0000000000 0.1000000000
2444 16.2000000000 0.1000000000
4738 16.4000000000 0.1000000000
100000 16.4000000000 0.1000000000
evaluations raw_y evaporation_rate
1 6.4000000000 0.1000000000
3 7.4000000000 0.1000000000
5 8.4000000000 0.1000000000
9 9.0000000000 0.1000000000
16 9.6000000000 0.1000000000
21 10.0000000000 0.1000000000
28 10.4000000000 0.1000000000
34 11.0000000000 0.1000000000
40 11.2000000000 0.1000000000
61 11.4000000000 0.1000000000
74 11.6000000000 0.1000000000
85 11.8000000000 0.1000000000
143 12.0000000000 0.1000000000
195 12.2000000000 0.1000000000
276 12.4000000000 0.1000000000
294 12.6000000000 0.1000000000
336 12.8000000000 0.1000000000
513 13.0000000000 0.1000000000
527 13.2000000000 0.1000000000
604 13.4000000000 0.1000000000
852 13.6000000000 0.1000000000
858 13.8000000000 0.1000000000
887 14.0000000000 0.1000000000
983 14.2000000000 0.1000000000
1052 14.4000000000 0.1000000000
1239 14.6000000000 0.1000000000
1310 14.8000000000 0.1000000000
1326 15.0000000000 0.1000000000
1414 15.2000000000 0.1000000000
1516 15.4000000000 0.1000000000
1740 15.6000000000 0.1000000000
2739 15.8000000000 0.1000000000
2795 16.0000000000 0.1000000000
3507 16.2000000000 0.1000000000
100000 16.2000000000 0.1000000000
evaluations raw_y evaporation_rate
1 5.4000000000 0.1000000000
2 8.0000000000 0.1000000000
4 8.6000000000 0.1000000000
6 9.4000000000 0.1000000000
28 9.6000000000 0.1000000000
35 10.0000000000 0.1000000000
61 11.0000000000 0.1000000000
148 11.2000000000 0.1000000000
149 11.4000000000 0.1000000000
179 11.6000000000 0.1000000000
226 11.8000000000 0.1000000000
341 12.0000000000 0.1000000000
373 12.2000000000 0.1000000000
410 12.4000000000 0.1000000000
428 12.6000000000 0.1000000000
576 12.8000000000 0.1000000000
641 13.0000000000 0.1000000000
671 13.2000000000 0.1000000000
794 13.4000000000 0.1000000000
991 13.6000000000 0.1000000000
1002 13.8000000000 0.1000000000
1123 14.2000000000 0.1000000000
1163 14.4000000000 0.1000000000
1260 14.6000000000 0.1000000000
1276 14.8000000000 0.1000000000
1554 15.0000000000 0.1000000000
1646 15.2000000000 0.1000000000
1690 15.4000000000 0.1000000000
2125 15.6000000000 0.1000000000
2989 15.8000000000 0.1000000000
3350 16.0000000000 0.1000000000
4454 16.2000000000 0.1000000000
4634 16.4000000000 0.1000000000
8145 16.6000000000 0.1000000000
100000 16.6000000000 0.1000000000
evaluations raw_y evaporation_rate
1 5.6000000000 0.1000000000
2 6.4000000000 0.1000000000
3 6.6000000000 0.1000000000
4 8.0000000000 0.1000000000
8 8.8000000000 0.1000000000
14 9.4000000000 0.1000000000
34 10.0000000000 0.1000000000
51 11.0000000000 0.1000000000
60 11.2000000000 0.1000000000
104 12.2000000000 0.1000000000
321 12.4000000000 0.1000000000
366 12.6000000000 0.1000000000
573 12.8000000000 0.1000000000
586 13.0000000000 0.1000000000
659 13.2000000000 0.1000000000
833 13.4000000000 0.1000000000
878 13.6000000000 0.1000000000
920 13.8000000000 0.1000000000
973 14.0000000000 0.1000000000
1067 14.2000000000 0.1000000000
1175 14.4000000000 0.1000000000
1186 14.6000000000 0.1000000000
1201 14.8000000000 0.1000000000
1424 15.0000000000 0.1000000000
1441 15.2000000000 0.1000000000
1501 15.4000000000 0.1000000000
1585 15.6000000000 0.1000000000
1691 15.8000000000 0.1000000000
1709 16.0000000000 0.1000000000
2066 16.2000000000 0.1000000000
2308 16.4000000000 0.1000000000
9861 16.6000000000 0.1000000000
100000 16.6000000000 0.1000000000
evaluations raw_y evaporation_rate
1 7.6000000000 0.1000000000
4 8.0000000000 0.1000000000
13 8.2000000000 0.1000000000
24 8.4000000000 0.1000000000
25 9.6000000000 0.1000000000
31 9.8000000000 0.1000000000
33 10.2000000000 0.1000000000
