evaluations raw_y
1 0.7438262422
2 0.7766387077
4 0.8264462810
5 1.0117361392
6 1.0499790004
8 1.1452130096
34 1.2165450122
36 1.2840267078
41 1.3027618551
43 1.3758943313
44 1.5105740181
50 1.5595757954
278 1.5974440895
289 1.6767270288
393 1.8839487566
394 1.9825535289
397 2.0441537204
7538 2.1132713440
12540 2.2182786158
18348 2.2583559169
100000 1.1709601874
evaluations raw_y
1 1.1106175033
13 1.1611704598
14 1.1978917106
16 1.3304949441
201 1.7667844523
1057 1.8896447468
5606 1.9040365575
9568 1.9731649566
21184 2.0112630732
24609 2.0610057708
32444 2.0678246485
73491 2.1987686895
100000 1.3638843426
evaluations raw_y
1 1.5499070056
4 1.6118633140
158 1.6880486158
217 1.8024513338
1250 1.8982536067
2617 2.0112630732
8369 2.0145044319
11109 2.0177562550
14329 2.0712510356
20537 2.0850708924
20539 2.1026072330
43698 2.2542831380
58611 2.2747952684
100000 1.0715816545
evaluations raw_y
1 1.2059816691
2 1.2973533991
3 1.5253203173
141 1.6567263088
146 1.6972165648
162 1.8129079043
164 1.8925056775
168 1.9731649566
2465 1.9794140934
2466 2.0746887967
12845 2.1240441801
13259 2.1607605877
13815 2.1758050479
13816 2.2104332449
81616 2.4061597690
100000 1.8698578908
evaluations raw_y
1 1.2569130216
79 1.2827090816
89 1.4442518775
120 1.4731879788
121 1.5537600994
271 1.5893197711
852 1.6077170418
1245 1.6307893020
1327 1.6545334216
1411 1.6926201760
1548 1.7667844523
3016 1.7818959373
3700 1.8261504748
4816 1.8670649739
6748 1.9394879752
6753 1.9455252918
9930 1.9762845850
9937 2.0308692120
13484 2.0576131687
19861 2.1385799829
19866 2.4485798237
100000 1.2813941568
evaluations raw_y
1 1.0561892691
3 1.1820330969
23 1.4005602241
31 1.5015015015
40 1.5595757954
324 1.5913430936
327 1.6350555919
328 1.7618040874
334 1.8368846436
1429 1.8754688672
4523 1.9186492709
6254 1.9215987702
8816 2.0542317173
8819 2.0644095789
30114 2.1026072330
30117 2.1570319241
53112 2.1645021645
72338 2.1910604733
100000 1.0386373079
evaluations raw_y
1 1.3927576602
38 1.4907573047
46 1.5033072760
52 1.5197568389
87 1.7470300489
479 1.8288222385
1297 1.9069412662
7110 1.9245573518
7119 2.0341741253
10729 2.0610057708
10735 2.2461814915
100000 0.9545628102
evaluations raw_y
1 1.0412328197
14 1.0570824524
16 1.1831519167
17 1.3390465988
30 1.4132278123
54 1.4293882218
498 1.5615240475
621 1.5954052329
622 1.6371971185
2274 1.6789791807
2329 1.6926201760
2971 1.8477457502
3644 1.8726591760
8007 1.8925056775
17163 1.9546520719
18902 2.0644095789
73414 2.2341376229
73415 2.4826216485
100000 0.8460236887
evaluations raw_y
1 1.2059816691
3 1.2118274358
5 1.3974287311
6 1.6202203500
270 1.7494751575
350 1.9305019305
2318 2.0746887967
2376 2.0955574183
32936 2.1204410517
52250 2.2143489814
52251 2.2421524664
60388 2.2624434389
100000 0.8242664029
evaluations raw_y
1 0.9678668215
5 1.0283833813
6 1.1286681716
7 1.3743815283
32 1.5556938395
49 1.5654351910
125 1.8208302986
2224 1.9546520719
3745 2.0341741253
5245 2.0678246485
5246 2.1834061135
92213 2.2182786158
100000 0.8364001338
