evaluations raw_y
1 45.0000000000
2 46.0000000000
4 48.0000000000
11 49.0000000000
12 51.0000000000
24 52.0000000000
31 53.0000000000
32 54.0000000000
33 55.0000000000
55 57.0000000000
60 58.0000000000
245 59.0000000000
274 60.0000000000
1826 61.0000000000
1827 63.0000000000
1838 64.0000000000
1853 65.0000000000
1977 66.0000000000
2001 68.0000000000
55167 69.0000000000
100000 51.0000000000
evaluations raw_y
1 53.0000000000
2 54.0000000000
3 55.0000000000
155 56.0000000000
156 57.0000000000
157 59.0000000000
160 60.0000000000
168 61.0000000000
169 62.0000000000
170 64.0000000000
171 67.0000000000
177 68.0000000000
178 69.0000000000
100000 38.0000000000
evaluations raw_y
1 56.0000000000
3 57.0000000000
6 58.0000000000
7 59.0000000000
157 60.0000000000
329 61.0000000000
330 62.0000000000
331 63.0000000000
1684 64.0000000000
1685 65.0000000000
9588 67.0000000000
24988 68.0000000000
24990 70.0000000000
100000 51.0000000000
evaluations raw_y
1 45.0000000000
4 46.0000000000
6 47.0000000000
11 49.0000000000
31 51.0000000000
53 52.0000000000
140 53.0000000000
148 54.0000000000
152 55.0000000000
154 56.0000000000
739 58.0000000000
760 61.0000000000
1210 62.0000000000
1211 63.0000000000
1212 64.0000000000
3800 65.0000000000
3801 66.0000000000
3804 69.0000000000
68404 70.0000000000
100000 46.0000000000
evaluations raw_y
1 52.0000000000
2 53.0000000000
3 54.0000000000
7 55.0000000000
32 56.0000000000
176 57.0000000000
421 58.0000000000
425 59.0000000000
436 60.0000000000
443 61.0000000000
454 64.0000000000
455 65.0000000000
15009 66.0000000000
15013 67.0000000000
15014 68.0000000000
22431 70.0000000000
100000 59.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
12 51.0000000000
13 53.0000000000
20 54.0000000000
51 55.0000000000
54 56.0000000000
57 57.0000000000
103 58.0000000000
105 59.0000000000
106 60.0000000000
158 61.0000000000
159 63.0000000000
2420 64.0000000000
2421 66.0000000000
2423 68.0000000000
63589 69.0000000000
63591 70.0000000000
100000 48.0000000000
evaluations raw_y
1 50.0000000000
5 51.0000000000
6 53.0000000000
8 54.0000000000
9 55.0000000000
19 56.0000000000
26 57.0000000000
28 58.0000000000
171 60.0000000000
172 61.0000000000
189 62.0000000000
194 63.0000000000
196 64.0000000000
197 65.0000000000
198 66.0000000000
199 67.0000000000
35132 68.0000000000
100000 62.0000000000
evaluations raw_y
1 61.0000000000
7 64.0000000000
10 65.0000000000
15 66.0000000000
16 67.0000000000
11843 68.0000000000
84069 69.0000000000
100000 44.0000000000
evaluations raw_y
1 38.0000000000
2 39.0000000000
3 40.0000000000
6 41.0000000000
13 42.0000000000
14 44.0000000000
15 45.0000000000
16 47.0000000000
18 49.0000000000
22 50.0000000000
26 51.0000000000
145 52.0000000000
147 53.0000000000
155 54.0000000000
164 56.0000000000
165 57.0000000000
335 58.0000000000
342 59.0000000000
349 60.0000000000
353 61.0000000000
1263 62.0000000000
1322 63.0000000000
1324 64.0000000000
1435 65.0000000000
1436 66.0000000000
1447 67.0000000000
1448 68.0000000000
1484 69.0000000000
100000 51.0000000000
evaluations raw_y
1 44.0000000000
2 45.0000000000
3 46.0000000000
9 47.0000000000
10 49.0000000000
12 50.0000000000
13 51.0000000000
22 52.0000000000
96 55.0000000000
134 56.0000000000
243 57.0000000000
251 58.0000000000
274 59.0000000000
315 60.0000000000
324 61.0000000000
329 62.0000000000
330 63.0000000000
336 64.0000000000
337 65.0000000000
347 66.0000000000
359 67.0000000000
16623 68.0000000000
94265 69.0000000000
100000 49.0000000000
