evaluations raw_y
1 -1371.0000000000
2 -1342.0000000000
4 -1303.0000000000
14 -1293.0000000000
54 -1264.0000000000
55 -1225.0000000000
57 -1196.0000000000
172 -1137.0000000000
212 -1108.0000000000
218 -1069.0000000000
219 -1030.0000000000
222 -991.0000000000
223 -962.0000000000
225 -923.0000000000
235 -904.0000000000
246 -894.0000000000
7312 -875.0000000000
7313 -836.0000000000
7314 -826.0000000000
7315 -787.0000000000
17425 -719.0000000000
17464 -689.0000000000
17466 -679.0000000000
42622 -661.0000000000
100000 -1449.0000000000
evaluations raw_y
1 -1273.0000000000
3 -1234.0000000000
5 -1224.0000000000
38 -1195.0000000000
39 -1156.0000000000
41 -1078.0000000000
43 -1039.0000000000
47 -1010.0000000000
51 -1000.0000000000
55 -942.0000000000
2547 -914.0000000000
2550 -836.0000000000
2551 -826.0000000000
17732 -806.0000000000
17733 -777.0000000000
17736 -738.0000000000
100000 -1586.0000000000
evaluations raw_y
1 -1205.0000000000
3 -1137.0000000000
325 -1078.0000000000
332 -1059.0000000000
333 -1020.0000000000
1313 -991.0000000000
1314 -952.0000000000
3168 -903.0000000000
4114 -826.0000000000
4116 -777.0000000000
62751 -758.0000000000
62752 -719.0000000000
100000 -1819.0000000000
evaluations raw_y
1 -1342.0000000000
3 -1303.0000000000
6 -1264.0000000000
10 -1235.0000000000
11 -1196.0000000000
68 -1128.0000000000
678 -1108.0000000000
680 -1069.0000000000
683 -1030.0000000000
686 -991.0000000000
687 -962.0000000000
700 -904.0000000000
4385 -885.0000000000
7789 -874.0000000000
7801 -855.0000000000
7806 -777.0000000000
10466 -747.0000000000
10467 -718.0000000000
10469 -621.0000000000
100000 -1498.0000000000
evaluations raw_y
1 -1176.0000000000
626 -1147.0000000000
654 -1137.0000000000
908 -1098.0000000000
911 -1069.0000000000
912 -1030.0000000000
916 -981.0000000000
917 -864.0000000000
1324 -835.0000000000
1327 -796.0000000000
1344 -777.0000000000
1346 -748.0000000000
65200 -738.0000000000
65206 -709.0000000000
96723 -641.0000000000
96724 -573.0000000000
100000 -1390.0000000000
evaluations raw_y
1 -1469.0000000000
2 -1430.0000000000
4 -1352.0000000000
7 -1313.0000000000
11 -1303.0000000000
20 -1264.0000000000
22 -1225.0000000000
23 -1186.0000000000
35 -1147.0000000000
37 -1137.0000000000
38 -1108.0000000000
48 -1088.0000000000
54 -1059.0000000000
55 -1030.0000000000
112 -991.0000000000
113 -952.0000000000
116 -942.0000000000
122 -913.0000000000
3646 -875.0000000000
3648 -865.0000000000
8736 -845.0000000000
8738 -816.0000000000
8751 -796.0000000000
8752 -757.0000000000
8760 -738.0000000000
8764 -719.0000000000
8765 -709.0000000000
8767 -680.0000000000
100000 -1361.0000000000
evaluations raw_y
1 -1215.0000000000
2 -1176.0000000000
4 -1137.0000000000
283 -1128.0000000000
287 -1050.0000000000
288 -904.0000000000
289 -875.0000000000
291 -836.0000000000
8313 -806.0000000000
8314 -777.0000000000
8321 -738.0000000000
100000 -1536.0000000000
evaluations raw_y
1 -1702.0000000000
20 -1624.0000000000
27 -1614.0000000000
30 -1575.0000000000
51 -1507.0000000000
52 -1468.0000000000
62 -1429.0000000000
112 -1420.0000000000
113 -1381.0000000000
114 -1352.0000000000
123 -1313.0000000000
133 -1303.0000000000
145 -1167.0000000000
146 -1157.0000000000
152 -1118.0000000000
153 -1060.0000000000
439 -1040.0000000000
440 -1001.0000000000
4636 -962.0000000000
4640 -923.0000000000
4666 -895.0000000000
5629 -894.0000000000
5665 -865.0000000000
10274 -845.0000000000
28642 -816.0000000000
29274 -777.0000000000
31328 -728.0000000000
31384 -699.0000000000
31392 -690.0000000000
100000 -1293.0000000000
evaluations raw_y
1 -1118.0000000000
2 -1011.0000000000
22 -1001.0000000000
25 -962.0000000000
57 -933.0000000000
61 -904.0000000000
390 -884.0000000000
2577 -865.0000000000
2580 -846.0000000000
2581 -807.0000000000
3318 -797.0000000000
3328 -768.0000000000
34107 -767.0000000000
100000 -1205.0000000000
evaluations raw_y
1 -1274.0000000000
464 -1263.0000000000
472 -1234.0000000000
474 -1195.0000000000
475 -1127.0000000000
476 -1088.0000000000
478 -1059.0000000000
479 -1020.0000000000
1246 -972.0000000000
1381 -924.0000000000
1382 -885.0000000000
1385 -875.0000000000
1394 -855.0000000000
1426 -825.0000000000
1759 -787.0000000000
1764 -768.0000000000
1773 -758.0000000000
1783 -729.0000000000
100000 -1644.0000000000
