evaluations raw_y
1 8.0000000000
13 8.4000000000
15 8.6000000000
320 8.8000000000
322 9.0000000000
323 9.4000000000
1338 9.6000000000
2649 9.8000000000
2651 10.0000000000
3257 10.2000000000
13310 11.0000000000
13313 11.2000000000
64665 11.6000000000
100000 6.6000000000
evaluations raw_y
1 8.0000000000
8 8.4000000000
135 8.8000000000
136 9.0000000000
1246 9.2000000000
1723 9.4000000000
1898 9.6000000000
1900 9.8000000000
1902 10.0000000000
5790 10.2000000000
34608 10.6000000000
37699 10.8000000000
37703 11.0000000000
100000 7.2000000000
evaluations raw_y
1 7.4000000000
15 8.0000000000
34 8.6000000000
35 8.8000000000
37 9.0000000000
38 9.2000000000
43 10.0000000000
5119 10.4000000000
5120 10.6000000000
10726 10.8000000000
16841 11.2000000000
100000 6.8000000000
evaluations raw_y
1 9.2000000000
97 10.2000000000
22469 10.4000000000
22472 10.6000000000
22473 11.6000000000
100000 6.6000000000
evaluations raw_y
1 6.4000000000
5 6.6000000000
6 7.0000000000
17 7.4000000000
20 7.6000000000
49 8.2000000000
51 8.4000000000
54 8.6000000000
72 9.4000000000
737 9.6000000000
4505 10.0000000000
16832 10.6000000000
24296 10.8000000000
82963 11.2000000000
100000 6.8000000000
evaluations raw_y
1 7.2000000000
4 7.4000000000
7 7.6000000000
9 8.8000000000
13 9.0000000000
14 9.2000000000
25 9.4000000000
26 9.6000000000
2116 9.8000000000
2118 10.0000000000
6987 10.2000000000
6990 10.4000000000
9518 10.6000000000
9522 10.8000000000
42693 11.4000000000
100000 7.2000000000
evaluations raw_y
1 5.8000000000
2 6.2000000000
9 6.6000000000
15 7.0000000000
25 7.2000000000
29 7.4000000000
42 7.6000000000
43 7.8000000000
104 8.0000000000
114 8.2000000000
165 8.6000000000
169 8.8000000000
182 9.0000000000
188 9.6000000000
199 9.8000000000
266 10.0000000000
9619 10.4000000000
12213 10.8000000000
38839 11.0000000000
38841 11.2000000000
70905 11.4000000000
100000 7.0000000000
evaluations raw_y
1 6.8000000000
28 7.6000000000
60 8.2000000000
138 8.4000000000
202 9.0000000000
467 9.2000000000
757 9.6000000000
758 9.8000000000
759 10.0000000000
1597 10.2000000000
3348 10.6000000000
14882 10.8000000000
39878 11.0000000000
46172 11.2000000000
46173 11.4000000000
100000 8.6000000000
evaluations raw_y
1 8.4000000000
416 9.0000000000
519 9.2000000000
906 9.4000000000
907 9.8000000000
908 10.0000000000
6465 10.2000000000
24447 10.4000000000
27349 10.8000000000
27351 11.0000000000
69359 11.2000000000
100000 8.0000000000
evaluations raw_y
1 7.2000000000
28 7.4000000000
71 7.8000000000
72 8.8000000000
116 9.2000000000
179 9.4000000000
184 9.8000000000
2785 10.0000000000
2788 10.2000000000
2793 10.4000000000
33645 11.2000000000
100000 5.6000000000
