evaluations raw_y
1 -0.5254282180
3 -0.5234891321
18 -0.5202961331
19 -0.5096819170
79 -0.5092694781
80 -0.4951919852
81 -0.4922179515
92 -0.4827605555
95 -0.4788077414
103 -0.4688268186
298 -0.4670779896
299 -0.4610368723
300 -0.4571582428
546 -0.4551408760
1405 -0.4550370342
1407 -0.4484023610
1809 -0.4481299865
1811 -0.4458060571
5681 -0.4436849280
7940 -0.4429952666
7941 -0.4380745049
7944 -0.4340408932
15218 -0.4287983567
44735 -0.4281996916
44744 -0.4280635152
55182 -0.4154141099
61203 -0.4103627283
100000 -0.4986424373
evaluations raw_y
1 -0.5153439081
8 -0.5111010531
9 -0.5071002378
16 -0.4947670216
26 -0.4909898208
31 -0.4900721713
33 -0.4870397414
229 -0.4859665452
233 -0.4758186039
234 -0.4684162321
239 -0.4654232504
269 -0.4651791756
270 -0.4540333867
272 -0.4441058332
935 -0.4356823162
936 -0.4344417826
938 -0.4339616626
940 -0.4308454117
3637 -0.4296376305
5279 -0.4284103128
5281 -0.4269105310
9937 -0.4246960705
9938 -0.4223357403
9939 -0.4165336737
9942 -0.4161234408
46690 -0.4123007699
46691 -0.4120108316
100000 -0.5378496099
evaluations raw_y
1 -0.5262298398
4 -0.5179048494
10 -0.5139074851
17 -0.5105819766
20 -0.5079156933
21 -0.5075010479
23 -0.5060159710
24 -0.4960976725
80 -0.4903270526
115 -0.4858579813
116 -0.4784853402
121 -0.4782289905
124 -0.4702610922
126 -0.4652057917
718 -0.4640024775
719 -0.4618799450
731 -0.4522937114
2278 -0.4515453103
2279 -0.4480477719
2280 -0.4453936419
2285 -0.4374829192
2286 -0.4299619455
2345 -0.4296778014
2346 -0.4277213380
2347 -0.4267172057
2348 -0.4235660788
2950 -0.4204832564
37396 -0.4114240190
100000 -0.5060155283
evaluations raw_y
1 -0.5024390647
3 -0.4974410243
14 -0.4961558459
16 -0.4914060871
17 -0.4816856503
20 -0.4706147052
21 -0.4680655188
58 -0.4588454805
64 -0.4538622485
65 -0.4527198279
66 -0.4453428105
68 -0.4419155259
69 -0.4406547299
99 -0.4392436656
5167 -0.4366428787
9276 -0.4360016134
9278 -0.4311455085
9324 -0.4292284320
9326 -0.4277674478
36740 -0.4270292804
36741 -0.4231656726
36742 -0.4182648365
36743 -0.4116195112
36744 -0.4103789776
100000 -0.5173046337
evaluations raw_y
1 -0.5161715558
3 -0.5159995754
5 -0.5079770288
9 -0.5006793041
13 -0.4977003752
16 -0.4954488024
18 -0.4950923515
19 -0.4930293185
29 -0.4891724773
54 -0.4841066334
55 -0.4759260377
58 -0.4685533966
64 -0.4671817292
614 -0.4648010252
617 -0.4543123431
619 -0.4485947058
625 -0.4401058493
2150 -0.4332276448
2158 -0.4326634568
2161 -0.4303557063
2163 -0.4269154171
2164 -0.4248026662
2168 -0.4247734355
2176 -0.4046084274
100000 -0.4951040371
evaluations raw_y
1 -0.4612766510
7 -0.4532447642
59 -0.4489818213
60 -0.4459888396
61 -0.4429312996
1669 -0.4401652286
1714 -0.4361988387
1715 -0.4354787045
2099 -0.4329291608
2103 -0.4303606727
9345 -0.4269859014
9346 -0.4222479342
9350 -0.4192080559
19044 -0.4160092206
19045 -0.4153131698
19046 -0.4133438286
19047 -0.4037064099
19060 -0.4002113274
100000 -0.5478631060
evaluations raw_y
1 -0.4977101947
78 -0.4965254536
129 -0.4943049050
130 -0.4908646158
266 -0.4868523049
393 -0.4856504000
394 -0.4817776310
402 -0.4799143242
405 -0.4786398055
407 -0.4646499729
410 -0.4631475087
421 -0.4544183569
424 -0.4524704825
979 -0.4524328495
980 -0.4499240667
1008 -0.4494291237
2541 -0.4408630431
3203 -0.4394494775
9647 -0.4343862918
11438 -0.4342503687
11441 -0.4272471201
28700 -0.4239452199
28707 -0.4220452203
28708 -0.4182811274
60806 -0.4180905202
100000 -0.4749516040
evaluations raw_y
1 -0.5131772437
3 -0.4988362763
4 -0.4905396270
25 -0.4858337061
34 -0.4821606197
35 -0.4662680154
36 -0.4554227064
38 -0.4521724855
48 -0.4511410702
49 -0.4465105881
1077 -0.4443505033
13900 -0.4365825062
19589 -0.4328003508
19590 -0.4327170209
20930 -0.4303516974
37303 -0.4251678109
57215 -0.4243267126
62752 -0.4217616342
100000 -0.5169258324
evaluations raw_y
1 -0.4937889222
71 -0.4913838774
74 -0.4880787710
75 -0.4802126197
250 -0.4716188023
259 -0.4619540222
260 -0.4503327421
261 -0.4497212585
1198 -0.4495491224
1498 -0.4456870340
2628 -0.4452786340
2629 -0.4419236980
9236 -0.4417724086
11814 -0.4395805030
11815 -0.4340364881
53789 -0.4336340361
76459 -0.4331077945
76460 -0.4283877064
91321 -0.4276117372
91323 -0.4236209842
91327 -0.4181488022
100000 -0.4931933797
evaluations raw_y
1 -0.4854401343
6 -0.4798948051
7 -0.4779930709
153 -0.4754304152
858 -0.4682229268
860 -0.4674119158
877 -0.4640525720
1924 -0.4632659396
1927 -0.4518631041
1934 -0.4501769020
3203 -0.4366025843
6285 -0.4341054121
15135 -0.4297677651
31200 -0.4249944610
64564 -0.4209794665
64565 -0.4105297284
100000 -0.5074697449
