evaluations raw_y
1 0.0000000000
24 7.0000000000
25 9.0000000000
3167 10.0000000000
3175 12.0000000000
86138 13.0000000000
100000 0.0000000000
evaluations raw_y
1 3.0000000000
496 6.0000000000
670 7.0000000000
4603 10.0000000000
15500 12.0000000000
15541 15.0000000000
100000 1.0000000000
evaluations raw_y
1 3.0000000000
76 4.0000000000
811 5.0000000000
1560 6.0000000000
2277 8.0000000000
2638 11.0000000000
2642 17.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
185 1.0000000000
434 3.0000000000
482 7.0000000000
497 8.0000000000
498 9.0000000000
52903 10.0000000000
68034 11.0000000000
100000 2.0000000000
evaluations raw_y
1 0.0000000000
17 1.0000000000
136 2.0000000000
243 4.0000000000
868 7.0000000000
1230 10.0000000000
5652 11.0000000000
5653 12.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
155 3.0000000000
405 5.0000000000
411 10.0000000000
452 11.0000000000
23222 12.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
1079 3.0000000000
1672 4.0000000000
4633 5.0000000000
7359 7.0000000000
13241 8.0000000000
16481 10.0000000000
22951 13.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
72 1.0000000000
99 5.0000000000
3795 7.0000000000
5021 9.0000000000
9681 10.0000000000
13498 11.0000000000
25022 12.0000000000
25027 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
108 1.0000000000
117 2.0000000000
305 5.0000000000
1181 6.0000000000
2571 7.0000000000
2598 13.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
61 1.0000000000
87 5.0000000000
680 6.0000000000
6384 7.0000000000
11513 9.0000000000
28432 11.0000000000
100000 0.0000000000
