evaluations raw_y
1 2687.0000000000
7 2730.0000000000
33 2795.0000000000
139 2869.0000000000
140 2939.0000000000
737 2952.0000000000
741 2957.0000000000
746 2966.0000000000
749 2976.0000000000
750 2978.0000000000
757 3010.0000000000
758 3078.0000000000
1473 3094.0000000000
1485 3122.0000000000
2005 3140.0000000000
2019 3143.0000000000
2762 3187.0000000000
2764 3284.0000000000
2766 3347.0000000000
2791 3382.0000000000
3146 3397.0000000000
3158 3459.0000000000
3163 3467.0000000000
3164 3532.0000000000
8016 3614.0000000000
100000 2677.0000000000
evaluations raw_y
1 2849.0000000000
3 2904.0000000000
17 2971.0000000000
690 2981.0000000000
700 3034.0000000000
709 3107.0000000000
716 3168.0000000000
1609 3200.0000000000
1610 3217.0000000000
1613 3284.0000000000
1698 3296.0000000000
1699 3336.0000000000
1703 3346.0000000000
1707 3405.0000000000
1717 3450.0000000000
1720 3475.0000000000
1722 3491.0000000000
1723 3516.0000000000
14928 3548.0000000000
14933 3560.0000000000
20470 3566.0000000000
20542 3601.0000000000
80343 3605.0000000000
97593 3669.0000000000
100000 2301.0000000000
evaluations raw_y
1 2638.0000000000
2 2652.0000000000
8 2676.0000000000
20 2685.0000000000
66 2705.0000000000
68 2741.0000000000
103 2776.0000000000
104 2817.0000000000
105 2831.0000000000
111 2845.0000000000
230 2913.0000000000
231 3027.0000000000
237 3061.0000000000
239 3147.0000000000
248 3228.0000000000
259 3233.0000000000
332 3262.0000000000
601 3282.0000000000
604 3403.0000000000
605 3446.0000000000
606 3538.0000000000
17750 3555.0000000000
26755 3617.0000000000
26756 3680.0000000000
100000 2378.0000000000
evaluations raw_y
1 2265.0000000000
3 2335.0000000000
6 2357.0000000000
9 2460.0000000000
15 2473.0000000000
17 2541.0000000000
33 2545.0000000000
35 2638.0000000000
48 2690.0000000000
55 2715.0000000000
57 2724.0000000000
58 2851.0000000000
62 2882.0000000000
63 2994.0000000000
116 3089.0000000000
118 3138.0000000000
131 3216.0000000000
137 3218.0000000000
1615 3273.0000000000
1621 3292.0000000000
6634 3345.0000000000
6638 3361.0000000000
6644 3461.0000000000
6646 3501.0000000000
69873 3521.0000000000
69874 3634.0000000000
69875 3738.0000000000
100000 2967.0000000000
evaluations raw_y
1 2702.0000000000
3 2764.0000000000
249 2767.0000000000
250 2781.0000000000
254 2819.0000000000
255 2861.0000000000
256 2905.0000000000
257 2999.0000000000
258 3017.0000000000
281 3034.0000000000
285 3165.0000000000
286 3171.0000000000
289 3215.0000000000
291 3234.0000000000
309 3270.0000000000
310 3347.0000000000
6545 3365.0000000000
16540 3367.0000000000
16542 3389.0000000000
16547 3421.0000000000
16554 3428.0000000000
18402 3435.0000000000
18414 3458.0000000000
18422 3500.0000000000
18429 3519.0000000000
18434 3546.0000000000
65548 3548.0000000000
65550 3557.0000000000
65563 3601.0000000000
65565 3603.0000000000
65569 3614.0000000000
100000 2722.0000000000
evaluations raw_y
1 1810.0000000000
2 1924.0000000000
6 1975.0000000000
7 2053.0000000000
8 2069.0000000000
9 2124.0000000000
11 2219.0000000000
13 2225.0000000000
19 2256.0000000000
40 2267.0000000000
42 2283.0000000000
43 2325.0000000000
46 2346.0000000000
49 2430.0000000000
52 2471.0000000000
112 2493.0000000000
136 2570.0000000000
137 2640.0000000000
163 2642.0000000000
164 2720.0000000000
174 2740.0000000000
175 2769.0000000000
179 2832.0000000000
180 2878.0000000000
184 2893.0000000000
270 2913.0000000000
273 2916.0000000000
329 2959.0000000000
490 2987.0000000000
497 3039.0000000000
622 3160.0000000000
625 3167.0000000000
1225 3214.0000000000
1228 3217.0000000000
2290 3336.0000000000
4032 3397.0000000000
4033 3402.0000000000
4034 3486.0000000000
4036 3496.0000000000
100000 2430.0000000000
evaluations raw_y
1 1965.0000000000
2 2038.0000000000
3 2055.0000000000
10 2062.0000000000
12 2160.0000000000
22 2245.0000000000
25 2278.0000000000
32 2369.0000000000
34 2391.0000000000
83 2538.0000000000
92 2555.0000000000
93 2572.0000000000
94 2623.0000000000
97 2697.0000000000
212 2709.0000000000
250 2710.0000000000
252 2839.0000000000
254 2894.0000000000
271 2943.0000000000
272 2965.0000000000
273 2998.0000000000
275 3186.0000000000
278 3227.0000000000
2829 3231.0000000000
2836 3240.0000000000
3040 3246.0000000000
6517 3289.0000000000
21280 3311.0000000000
21309 3394.0000000000
35684 3413.0000000000
35687 3418.0000000000
38463 3489.0000000000
61536 3549.0000000000
61537 3581.0000000000
100000 2082.0000000000
evaluations raw_y
1 1983.0000000000
30 2025.0000000000
32 2100.0000000000
34 2205.0000000000
36 2241.0000000000
39 2261.0000000000
44 2373.0000000000
46 2428.0000000000
48 2520.0000000000
50 2610.0000000000
52 2657.0000000000
53 2846.0000000000
337 2855.0000000000
340 2875.0000000000
464 2895.0000000000
571 2960.0000000000
704 2977.0000000000
717 2996.0000000000
718 3008.0000000000
719 3061.0000000000
734 3070.0000000000
736 3079.0000000000
1146 3144.0000000000
1147 3177.0000000000
2509 3184.0000000000
2510 3242.0000000000
2512 3252.0000000000
7264 3270.0000000000
7266 3299.0000000000
10489 3319.0000000000
10490 3388.0000000000
10495 3407.0000000000
10496 3478.0000000000
10497 3499.0000000000
10499 3551.0000000000
10500 3604.0000000000
10510 3675.0000000000
10515 3702.0000000000
100000 2694.0000000000
evaluations raw_y
1 3207.0000000000
2 3307.0000000000
7 3353.0000000000
8 3459.0000000000
2917 3473.0000000000
2926 3477.0000000000
4474 3479.0000000000
16646 3491.0000000000
16647 3602.0000000000
16648 3662.0000000000
80239 3701.0000000000
100000 2284.0000000000
evaluations raw_y
1 2654.0000000000
2 2747.0000000000
3 2751.0000000000
275 2811.0000000000
836 2874.0000000000
838 2887.0000000000
841 2935.0000000000
846 2953.0000000000
847 3041.0000000000
849 3113.0000000000
2051 3128.0000000000
2052 3160.0000000000
3477 3202.0000000000
3479 3298.0000000000
3480 3340.0000000000
14763 3366.0000000000
14766 3412.0000000000
22953 3494.0000000000
25435 3517.0000000000
45353 3554.0000000000
45355 3603.0000000000
86471 3636.0000000000
100000 2124.0000000000
