evaluations raw_y
1 1.0084711577
2 1.1786892975
10 1.2036591237
13 1.2709710219
15 1.3304949441
16 1.4068655037
32 1.5733165513
75 1.6414970453
76 1.6744809109
77 1.7041581459
959 1.7135023989
1197 1.7182130584
1203 1.7325017325
1206 1.8532246108
3400 1.9762845850
3481 2.0242914980
20001 2.0920502092
20002 2.1987686895
28969 2.3084025854
100000 0.8594018563
evaluations raw_y
1 0.9208103131
2 0.9255831174
5 0.9262689885
7 0.9373828271
8 1.0241704220
17 1.0508617066
19 1.0597710894
22 1.1590171535
23 1.1956001913
73 1.3000520021
75 1.3390465988
128 1.3462574044
129 1.3594344753
160 1.4359563469
161 1.4442518775
363 1.4714537964
570 1.5537600994
1126 1.7445917655
1491 1.8726591760
1492 1.9394879752
6213 1.9984012790
12816 2.0016012810
13991 2.0712510356
17374 2.0746887967
40800 2.1758050479
100000 0.9067827349
evaluations raw_y
1 1.1358473421
2 1.1753643630
3 1.1876484561
5 1.2594458438
6 1.3333333333
7 1.3376136972
8 1.4180374362
132 1.4714537964
133 1.5812776724
134 1.6035920462
594 1.6767270288
595 1.7158544955
604 1.7182130584
696 1.8024513338
1529 1.9638648861
1588 2.0576131687
1589 2.0815986678
1590 2.0920502092
24469 2.1987686895
33370 2.2502250225
100000 0.8098477486
evaluations raw_y
1 1.0579771477
5 1.1307100859
6 1.1441647597
8 1.1633317822
9 1.2025012025
10 1.2444001991
16 1.2619888945
17 1.3958682300
18 1.4164305949
249 1.4854426619
251 1.6286644951
1019 1.6329196604
1267 1.6414970453
1630 1.7445917655
1893 1.8395879323
1896 1.9577133908
2889 2.0177562550
6512 2.0955574183
33196 2.1168501270
45188 2.1459227468
45190 2.2222222222
66385 2.2421524664
100000 0.6873797086
evaluations raw_y
1 0.7394262053
7 0.7959248647
8 0.8719916289
9 0.9996001599
10 1.1494252874
11 1.2444001991
18 1.2658227848
28 1.2761613068
29 1.4526438117
30 1.5179113540
31 1.6265452180
32 1.6501650165
757 1.7253278123
1220 1.7421602787
1222 1.7818959373
1985 1.7844396859
2001 1.8422991894
3360 1.8839487566
3649 2.0610057708
16651 2.1607605877
75149 2.2065313327
100000 1.2787723785
evaluations raw_y
1 0.6996921355
2 0.7278020378
7 0.7761564731
8 0.8087997412
9 0.8220979941
10 0.8931761343
12 0.9087604507
20 0.9574875527
23 0.9948269001
28 1.1389521640
29 1.2345679012
30 1.2813941568
32 1.4409221902
78 1.4997000600
253 1.5234613041
458 1.6633399867
1439 1.7018379850
1450 1.9364833462
7867 2.0746887967
28193 2.0955574183
61491 2.1682567216
83690 2.1872265967
100000 0.7153075823
evaluations raw_y
1 0.9061254078
3 0.9560229446
4 1.0845986985
6 1.1420740064
7 1.2212994626
21 1.3333333333
147 1.3535462913
278 1.3579576317
279 1.4052838673
282 1.4731879788
283 1.4961101137
284 1.5309246785
684 1.5460729746
854 1.6926201760
881 1.7717930546
2373 1.8670649739
2374 1.8867924528
2822 1.9394879752
2823 2.1349274125
21067 2.1795989538
50862 2.3041474654
64005 2.3430178069
100000 0.9523809524
evaluations raw_y
1 1.3579576317
6 1.4409221902
7 1.5422578655
182 1.5673981191
397 1.5852885225
398 1.7373175817
713 1.7445917655
2113 1.7642907551
3426 1.8288222385
3900 1.9731649566
3907 2.0080321285
3908 2.0441537204
25491 2.1168501270
26340 2.1204410517
27613 2.3126734505
100000 0.9516558812
evaluations raw_y
1 0.7523322299
2 0.7713668621
3 0.8015389548
6 0.8220979941
22 0.8762705924
23 0.9487666034
24 1.0642826735
43 1.0706638116
44 1.1379153391
45 1.2456402591
46 1.2594458438
56 1.3206550449
82 1.4943215780
84 1.6015374760
95 1.7135023989
180 1.9157088123
6380 1.9825535289
8740 2.0080321285
11374 2.1026072330
26132 2.1385799829
26134 2.1459227468
34750 2.2624434389
100000 1.0808473843
evaluations raw_y
1 0.6311537491
2 0.6795324817
3 0.7969397514
8 0.8046346958
9 0.9437523594
10 1.0651896037
11 1.1399908801
15 1.3014055180
20 1.4212620807
21 1.5384615385
67 1.5933715743
1211 1.6139444803
1266 1.8559762435
2194 1.8839487566
4177 1.9394879752
6112 1.9425019425
6113 2.1097046414
6114 2.1349274125
48239 2.2956841139
48240 2.3342670401
100000 1.2456402591
