evaluations raw_y
1 48.0000000000
36 49.0000000000
39 50.0000000000
42 51.0000000000
43 52.0000000000
44 53.0000000000
473 54.0000000000
474 55.0000000000
623 56.0000000000
632 57.0000000000
633 58.0000000000
634 59.0000000000
1021 60.0000000000
1280 61.0000000000
1287 62.0000000000
2168 63.0000000000
2181 64.0000000000
2182 65.0000000000
2183 66.0000000000
2184 67.0000000000
2185 68.0000000000
2188 69.0000000000
2189 70.0000000000
53390 71.0000000000
100000 53.0000000000
evaluations raw_y
1 50.0000000000
4 51.0000000000
5 52.0000000000
14 53.0000000000
237 54.0000000000
238 55.0000000000
259 56.0000000000
260 57.0000000000
265 58.0000000000
266 59.0000000000
985 60.0000000000
986 61.0000000000
987 62.0000000000
990 63.0000000000
991 64.0000000000
1018 65.0000000000
1151 66.0000000000
1152 67.0000000000
68293 68.0000000000
100000 43.0000000000
evaluations raw_y
1 51.0000000000
30 52.0000000000
31 53.0000000000
32 54.0000000000
51 55.0000000000
66 56.0000000000
67 57.0000000000
224 58.0000000000
225 59.0000000000
326 60.0000000000
327 61.0000000000
2530 62.0000000000
2531 63.0000000000
2532 64.0000000000
2543 65.0000000000
3486 66.0000000000
3527 67.0000000000
27496 68.0000000000
100000 54.0000000000
evaluations raw_y
1 50.0000000000
2 51.0000000000
3 52.0000000000
8 53.0000000000
9 54.0000000000
10 55.0000000000
17 56.0000000000
34 57.0000000000
35 58.0000000000
36 59.0000000000
37 60.0000000000
254 61.0000000000
255 62.0000000000
256 63.0000000000
3625 64.0000000000
7136 65.0000000000
7151 66.0000000000
21218 67.0000000000
32369 68.0000000000
50148 69.0000000000
50151 70.0000000000
50152 71.0000000000
50153 72.0000000000
50154 73.0000000000
100000 53.0000000000
evaluations raw_y
1 51.0000000000
30 52.0000000000
31 53.0000000000
32 54.0000000000
51 55.0000000000
94 56.0000000000
95 57.0000000000
308 58.0000000000
751 59.0000000000
850 60.0000000000
935 61.0000000000
1676 62.0000000000
2657 63.0000000000
3724 64.0000000000
5629 65.0000000000
15422 66.0000000000
15423 67.0000000000
41506 68.0000000000
44175 69.0000000000
100000 54.0000000000
evaluations raw_y
1 50.0000000000
2 51.0000000000
3 52.0000000000
8 53.0000000000
9 54.0000000000
26 55.0000000000
27 56.0000000000
520 57.0000000000
545 58.0000000000
566 59.0000000000
1887 60.0000000000
1888 61.0000000000
4679 62.0000000000
4740 63.0000000000
4751 64.0000000000
7126 65.0000000000
7127 66.0000000000
7128 67.0000000000
7143 68.0000000000
7144 69.0000000000
7151 70.0000000000
100000 55.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
5 51.0000000000
6 52.0000000000
13 53.0000000000
14 54.0000000000
15 55.0000000000
22 56.0000000000
23 57.0000000000
50 58.0000000000
107 59.0000000000
108 60.0000000000
109 61.0000000000
110 62.0000000000
147 63.0000000000
150 64.0000000000
8885 65.0000000000
22378 66.0000000000
64995 67.0000000000
64998 68.0000000000
100000 52.0000000000
evaluations raw_y
1 50.0000000000
2 51.0000000000
137 52.0000000000
138 53.0000000000
141 54.0000000000
154 55.0000000000
161 56.0000000000
162 57.0000000000
163 58.0000000000
592 59.0000000000
593 60.0000000000
620 61.0000000000
791 62.0000000000
792 63.0000000000
1221 64.0000000000
1222 65.0000000000
1223 66.0000000000
14100 67.0000000000
62191 68.0000000000
62192 69.0000000000
62199 70.0000000000
100000 47.0000000000
evaluations raw_y
1 39.0000000000
2 40.0000000000
3 41.0000000000
4 42.0000000000
5 43.0000000000
6 44.0000000000
7 45.0000000000
8 46.0000000000
9 47.0000000000
10 48.0000000000
33 49.0000000000
34 50.0000000000
51 51.0000000000
52 52.0000000000
59 53.0000000000
62 54.0000000000
67 55.0000000000
68 56.0000000000
85 57.0000000000
88 58.0000000000
477 59.0000000000
702 60.0000000000
703 61.0000000000
704 62.0000000000
1667 63.0000000000
1672 64.0000000000
1689 65.0000000000
2856 66.0000000000
2857 67.0000000000
2864 68.0000000000
18797 69.0000000000
18798 70.0000000000
18805 71.0000000000
100000 56.0000000000
evaluations raw_y
1 50.0000000000
70 51.0000000000
101 52.0000000000
212 53.0000000000
557 54.0000000000
560 55.0000000000
561 56.0000000000
946 57.0000000000
947 58.0000000000
1048 59.0000000000
1581 60.0000000000
1812 61.0000000000
1815 62.0000000000
2978 63.0000000000
3427 64.0000000000
3460 65.0000000000
3859 66.0000000000
14744 67.0000000000
46511 68.0000000000
46512 69.0000000000
46513 70.0000000000
100000 57.0000000000
