evaluations raw_y
1 -1265.0000000000
2 -1226.0000000000
16 -1216.0000000000
17 -1177.0000000000
18 -1138.0000000000
1123 -1137.0000000000
1269 -1099.0000000000
1357 -1069.0000000000
1358 -1040.0000000000
2599 -1011.0000000000
2602 -982.0000000000
2603 -943.0000000000
2611 -933.0000000000
2614 -894.0000000000
3645 -883.0000000000
8170 -874.0000000000
8171 -835.0000000000
13936 -826.0000000000
13937 -787.0000000000
13942 -748.0000000000
100000 -1332.0000000000
evaluations raw_y
1 -1478.0000000000
124 -1469.0000000000
125 -1430.0000000000
126 -1391.0000000000
129 -1362.0000000000
130 -1323.0000000000
131 -1284.0000000000
132 -1245.0000000000
133 -1206.0000000000
269 -1186.0000000000
270 -1147.0000000000
762 -1127.0000000000
767 -1108.0000000000
768 -1069.0000000000
771 -1030.0000000000
772 -1001.0000000000
773 -962.0000000000
774 -933.0000000000
775 -894.0000000000
776 -855.0000000000
2720 -837.0000000000
2721 -798.0000000000
2722 -759.0000000000
2729 -758.0000000000
2730 -729.0000000000
44987 -728.0000000000
44988 -699.0000000000
44989 -670.0000000000
44990 -631.0000000000
51102 -621.0000000000
100000 -1537.0000000000
evaluations raw_y
1 -1225.0000000000
106 -1196.0000000000
147 -1167.0000000000
159 -1147.0000000000
160 -1108.0000000000
161 -1069.0000000000
162 -1030.0000000000
169 -991.0000000000
170 -962.0000000000
4641 -943.0000000000
4642 -914.0000000000
7262 -894.0000000000
7263 -855.0000000000
7264 -816.0000000000
7265 -777.0000000000
7266 -738.0000000000
47656 -728.0000000000
47657 -689.0000000000
47660 -670.0000000000
100000 -1556.0000000000
evaluations raw_y
1 -932.0000000000
2 -893.0000000000
3 -864.0000000000
4 -835.0000000000
5 -796.0000000000
6 -757.0000000000
7 -728.0000000000
25782 -719.0000000000
100000 -1625.0000000000
evaluations raw_y
1 -1741.0000000000
4 -1712.0000000000
5 -1673.0000000000
6 -1634.0000000000
10 -1624.0000000000
11 -1585.0000000000
12 -1546.0000000000
13 -1507.0000000000
21 -1497.0000000000
22 -1458.0000000000
23 -1419.0000000000
24 -1380.0000000000
31 -1341.0000000000
32 -1302.0000000000
39 -1263.0000000000
56 -1234.0000000000
57 -1195.0000000000
58 -1166.0000000000
59 -1127.0000000000
60 -1098.0000000000
391 -1059.0000000000
399 -1049.0000000000
400 -1020.0000000000
421 -1011.0000000000
422 -972.0000000000
423 -943.0000000000
425 -933.0000000000
429 -923.0000000000
430 -884.0000000000
433 -855.0000000000
6688 -836.0000000000
6689 -807.0000000000
6697 -797.0000000000
6698 -768.0000000000
6700 -758.0000000000
6701 -719.0000000000
94787 -709.0000000000
100000 -1234.0000000000
evaluations raw_y
1 -1926.0000000000
2 -1887.0000000000
21 -1858.0000000000
22 -1819.0000000000
25 -1780.0000000000
26 -1741.0000000000
35 -1712.0000000000
36 -1673.0000000000
37 -1644.0000000000
38 -1605.0000000000
39 -1566.0000000000
90 -1527.0000000000
104 -1517.0000000000
105 -1478.0000000000
106 -1439.0000000000
111 -1400.0000000000
112 -1361.0000000000
113 -1322.0000000000
114 -1283.0000000000
115 -1244.0000000000
230 -1225.0000000000
231 -1186.0000000000
232 -1147.0000000000
279 -1118.0000000000
282 -1079.0000000000
283 -1040.0000000000
356 -1021.0000000000
358 -1011.0000000000
359 -982.0000000000
360 -943.0000000000
588 -933.0000000000
613 -904.0000000000
614 -865.0000000000
619 -826.0000000000
624 -797.0000000000
627 -758.0000000000
628 -719.0000000000
21457 -690.0000000000
36689 -660.0000000000
36691 -650.0000000000
36694 -621.0000000000
100000 -1605.0000000000
evaluations raw_y
1 -1362.0000000000
5 -1352.0000000000
8 -1313.0000000000
9 -1274.0000000000
10 -1235.0000000000
13 -1196.0000000000
20 -1167.0000000000
21 -1128.0000000000
24 -1089.0000000000
25 -1050.0000000000
26 -1021.0000000000
27 -982.0000000000
29 -972.0000000000
30 -933.0000000000
31 -894.0000000000
32 -855.0000000000
1538 -817.0000000000
15357 -816.0000000000
24794 -797.0000000000
55668 -787.0000000000
86022 -767.0000000000
86023 -738.0000000000
94870 -729.0000000000
96707 -700.0000000000
96708 -661.0000000000
100000 -1439.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1449.0000000000
3 -1410.0000000000
5 -1400.0000000000
6 -1361.0000000000
11 -1332.0000000000
12 -1303.0000000000
160 -1293.0000000000
161 -1254.0000000000
162 -1215.0000000000
167 -1186.0000000000
487 -1166.0000000000
488 -1127.0000000000
575 -1098.0000000000
576 -1069.0000000000
577 -1050.0000000000
578 -1011.0000000000
579 -972.0000000000
1057 -962.0000000000
1614 -933.0000000000
1615 -894.0000000000
1616 -855.0000000000
5319 -836.0000000000
5320 -797.0000000000
5322 -787.0000000000
5323 -748.0000000000
5324 -709.0000000000
5327 -670.0000000000
100000 -1615.0000000000
evaluations raw_y
1 -1556.0000000000
4 -1517.0000000000
11 -1478.0000000000
12 -1439.0000000000
13 -1400.0000000000
14 -1361.0000000000
25 -1332.0000000000
26 -1293.0000000000
27 -1254.0000000000
50 -1215.0000000000
51 -1176.0000000000
84 -1137.0000000000
85 -1098.0000000000
86 -1059.0000000000
89 -1020.0000000000
90 -981.0000000000
91 -942.0000000000
2904 -923.0000000000
2907 -894.0000000000
4218 -865.0000000000
4233 -826.0000000000
23737 -806.0000000000
23740 -767.0000000000
23745 -728.0000000000
23759 -718.0000000000
23760 -679.0000000000
23763 -650.0000000000
100000 -1371.0000000000
evaluations raw_y
1 -1790.0000000000
6 -1751.0000000000
7 -1712.0000000000
8 -1683.0000000000
9 -1644.0000000000
10 -1605.0000000000
11 -1566.0000000000
12 -1527.0000000000
17 -1488.0000000000
18 -1449.0000000000
25 -1410.0000000000
41 -1400.0000000000
42 -1371.0000000000
43 -1332.0000000000
46 -1293.0000000000
47 -1264.0000000000
51 -1254.0000000000
54 -1215.0000000000
57 -1186.0000000000
58 -1147.0000000000
70 -1137.0000000000
77 -1098.0000000000
78 -1059.0000000000
79 -1020.0000000000
80 -981.0000000000
81 -952.0000000000
82 -913.0000000000
101 -904.0000000000
106 -865.0000000000
111 -846.0000000000
1329 -816.0000000000
14856 -797.0000000000
14857 -758.0000000000
14859 -748.0000000000
64998 -719.0000000000
100000 -1517.0000000000
