evaluations raw_y
1 6.6000000000
2 6.8000000000
3 7.0000000000
4 7.2000000000
7 8.2000000000
46 8.4000000000
73 8.6000000000
78 8.8000000000
81 9.0000000000
82 9.2000000000
231 9.4000000000
916 9.6000000000
921 9.8000000000
922 10.0000000000
10413 10.2000000000
30426 10.4000000000
30427 10.6000000000
30516 10.8000000000
45427 11.0000000000
45428 11.2000000000
100000 6.8000000000
evaluations raw_y
1 8.2000000000
2 8.4000000000
3 8.6000000000
4 8.8000000000
5 9.0000000000
6 9.2000000000
1305 9.4000000000
1310 9.6000000000
1311 9.8000000000
4419 10.2000000000
4420 10.4000000000
4423 10.6000000000
4424 10.8000000000
18595 11.0000000000
95656 11.2000000000
95667 11.4000000000
100000 6.0000000000
evaluations raw_y
1 8.6000000000
582 8.8000000000
589 9.0000000000
590 9.2000000000
995 9.4000000000
996 9.6000000000
1000 10.4000000000
1001 10.6000000000
1002 10.8000000000
1003 11.0000000000
1004 11.2000000000
1005 11.4000000000
1006 11.6000000000
1009 11.8000000000
100000 7.2000000000
evaluations raw_y
1 9.2000000000
2 9.4000000000
65 9.6000000000
66 9.8000000000
67 10.0000000000
5662 10.2000000000
5665 10.8000000000
11455 11.2000000000
11456 11.4000000000
100000 5.8000000000
evaluations raw_y
1 7.4000000000
79 7.8000000000
80 8.0000000000
81 8.2000000000
100 8.4000000000
129 8.6000000000
132 8.8000000000
137 9.0000000000
138 9.2000000000
2831 9.4000000000
2834 10.4000000000
5167 11.0000000000
41050 11.2000000000
41053 11.4000000000
100000 5.6000000000
evaluations raw_y
1 8.2000000000
2 8.4000000000
99 8.6000000000
104 8.8000000000
105 9.0000000000
106 9.2000000000
174 9.6000000000
175 9.8000000000
176 10.0000000000
1781 10.2000000000
1788 10.4000000000
12365 10.6000000000
12366 10.8000000000
12367 11.0000000000
12368 11.2000000000
39641 11.4000000000
83844 11.6000000000
83845 11.8000000000
100000 4.4000000000
evaluations raw_y
1 6.2000000000
2 6.4000000000
3 6.6000000000
4 6.8000000000
5 7.0000000000
10 7.2000000000
11 7.4000000000
30 7.6000000000
31 7.8000000000
32 8.0000000000
36 8.8000000000
175 9.0000000000
260 9.2000000000
261 9.4000000000
262 10.4000000000
7009 10.6000000000
7874 10.8000000000
13503 11.0000000000
40278 11.2000000000
100000 6.4000000000
evaluations raw_y
1 6.8000000000
4 7.0000000000
7 7.2000000000
10 7.4000000000
11 8.4000000000
410 8.6000000000
435 8.8000000000
446 9.0000000000
485 9.2000000000
1216 9.4000000000
1217 10.4000000000
4828 10.6000000000
29604 11.0000000000
29611 11.2000000000
29612 11.4000000000
100000 7.0000000000
evaluations raw_y
1 6.4000000000
23 7.2000000000
26 7.4000000000
65 7.6000000000
68 7.8000000000
87 8.0000000000
232 8.2000000000
233 8.4000000000
274 8.6000000000
275 8.8000000000
1294 9.0000000000
1301 9.2000000000
2387 10.0000000000
2388 10.2000000000
2389 10.4000000000
2390 10.6000000000
6373 10.8000000000
43842 11.0000000000
43843 11.2000000000
100000 7.0000000000
evaluations raw_y
1 8.6000000000
2 8.8000000000
7 9.0000000000
12 9.2000000000
13 9.4000000000
2379 9.8000000000
2382 10.4000000000
52023 10.6000000000
52024 10.8000000000
52027 11.0000000000
100000 8.4000000000
