evaluations raw_y
1 -0.4707846407
3 -0.4704632117
341 -0.4676299790
342 -0.4652658917
343 -0.4625759099
344 -0.4570305806
346 -0.4568126015
350 -0.4471454715
351 -0.4464789951
353 -0.4459098397
1205 -0.4434086196
1206 -0.4407680937
1207 -0.4338268803
12885 -0.4321475830
12887 -0.4320281712
16606 -0.4261862109
16607 -0.4213413563
16608 -0.4203323444
16609 -0.4139547011
16610 -0.4130267062
100000 -0.5279369163
evaluations raw_y
1 -0.5192878881
2 -0.5186296335
7 -0.5143097142
77 -0.5070305116
78 -0.5056721983
79 -0.5030059150
80 -0.5022648976
141 -0.5014878208
142 -0.4933883897
143 -0.4926473723
144 -0.4815015834
159 -0.4788570078
205 -0.4767825407
213 -0.4767346115
214 -0.4759565199
216 -0.4713303251
217 -0.4678900359
240 -0.4656914555
246 -0.4609982987
248 -0.4576950044
249 -0.4418331447
1021 -0.4399509520
1023 -0.4376805941
1028 -0.4363828379
1029 -0.4356611477
3704 -0.4345196845
3707 -0.4332325435
3708 -0.4330652162
5452 -0.4303369735
5454 -0.4296742861
5456 -0.4252341605
13093 -0.4235662442
13099 -0.4189013647
57837 -0.4138250158
57838 -0.4018474108
100000 -0.4626626195
evaluations raw_y
1 -0.4941582746
3 -0.4830878354
6 -0.4783465244
7 -0.4764386843
9 -0.4746662877
10 -0.4725437552
11 -0.4722121812
14 -0.4716107115
15 -0.4693527816
716 -0.4616445968
722 -0.4609526763
731 -0.4555110648
733 -0.4536834344
769 -0.4460629423
824 -0.4459027036
825 -0.4421371617
2697 -0.4351492404
2699 -0.4348121195
8202 -0.4263341014
8203 -0.4184964386
8205 -0.4106921870
8208 -0.4075005749
8209 -0.4074435121
100000 -0.4522628957
evaluations raw_y
1 -0.4886794305
58 -0.4851162288
86 -0.4811786416
249 -0.4788497896
250 -0.4765918597
532 -0.4742233210
533 -0.4679352688
535 -0.4625119137
537 -0.4618301633
547 -0.4578016740
549 -0.4538504288
550 -0.4481479446
583 -0.4438577730
584 -0.4438493879
587 -0.4417722404
589 -0.4407170208
593 -0.4382253249
594 -0.4341722438
12410 -0.4327530070
22517 -0.4307885756
22537 -0.4302728668
27361 -0.4289484161
95773 -0.4224350623
95774 -0.4157359174
95775 -0.4131867310
100000 -0.5093327790
evaluations raw_y
1 -0.5475109522
2 -0.5411354105
50 -0.5388393943
51 -0.5371284988
53 -0.5368180433
54 -0.5347550104
57 -0.5332551236
60 -0.5309395460
64 -0.5256121636
66 -0.5198854232
68 -0.5186258260
71 -0.5105118957
81 -0.5100492398
95 -0.5091983432
96 -0.5024733061
97 -0.4949523324
227 -0.4895228089
484 -0.4878350207
485 -0.4826766419
486 -0.4808525017
575 -0.4789152878
577 -0.4783373318
594 -0.4712829996
595 -0.4627689771
598 -0.4603205803
926 -0.4596859814
928 -0.4547141636
929 -0.4545072541
1131 -0.4459073857
1135 -0.4418689423
1136 -0.4400659899
9819 -0.4393502201
12103 -0.4387019242
12104 -0.4281280860
15369 -0.4270023723
39350 -0.4221651327
39353 -0.4220065198
39586 -0.4186860875
39587 -0.4183442584
39588 -0.4170834624
42405 -0.4152034758
97065 -0.4139290636
100000 -0.4806950919
evaluations raw_y
1 -0.5150178376
2 -0.5106961060
4 -0.5099410691
7 -0.5075219181
8 -0.5067290727
9 -0.5028330465
11 -0.5012384872
17 -0.4900113985
283 -0.4879176952
293 -0.4871904689
309 -0.4850878434
313 -0.4807133956
315 -0.4793203217
316 -0.4786538453
317 -0.4680576315
342 -0.4654123215
343 -0.4646342299
554 -0.4627885555
555 -0.4593257968
557 -0.4560540332
1473 -0.4505817341
1474 -0.4483238042
1475 -0.4460160538
1477 -0.4451818486
1478 -0.4356974919
7643 -0.4341021661
7653 -0.4305567346
7669 -0.4266814023
42129 -0.4236145540
42130 -0.4233484141
64564 -0.4221808496
73945 -0.4193230425
73954 -0.4192573843
73955 -0.4171943514
73956 -0.4110641490
73957 -0.4066989633
100000 -0.5445286322
evaluations raw_y
1 -0.4927063118
12 -0.4766160844
13 -0.4764781820
14 -0.4724251009
21 -0.4714921856
22 -0.4665389231
29 -0.4595320818
682 -0.4517283397
683 -0.4471021449
685 -0.4466744477
686 -0.4380472418
4645 -0.4320852520
4646 -0.4294537216
4654 -0.4292072326
18179 -0.4291261280
18180 -0.4250730469
18193 -0.4244669322
26012 -0.4209136427
26013 -0.4162529275
51530 -0.4159011641
51532 -0.4153994067
100000 -0.5358110637
evaluations raw_y
1 -0.4898495427
2 -0.4813355203
3 -0.4765239888
8 -0.4749895772
9 -0.4746477481
10 -0.4665483169
358 -0.4617851238
569 -0.4609881588
570 -0.4575478696
571 -0.4525366458
572 -0.4472277698
4101 -0.4469821444
4102 -0.4435418552
6046 -0.4423248818
6047 -0.4415230408
6052 -0.4392273575
6056 -0.4347875339
13470 -0.4340910815
13472 -0.4340408615
13473 -0.4266638441
17332 -0.4265335605
23694 -0.4260050445
36000 -0.4232474241
54003 -0.4210902556
77788 -0.4148210573
100000 -0.4711024937
evaluations raw_y
1 -0.4924312720
3 -0.4896084811
4 -0.4875454481
7 -0.4870314831
8 -0.4804248384
9 -0.4696683321
331 -0.4695438115
484 -0.4653040130
487 -0.4647906865
497 -0.4634110368
499 -0.4621595234
503 -0.4619253320
708 -0.4551413890
709 -0.4527810588
711 -0.4483969071
712 -0.4480907802
733 -0.4415673493
734 -0.4398564538
735 -0.4393763338
6885 -0.4384827973
14356 -0.4308863666
14359 -0.4298177267
22462 -0.4262129269
27715 -0.4234127364
27716 -0.4160357190
27717 -0.4092932245
100000 -0.5305138313
evaluations raw_y
1 -0.4615328748
2 -0.4596618555
757 -0.4585819382
758 -0.4562741877
759 -0.4516479930
760 -0.4498766140
761 -0.4486360803
788 -0.4474424352
790 -0.4464495547
791 -0.4439059444
797 -0.4375413968
798 -0.4326098982
799 -0.4272507025
800 -0.4113888428
100000 -0.5515632906
