evaluations raw_y
1 2489.0000000000
3 2542.0000000000
33 2562.0000000000
34 2566.0000000000
84 2571.0000000000
85 2581.0000000000
87 2623.0000000000
88 2714.0000000000
91 2722.0000000000
100 2795.0000000000
101 2813.0000000000
318 2847.0000000000
319 2885.0000000000
320 2913.0000000000
574 2939.0000000000
579 2992.0000000000
581 3031.0000000000
582 3098.0000000000
2207 3121.0000000000
2209 3127.0000000000
2249 3205.0000000000
4395 3251.0000000000
4396 3312.0000000000
4397 3349.0000000000
4816 3386.0000000000
4817 3394.0000000000
8654 3478.0000000000
37686 3500.0000000000
37687 3509.0000000000
48255 3522.0000000000
77024 3535.0000000000
99320 3545.0000000000
100000 2372.0000000000
evaluations raw_y
1 2303.0000000000
2 2353.0000000000
5 2377.0000000000
6 2387.0000000000
15 2392.0000000000
16 2433.0000000000
28 2517.0000000000
29 2589.0000000000
30 2644.0000000000
32 2675.0000000000
97 2694.0000000000
98 2710.0000000000
99 2743.0000000000
121 2789.0000000000
126 2829.0000000000
630 2839.0000000000
632 2846.0000000000
633 2860.0000000000
635 2865.0000000000
636 2914.0000000000
638 2922.0000000000
640 2940.0000000000
641 2993.0000000000
642 3016.0000000000
645 3078.0000000000
646 3177.0000000000
1750 3193.0000000000
3205 3194.0000000000
3210 3215.0000000000
3211 3283.0000000000
6119 3298.0000000000
6129 3332.0000000000
6130 3377.0000000000
6131 3413.0000000000
6132 3494.0000000000
6133 3550.0000000000
6134 3582.0000000000
6135 3611.0000000000
6136 3633.0000000000
6140 3641.0000000000
100000 2371.0000000000
evaluations raw_y
1 2601.0000000000
3 2648.0000000000
4 2694.0000000000
114 2701.0000000000
115 2743.0000000000
116 2771.0000000000
117 2783.0000000000
125 2807.0000000000
128 2826.0000000000
135 2865.0000000000
138 2881.0000000000
140 2955.0000000000
148 3045.0000000000
152 3128.0000000000
156 3152.0000000000
244 3159.0000000000
258 3189.0000000000
259 3190.0000000000
261 3222.0000000000
262 3297.0000000000
263 3301.0000000000
267 3380.0000000000
268 3474.0000000000
269 3482.0000000000
1322 3488.0000000000
1323 3538.0000000000
6806 3543.0000000000
15440 3605.0000000000
100000 2560.0000000000
evaluations raw_y
1 2634.0000000000
3 2657.0000000000
4 2730.0000000000
77 2743.0000000000
78 2772.0000000000
113 2810.0000000000
119 2863.0000000000
120 2889.0000000000
252 2922.0000000000
255 2983.0000000000
259 3009.0000000000
398 3085.0000000000
401 3165.0000000000
403 3168.0000000000
616 3191.0000000000
617 3211.0000000000
618 3214.0000000000
619 3233.0000000000
620 3251.0000000000
1548 3295.0000000000
1552 3301.0000000000
1553 3306.0000000000
4425 3324.0000000000
4427 3382.0000000000
13673 3417.0000000000
19676 3464.0000000000
19677 3484.0000000000
19678 3507.0000000000
19679 3577.0000000000
56883 3594.0000000000
56884 3678.0000000000
56886 3691.0000000000
56887 3783.0000000000
100000 2387.0000000000
evaluations raw_y
1 2285.0000000000
8 2303.0000000000
14 2334.0000000000
24 2377.0000000000
25 2446.0000000000
32 2481.0000000000
39 2524.0000000000
40 2590.0000000000
41 2646.0000000000
44 2654.0000000000
45 2745.0000000000
46 2825.0000000000
47 2912.0000000000
48 3008.0000000000
49 3080.0000000000
644 3152.0000000000
654 3175.0000000000
655 3267.0000000000
659 3292.0000000000
660 3338.0000000000
2657 3395.0000000000
2658 3417.0000000000
2659 3512.0000000000
2663 3573.0000000000
23535 3614.0000000000
100000 2936.0000000000
evaluations raw_y
1 2598.0000000000
59 2656.0000000000
66 2710.0000000000
67 2722.0000000000
69 2761.0000000000
269 2806.0000000000
270 2846.0000000000
273 2873.0000000000
275 2874.0000000000
276 2898.0000000000
432 2978.0000000000
435 3023.0000000000
436 3104.0000000000
437 3115.0000000000
446 3156.0000000000
447 3248.0000000000
448 3291.0000000000
451 3293.0000000000
452 3356.0000000000
4633 3393.0000000000
4639 3423.0000000000
4640 3459.0000000000
11377 3463.0000000000
11379 3498.0000000000
11383 3554.0000000000
11384 3566.0000000000
27421 3601.0000000000
100000 2859.0000000000
evaluations raw_y
1 2438.0000000000
2 2473.0000000000
8 2497.0000000000
11 2512.0000000000
12 2599.0000000000
13 2687.0000000000
14 2707.0000000000
15 2750.0000000000
17 2764.0000000000
18 2856.0000000000
19 2908.0000000000
21 2920.0000000000
22 3020.0000000000
75 3059.0000000000
76 3081.0000000000
83 3087.0000000000
87 3096.0000000000
94 3101.0000000000
96 3162.0000000000
98 3256.0000000000
99 3344.0000000000
100 3368.0000000000
102 3381.0000000000
103 3437.0000000000
19278 3441.0000000000
23331 3442.0000000000
23332 3505.0000000000
23333 3530.0000000000
23334 3614.0000000000
23350 3661.0000000000
23351 3738.0000000000
100000 2229.0000000000
evaluations raw_y
1 2210.0000000000
2 2309.0000000000
9 2319.0000000000
28 2329.0000000000
29 2376.0000000000
30 2387.0000000000
31 2438.0000000000
34 2503.0000000000
41 2507.0000000000
63 2519.0000000000
64 2602.0000000000
86 2632.0000000000
87 2659.0000000000
88 2734.0000000000
89 2801.0000000000
90 2867.0000000000
92 2898.0000000000
393 2928.0000000000
398 2961.0000000000
399 2965.0000000000
404 3000.0000000000
405 3011.0000000000
406 3012.0000000000
415 3034.0000000000
416 3067.0000000000
417 3076.0000000000
419 3115.0000000000
422 3141.0000000000
497 3144.0000000000
499 3173.0000000000
500 3177.0000000000
501 3209.0000000000
512 3255.0000000000
533 3308.0000000000
535 3336.0000000000
537 3392.0000000000
538 3463.0000000000
541 3493.0000000000
9593 3513.0000000000
21477 3528.0000000000
21478 3607.0000000000
21481 3670.0000000000
21489 3724.0000000000
100000 2693.0000000000
evaluations raw_y
1 2030.0000000000
2 2098.0000000000
5 2120.0000000000
6 2155.0000000000
26 2188.0000000000
27 2272.0000000000
28 2294.0000000000
29 2342.0000000000
32 2347.0000000000
34 2370.0000000000
35 2450.0000000000
36 2527.0000000000
38 2542.0000000000
39 2544.0000000000
43 2626.0000000000
45 2654.0000000000
46 2673.0000000000
108 2710.0000000000
389 2715.0000000000
390 2773.0000000000
967 2795.0000000000
1002 2816.0000000000
1003 2886.0000000000
1010 2925.0000000000
1015 2988.0000000000
1166 2990.0000000000
1167 3061.0000000000
1168 3083.0000000000
1169 3160.0000000000
1179 3163.0000000000
1181 3235.0000000000
1585 3242.0000000000
1586 3277.0000000000
1591 3321.0000000000
1592 3333.0000000000
1594 3335.0000000000
1595 3349.0000000000
7793 3375.0000000000
8507 3377.0000000000
8512 3414.0000000000
8514 3440.0000000000
8516 3511.0000000000
8517 3598.0000000000
8522 3621.0000000000
8525 3631.0000000000
78206 3668.0000000000
78207 3699.0000000000
100000 1892.0000000000
evaluations raw_y
1 1996.0000000000
2 2095.0000000000
3 2188.0000000000
4 2232.0000000000
5 2239.0000000000
6 2310.0000000000
8 2327.0000000000
10 2349.0000000000
13 2376.0000000000
29 2427.0000000000
30 2429.0000000000
38 2462.0000000000
39 2545.0000000000
40 2612.0000000000
41 2628.0000000000
57 2637.0000000000
69 2678.0000000000
74 2696.0000000000
97 2753.0000000000
113 2755.0000000000
117 2824.0000000000
118 2922.0000000000
125 2938.0000000000
422 2991.0000000000
423 3088.0000000000
425 3132.0000000000
426 3171.0000000000
430 3174.0000000000
2210 3201.0000000000
2211 3211.0000000000
2212 3249.0000000000
2670 3328.0000000000
2671 3377.0000000000
2678 3394.0000000000
2680 3417.0000000000
2681 3441.0000000000
2682 3449.0000000000
2683 3527.0000000000
2688 3573.0000000000
2691 3643.0000000000
50477 3667.0000000000
50493 3689.0000000000
50494 3710.0000000000
100000 2783.0000000000
