evaluations raw_y
1 1.0642826735
2 1.1195700851
6 1.5142337977
44 1.6633399867
54 1.7667844523
124 1.7793594306
134 1.8155410312
836 1.8234865062
930 1.8341892883
1080 1.8615040953
1500 2.0374898126
3291 2.1459227468
49298 2.2542831380
100000 1.1887779363
evaluations raw_y
1 0.9201324991
4 1.2761613068
8 1.4854426619
18 1.4961101137
31 1.9984012790
662 2.0678246485
668 2.0746887967
8678 2.1910604733
34795 2.4975024975
100000 1.1008366358
evaluations raw_y
1 1.4148273911
4 1.4392630973
22 1.5479876161
28 1.5752993069
98 1.6244314490
199 1.6722408027
227 1.8532246108
377 2.0341741253
3033 2.1795989538
24406 2.2026431718
54167 2.3969319271
100000 1.1899095669
evaluations raw_y
1 0.9823182711
3 1.1379153391
4 1.1887779363
6 1.3758943313
16 1.3804527885
22 1.3819789939
26 1.5422578655
41 1.6903313049
109 1.7972681524
196 2.0508613618
10255 2.0885547201
17849 2.1276595745
61010 2.1533161068
67149 2.2222222222
90268 2.2831050228
95135 2.3169601483
100000 0.9502090460
evaluations raw_y
1 1.1558021267
6 1.4560279557
64 1.6329196604
143 1.8839487566
1137 2.1061499579
6838 2.1949078139
56612 2.2143489814
100000 1.6972165648
evaluations raw_y
1 1.1687704535
5 1.2893243940
8 1.5124016939
12 1.5873015873
38 1.6589250166
199 1.6789791807
225 2.1682567216
33850 2.1720243267
36244 2.2831050228
90366 2.4201355276
100000 0.6402048656
evaluations raw_y
1 1.0250102501
2 1.3361838589
16 1.4037057833
29 1.4442518775
33 1.4819205691
41 1.5087507544
62 1.6202203500
68 1.6857720836
330 1.8234865062
1765 2.1097046414
23045 2.1132713440
69039 2.2502250225
81009 2.2665457842
100000 1.6181229773
evaluations raw_y
1 1.2165450122
7 1.2893243940
11 1.3865779257
19 1.4164305949
32 1.5142337977
35 1.5693659761
125 1.6589250166
412 1.7470300489
443 1.7717930546
1277 1.7895490336
2025 1.8642803878
3170 1.9455252918
3770 1.9577133908
4900 2.0016012810
6347 2.1026072330
24626 2.1496130696
35518 2.1570319241
51858 2.2104332449
68584 2.4342745862
100000 1.1910433540
evaluations raw_y
1 1.0125556906
4 1.0931351115
5 1.2556504269
8 1.5124016939
10 1.5792798484
24 1.6545334216
100 1.6655562958
225 1.6812373907
505 1.7018379850
570 1.7768301350
859 2.0210185934
5057 2.2956841139
49516 2.5906735751
100000 1.1018069634
evaluations raw_y
1 1.6880486158
23 1.7921146953
84 1.8839487566
1755 1.8925056775
2707 2.0275750203
7061 2.0341741253
7765 2.1385799829
23282 2.2182786158
100000 0.8931761343
