evaluations raw_y
1 48.0000000000
2 49.0000000000
3 51.0000000000
9 52.0000000000
15 55.0000000000
25 58.0000000000
65 59.0000000000
71 68.0000000000
1617 69.0000000000
38937 71.0000000000
100000 52.0000000000
evaluations raw_y
1 54.0000000000
6 58.0000000000
20 59.0000000000
32 63.0000000000
441 66.0000000000
1805 67.0000000000
2992 68.0000000000
26231 71.0000000000
56167 73.0000000000
100000 56.0000000000
evaluations raw_y
1 57.0000000000
3 62.0000000000
177 64.0000000000
1054 68.0000000000
2184 69.0000000000
65171 71.0000000000
100000 49.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
5 54.0000000000
12 56.0000000000
25 62.0000000000
33 63.0000000000
266 65.0000000000
1131 68.0000000000
4818 69.0000000000
33742 70.0000000000
100000 53.0000000000
evaluations raw_y
1 49.0000000000
2 53.0000000000
19 57.0000000000
21 59.0000000000
57 61.0000000000
67 62.0000000000
113 64.0000000000
131 67.0000000000
1414 68.0000000000
8129 69.0000000000
51902 73.0000000000
100000 47.0000000000
evaluations raw_y
1 48.0000000000
3 50.0000000000
5 51.0000000000
10 54.0000000000
11 56.0000000000
56 58.0000000000
106 60.0000000000
148 62.0000000000
322 64.0000000000
436 65.0000000000
743 66.0000000000
3801 70.0000000000
32081 71.0000000000
54311 73.0000000000
100000 51.0000000000
evaluations raw_y
1 54.0000000000
4 57.0000000000
15 60.0000000000
98 62.0000000000
200 63.0000000000
736 65.0000000000
3506 66.0000000000
6224 67.0000000000
10824 68.0000000000
39326 75.0000000000
100000 52.0000000000
evaluations raw_y
1 49.0000000000
2 60.0000000000
5 63.0000000000
287 64.0000000000
420 66.0000000000
2545 67.0000000000
7108 68.0000000000
17047 69.0000000000
33308 70.0000000000
80175 74.0000000000
100000 45.0000000000
evaluations raw_y
1 55.0000000000
5 62.0000000000
13 63.0000000000
348 66.0000000000
1428 67.0000000000
8098 68.0000000000
11369 70.0000000000
91280 71.0000000000
100000 50.0000000000
evaluations raw_y
1 49.0000000000
3 50.0000000000
5 54.0000000000
15 61.0000000000
35 62.0000000000
40 64.0000000000
511 66.0000000000
1210 68.0000000000
2818 69.0000000000
100000 47.0000000000
