evaluations raw_y
1 -1332.0000000000
4 -1235.0000000000
6 -1166.0000000000
10 -1138.0000000000
17 -1127.0000000000
31 -1088.0000000000
40 -1030.0000000000
43 -952.0000000000
94 -738.0000000000
13962 -709.0000000000
50158 -622.0000000000
100000 -1527.0000000000
evaluations raw_y
1 -1420.0000000000
2 -1234.0000000000
4 -1215.0000000000
13 -1020.0000000000
102 -1011.0000000000
169 -835.0000000000
534 -622.0000000000
39994 -592.0000000000
100000 -1138.0000000000
evaluations raw_y
1 -1469.0000000000
5 -1274.0000000000
6 -1205.0000000000
21 -1147.0000000000
37 -1137.0000000000
69 -1021.0000000000
123 -991.0000000000
318 -894.0000000000
328 -875.0000000000
1091 -864.0000000000
2575 -787.0000000000
3029 -738.0000000000
19321 -670.0000000000
95633 -660.0000000000
97603 -582.0000000000
100000 -1907.0000000000
evaluations raw_y
1 -1098.0000000000
38 -982.0000000000
171 -971.0000000000
437 -904.0000000000
1723 -894.0000000000
1825 -855.0000000000
2201 -835.0000000000
2666 -796.0000000000
4468 -709.0000000000
7354 -690.0000000000
17286 -680.0000000000
100000 -874.0000000000
evaluations raw_y
1 -1254.0000000000
8 -1244.0000000000
11 -1011.0000000000
93 -953.0000000000
179 -923.0000000000
461 -854.0000000000
491 -778.0000000000
2256 -670.0000000000
5304 -632.0000000000
51675 -631.0000000000
100000 -1478.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1244.0000000000
7 -1108.0000000000
10 -894.0000000000
347 -864.0000000000
381 -845.0000000000
382 -826.0000000000
2804 -796.0000000000
3010 -729.0000000000
7810 -699.0000000000
19968 -679.0000000000
23586 -622.0000000000
60740 -534.0000000000
100000 -1498.0000000000
evaluations raw_y
1 -1643.0000000000
2 -1566.0000000000
3 -1225.0000000000
6 -1206.0000000000
16 -865.0000000000
1671 -816.0000000000
2058 -767.0000000000
3305 -748.0000000000
8581 -728.0000000000
13747 -699.0000000000
26056 -602.0000000000
100000 -1216.0000000000
evaluations raw_y
1 -1683.0000000000
2 -1380.0000000000
3 -1371.0000000000
5 -1293.0000000000
14 -1284.0000000000
25 -1196.0000000000
27 -1137.0000000000
44 -797.0000000000
2306 -757.0000000000
5649 -699.0000000000
11560 -650.0000000000
100000 -1205.0000000000
evaluations raw_y
1 -1566.0000000000
2 -1556.0000000000
3 -1468.0000000000
4 -1351.0000000000
10 -1294.0000000000
11 -1108.0000000000
74 -874.0000000000
2334 -855.0000000000
3156 -786.0000000000
3580 -738.0000000000
5187 -729.0000000000
21021 -709.0000000000
31773 -700.0000000000
35918 -689.0000000000
81665 -670.0000000000
93051 -641.0000000000
100000 -1400.0000000000
evaluations raw_y
1 -1293.0000000000
3 -1098.0000000000
18 -1001.0000000000
24 -884.0000000000
63 -855.0000000000
364 -845.0000000000
607 -816.0000000000
1293 -680.0000000000
22252 -622.0000000000
52083 -563.0000000000
100000 -1585.0000000000
