evaluations raw_y
1 6.0000000000
2 7.4000000000
4 8.0000000000
16 8.2000000000
24 8.6000000000
86 9.2000000000
358 9.8000000000
419 10.2000000000
2339 10.4000000000
6190 10.6000000000
20074 10.8000000000
39653 11.0000000000
46528 11.4000000000
74894 11.6000000000
89117 12.0000000000
100000 5.0000000000
evaluations raw_y
1 7.2000000000
2 8.0000000000
8 8.2000000000
34 9.2000000000
152 10.2000000000
4460 10.8000000000
4482 11.0000000000
39090 11.6000000000
100000 8.4000000000
evaluations raw_y
1 6.2000000000
3 6.4000000000
5 9.6000000000
547 10.0000000000
902 11.0000000000
2370 11.6000000000
97276 11.8000000000
100000 6.4000000000
evaluations raw_y
1 5.2000000000
3 7.0000000000
10 8.0000000000
26 8.6000000000
130 9.2000000000
139 10.0000000000
194 10.6000000000
15675 10.8000000000
28822 11.2000000000
29037 12.0000000000
100000 6.6000000000
evaluations raw_y
1 7.8000000000
8 8.8000000000
25 9.0000000000
94 9.4000000000
197 9.6000000000
267 10.2000000000
728 11.2000000000
52167 11.4000000000
100000 6.8000000000
evaluations raw_y
1 6.2000000000
2 7.0000000000
5 8.2000000000
8 8.8000000000
44 9.8000000000
193 10.8000000000
5586 11.0000000000
18778 11.2000000000
25386 11.8000000000
100000 4.6000000000
evaluations raw_y
1 6.6000000000
2 7.2000000000
3 7.4000000000
12 8.4000000000
20 8.6000000000
27 9.0000000000
38 9.2000000000
52 9.4000000000
355 9.8000000000
1123 10.2000000000
1191 10.8000000000
8571 11.0000000000
11067 11.2000000000
14758 11.4000000000
69644 11.6000000000
100000 9.0000000000
evaluations raw_y
1 6.6000000000
2 7.0000000000
3 7.4000000000
12 8.2000000000
18 10.8000000000
1394 11.0000000000
9042 11.4000000000
42790 11.6000000000
100000 7.8000000000
evaluations raw_y
1 6.6000000000
3 7.0000000000
8 7.2000000000
15 7.4000000000
21 7.6000000000
25 8.4000000000
31 9.2000000000
240 10.2000000000
883 11.0000000000
1095 11.2000000000
25395 11.4000000000
27510 11.6000000000
100000 6.0000000000
evaluations raw_y
1 6.2000000000
2 7.0000000000
5 7.2000000000
8 8.0000000000
10 8.6000000000
17 9.4000000000
521 9.8000000000
914 10.2000000000
1270 10.6000000000
8938 11.2000000000
33855 11.4000000000
100000 7.8000000000
