evaluations raw_y
1 -0.4967168800
2 -0.4812042134
5 -0.4794941304
14 -0.4759288820
50 -0.4727680681
67 -0.4704093328
79 -0.4588132419
158 -0.4583470202
160 -0.4552619440
282 -0.4511123055
374 -0.4015558428
66568 -0.3974078901
100000 -0.5107902251
evaluations raw_y
1 -0.5026833905
2 -0.4713986303
22 -0.4614408296
60 -0.4415548247
549 -0.4318996982
2070 -0.4235465573
6178 -0.4199750389
13099 -0.4188809910
13914 -0.4145369490
29961 -0.4091220413
60936 -0.4010860632
100000 -0.5432225024
evaluations raw_y
1 -0.5195561648
4 -0.4808167217
15 -0.4596207096
145 -0.4518201265
263 -0.4514594520
423 -0.4488543927
558 -0.4307174182
4494 -0.4297661628
7919 -0.4106547777
100000 -0.5758764908
evaluations raw_y
1 -0.5273509026
2 -0.4919719320
11 -0.4794923399
16 -0.4517702560
75 -0.4419123091
697 -0.4359483007
1886 -0.4355493216
2149 -0.4348303258
5676 -0.4007970081
100000 -0.5342637636
evaluations raw_y
1 -0.5180159391
3 -0.4814088529
25 -0.4659356322
90 -0.4393079972
144 -0.4379971493
254 -0.4346113255
453 -0.4328388107
675 -0.4240383201
1136 -0.4098078747
100000 -0.5238557227
evaluations raw_y
1 -0.4952125657
5 -0.4905623904
8 -0.4811681699
16 -0.4808202290
22 -0.4748414721
34 -0.4664745590
60 -0.4651772818
122 -0.4571968073
211 -0.4427758980
708 -0.4405830242
2142 -0.4368682190
2229 -0.4351212624
2314 -0.4307637234
4198 -0.4290518536
9098 -0.4218278294
11883 -0.4084555965
63969 -0.4074338520
100000 -0.4940956588
evaluations raw_y
1 -0.4915102222
10 -0.4613414097
52 -0.4362378691
1024 -0.4251861335
2011 -0.4243543908
3027 -0.4096366152
30888 -0.3915619121
100000 -0.5182420924
evaluations raw_y
1 -0.5506837703
2 -0.5168927465
3 -0.4980017612
4 -0.4845565460
11 -0.4614303047
36 -0.4567728837
94 -0.4172128837
2653 -0.4153890916
16882 -0.4064602639
31916 -0.4056271403
53298 -0.4003674486
61743 -0.3985135478
100000 -0.4849070927
evaluations raw_y
1 -0.4939738587
5 -0.4938094442
6 -0.4927279749
7 -0.4926555535
9 -0.4924563942
10 -0.4891516514
13 -0.4459703553
425 -0.4330034396
1110 -0.4217101221
14076 -0.4064752930
100000 -0.4761336628
evaluations raw_y
1 -0.5035085423
2 -0.4847717703
10 -0.4820730357
13 -0.4794600888
18 -0.4638249528
44 -0.4274434756
4234 -0.4131595950
14703 -0.4095872910
25654 -0.4074458745
41390 -0.3975744951
99600 -0.3923423585
100000 -0.5186209146
