evaluations raw_y
1 0.0000000000
3 1.0000000000
9 2.0000000000
15 4.0000000000
60 8.0000000000
82 9.0000000000
3180 10.0000000000
5579 14.0000000000
29446 17.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
8 3.0000000000
46 5.0000000000
49 7.0000000000
161 8.0000000000
474 9.0000000000
493 11.0000000000
793 12.0000000000
20595 15.0000000000
27743 17.0000000000
100000 1.0000000000
evaluations raw_y
1 8.0000000000
163 9.0000000000
717 10.0000000000
2019 13.0000000000
17666 19.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 4.0000000000
31 7.0000000000
166 8.0000000000
303 9.0000000000
835 11.0000000000
16753 12.0000000000
29353 14.0000000000
73840 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
13 8.0000000000
207 11.0000000000
4079 14.0000000000
38053 16.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 4.0000000000
52 8.0000000000
3013 10.0000000000
3048 11.0000000000
4936 12.0000000000
15896 13.0000000000
34322 14.0000000000
62904 15.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 5.0000000000
56 6.0000000000
192 7.0000000000
389 8.0000000000
659 16.0000000000
2123 17.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
4 5.0000000000
193 7.0000000000
494 10.0000000000
1077 15.0000000000
51063 16.0000000000
68720 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
4 5.0000000000
9 6.0000000000
158 7.0000000000
474 12.0000000000
10351 14.0000000000
22234 18.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
31 4.0000000000
43 9.0000000000
2026 10.0000000000
2691 11.0000000000
3582 12.0000000000
4276 13.0000000000
6506 15.0000000000
24083 18.0000000000
100000 1.0000000000
