evaluations raw_y
1 2400.0000000000
2 2665.0000000000
5 2677.0000000000
11 3010.0000000000
21 3147.0000000000
73 3312.0000000000
498 3386.0000000000
768 3523.0000000000
1546 3604.0000000000
17517 3727.0000000000
100000 2778.0000000000
evaluations raw_y
1 2452.0000000000
2 2512.0000000000
6 2777.0000000000
8 2954.0000000000
31 2964.0000000000
62 3006.0000000000
79 3058.0000000000
92 3437.0000000000
2025 3473.0000000000
4007 3481.0000000000
4246 3596.0000000000
14377 3605.0000000000
19657 3614.0000000000
23198 3684.0000000000
84282 3736.0000000000
100000 2384.0000000000
evaluations raw_y
1 2859.0000000000
3 2944.0000000000
6 3099.0000000000
211 3211.0000000000
260 3243.0000000000
396 3343.0000000000
507 3405.0000000000
861 3635.0000000000
14503 3778.0000000000
100000 2579.0000000000
evaluations raw_y
1 2601.0000000000
3 2848.0000000000
10 2977.0000000000
13 3125.0000000000
22 3282.0000000000
221 3285.0000000000
340 3348.0000000000
675 3381.0000000000
1526 3522.0000000000
3291 3748.0000000000
19502 3789.0000000000
38676 3914.0000000000
100000 2478.0000000000
evaluations raw_y
1 2075.0000000000
2 2909.0000000000
6 3140.0000000000
22 3175.0000000000
64 3287.0000000000
156 3317.0000000000
531 3505.0000000000
1030 4055.0000000000
100000 2930.0000000000
evaluations raw_y
1 2206.0000000000
2 2979.0000000000
7 3063.0000000000
40 3282.0000000000
65 3577.0000000000
4708 3749.0000000000
8531 3770.0000000000
100000 1946.0000000000
evaluations raw_y
1 2105.0000000000
2 2555.0000000000
6 2704.0000000000
7 2814.0000000000
18 2867.0000000000
26 3052.0000000000
46 3259.0000000000
232 3307.0000000000
389 3377.0000000000
874 3396.0000000000
1306 3440.0000000000
3311 3475.0000000000
3615 3550.0000000000
7217 3631.0000000000
13541 3632.0000000000
30410 3718.0000000000
100000 2342.0000000000
evaluations raw_y
1 2389.0000000000
2 2621.0000000000
6 2807.0000000000
7 3048.0000000000
8 3363.0000000000
1095 3455.0000000000
2221 3504.0000000000
13174 3531.0000000000
15446 3624.0000000000
32981 3768.0000000000
100000 2056.0000000000
evaluations raw_y
1 2504.0000000000
2 2902.0000000000
13 2922.0000000000
29 3099.0000000000
31 3134.0000000000
48 3390.0000000000
197 3456.0000000000
744 3475.0000000000
2928 3497.0000000000
4449 3499.0000000000
7943 3520.0000000000
13469 3542.0000000000
24864 3617.0000000000
32862 3663.0000000000
83402 3738.0000000000
100000 2783.0000000000
evaluations raw_y
1 1972.0000000000
2 2169.0000000000
3 2361.0000000000
4 2582.0000000000
5 3010.0000000000
7 3188.0000000000
129 3478.0000000000
1254 3539.0000000000
1582 3567.0000000000
20336 3674.0000000000
21319 3813.0000000000
100000 2147.0000000000
